number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Pharamp;Ampharos δ;Pokémon;Colorless;181;Kagemaru Himeno;;;https://images.pokemontcg.io/ex15/1.png;;Dragon Frontiers
2;Rare Holo;;Aligatueur;Feraligatr δ;Pokémon;Lightning;160;Kouki Saitou;;;https://images.pokemontcg.io/ex15/2.png;;Dragon Frontiers
3;Rare Holo;;Scarhino;Heracross δ;Pokémon;Fire;214;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex15/3.png;;Dragon Frontiers
4;Rare Holo;;Méganium;Meganium δ;Pokémon;Fighting;154;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex15/4.png;;Dragon Frontiers
5;Rare Holo;;Milobellus;Milotic δ;Pokémon;Fire;350;Midori Harada;;;https://images.pokemontcg.io/ex15/5.png;;Dragon Frontiers
6;Rare Holo;;Nidoking;Nidoking δ;Pokémon;Darkness;34;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex15/6.png;;Dragon Frontiers
7;Rare Holo;;Nidoqueen;Nidoqueen δ;Pokémon;Metal;31;Kouki Saitou;;;https://images.pokemontcg.io/ex15/7.png;;Dragon Frontiers
8;Rare Holo;;Feunard;Ninetales δ;Pokémon;Psychic;38;Hajime Kusajima;;;https://images.pokemontcg.io/ex15/8.png;;Dragon Frontiers
9;Rare Holo;;Scarabrute;Pinsir δ;Pokémon;Fighting;127;Yukiko Baba;;;https://images.pokemontcg.io/ex15/9.png;;Dragon Frontiers
10;Rare Holo;;Ronflex;Snorlax δ;Pokémon;Grass;143;Masakazu Fukuda;;;https://images.pokemontcg.io/ex15/10.png;;Dragon Frontiers
11;Rare Holo;;Togetic;Togetic δ;Pokémon;Water;176;Kouki Saitou;;;https://images.pokemontcg.io/ex15/11.png;;Dragon Frontiers
12;Rare Holo;;Typhlosion;Typhlosion δ;Pokémon;Psychic;157;Hisao Nakamura;;;https://images.pokemontcg.io/ex15/12.png;;Dragon Frontiers
13;Rare;;Arbok;Arbok δ;Pokémon;Fire;24;Hisao Nakamura;;;https://images.pokemontcg.io/ex15/13.png;;Dragon Frontiers
14;Rare;;Crustabri;Cloyster δ;Pokémon;Fighting;91;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex15/14.png;;Dragon Frontiers
15;Rare;;Lamantine;Dewgong δ;Pokémon;Colorless;87;Atsuko Nishida;;;https://images.pokemontcg.io/ex15/15.png;;Dragon Frontiers
16;Rare;;Scorplane;Gligar δ;Pokémon;Lightning;207;Kagemaru Himeno;;;https://images.pokemontcg.io/ex15/16.png;;Dragon Frontiers
17;Rare;;Lippoutou;Jynx δ;Pokémon;Fire;124;Ken Sugimori;;;https://images.pokemontcg.io/ex15/17.png;;Dragon Frontiers
18;Rare;;Coxyclaque;Ledian δ;Pokémon;Metal;166;Hajime Kusajima;;;https://images.pokemontcg.io/ex15/18.png;;Dragon Frontiers
19;Rare;;Excelangue;Lickitung δ;Pokémon;Psychic;108;Masakazu Fukuda;;;https://images.pokemontcg.io/ex15/19.png;;Dragon Frontiers
20;Rare;;Demanta;Mantine δ;Pokémon;Lightning;226;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex15/20.png;;Dragon Frontiers
21;Rare;;Maraiste;Quagsire δ;Pokémon;Grass;195;Sachiko Adachi;;;https://images.pokemontcg.io/ex15/21.png;;Dragon Frontiers
22;Rare;;Hypocéan;Seadra δ;Pokémon;Fighting;117;Sachiko Adachi;;;https://images.pokemontcg.io/ex15/22.png;;Dragon Frontiers
23;Rare;;Tropius;Tropius δ;Pokémon;Metal;357;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex15/23.png;;Dragon Frontiers
24;Rare;;Vibraninf;Vibrava δ;Pokémon;Psychic;329;Tomokazu Komiya;;;https://images.pokemontcg.io/ex15/24.png;;Dragon Frontiers
25;Rare;;Xatu;Xatu δ;Pokémon;Darkness;178;Kouki Saitou;;;https://images.pokemontcg.io/ex15/25.png;;Dragon Frontiers
26;Uncommon;;Macronium;Bayleef δ;Pokémon;Fighting;153;Kagemaru Himeno;;;https://images.pokemontcg.io/ex15/26.png;;Dragon Frontiers
