number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Branette;Banette;Pokémon;Psychic;354;Midori Harada;;;https://images.pokemontcg.io/ex5/1.png;;Hidden Legends
2;Rare Holo;;Kaorine;Claydol;Pokémon;Psychic;344;Kyoko Umemoto;;;https://images.pokemontcg.io/ex5/2.png;;Hidden Legends
3;Rare Holo;;Nostenfer;Crobat;Pokémon;Grass;169;Midori Harada;;;https://images.pokemontcg.io/ex5/3.png;;Hidden Legends
4;Rare Holo;;Celebi Obscur;Dark Celebi;Pokémon;Grass;251;Ken Ikuji;;;https://images.pokemontcg.io/ex5/4.png;;Hidden Legends
5;Rare Holo;;Électrode;Electrode;Pokémon;Lightning;101;Kyoko Umemoto;;;https://images.pokemontcg.io/ex5/5.png;;Hidden Legends
6;Rare Holo;;Brouhabam;Exploud;Pokémon;Colorless;295;Tomokazu Komiya;;;https://images.pokemontcg.io/ex5/6.png;;Hidden Legends
7;Rare Holo;;Scarhino;Heracross;Pokémon;Grass;214;Hajime Kusajima;;;https://images.pokemontcg.io/ex5/7.png;;Hidden Legends
8;Rare Holo;;Jirachi;Jirachi;Pokémon;Psychic;385;Ryo Ueda;;;https://images.pokemontcg.io/ex5/8.png;;Hidden Legends
9;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;Hajime Kusajima;;;https://images.pokemontcg.io/ex5/9.png;;Hidden Legends
10;Rare Holo;;Charmina;Medicham;Pokémon;Fighting;308;Atsuko Nishida;;;https://images.pokemontcg.io/ex5/10.png;;Hidden Legends
11;Rare Holo;;Metalosse;Metagross;Pokémon;Psychic;376;Kouki Saitou;;;https://images.pokemontcg.io/ex5/11.png;;Hidden Legends
12;Rare Holo;;Milobellus;Milotic;Pokémon;Water;350;Atsuko Nishida;;;https://images.pokemontcg.io/ex5/12.png;;Hidden Legends
13;Rare Holo;;Scarabrute;Pinsir;Pokémon;Grass;127;Hajime Kusajima;;;https://images.pokemontcg.io/ex5/13.png;;Hidden Legends
14;Rare Holo;;Tengalice;Shiftry;Pokémon;Darkness;275;Hisao Nakamura;;;https://images.pokemontcg.io/ex5/14.png;;Hidden Legends
15;Rare Holo;;Kaimorse;Walrein;Pokémon;Water;365;Atsuko Nishida;;;https://images.pokemontcg.io/ex5/15.png;;Hidden Legends
16;Rare;;Joliflor;Bellossom;Pokémon;Grass;182;Yuka Morii;;;https://images.pokemontcg.io/ex5/16.png;;Hidden Legends
17;Rare;;Eoko;Chimecho;Pokémon;Psychic;358;Miki Tanaka;;;https://images.pokemontcg.io/ex5/17.png;;Hidden Legends
18;Rare;;Rosabyss;Gorebyss;Pokémon;Water;368;Kagemaru Himeno;;;https://images.pokemontcg.io/ex5/18.png;;Hidden Legends
19;Rare;;Serpang;Huntail;Pokémon;Water;367;Kagemaru Himeno;;;https://images.pokemontcg.io/ex5/19.png;;Hidden Legends
20;Rare;;Maskadra;Masquerain;Pokémon;Grass;284;Toshinao Aoki;;;https://images.pokemontcg.io/ex5/20.png;;Hidden Legends
21;Rare;;Metang;Metang;Pokémon;Metal;375;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex5/21.png;;Hidden Legends
22;Rare;;Feunard;Ninetales;Pokémon;Fighting;38;Toshinao Aoki;;;https://images.pokemontcg.io/ex5/22.png;;Hidden Legends
23;Rare;;Morpheo Pluie;Rain Castform;Pokémon;Water;351;Jungo Suzuki;;;https://images.pokemontcg.io/ex5/23.png;;Hidden Legends
24;Rare;;Relicanth;Relicanth;Pokémon;Water;369;Kagemaru Himeno;;;https://images.pokemontcg.io/ex5/24.png;;Hidden Legends
25;Rare;;Morpheo Neige;Snow-cloud Castform;Pokémon;Water;351;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex5/25.png;;Hidden Legends
26;Rare;;Morpheo Soleil;Sunny Castform;Pokémon;Fire;351;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex5/26.png;;Hidden Legends
27;Rare;;Tropius;Tropius;Pokémon;Grass;357;Kouki Saitou;;;https://images.pokemontcg.io/ex5/27.png;;Hidden Legends
28;Uncommon;;Terhal;Beldum;Pokémon;Metal;374;Ken Sugimori;;;https://images.pokemontcg.io/ex5/28.png;;Hidden Legends
29;Uncommon;;Terhal;Beldum;Pokémon;Metal;374;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex5/29.png;;Hidden Legends
30;Uncommon;;Morpheo;Castform;Pokémon;Colorless;351;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex5/30.png;;Hidden Legends
31;Uncommon;;Kaorine;Claydol;Pokémon;Fighting;344;Ken Sugimori;;;https://images.pokemontcg.io/ex5/31.png;;Hidden Legends
32;Uncommon;;Corayon;Corsola;Pokémon;Water;222;Naoyo Kimura;;;https://images.pokemontcg.io/ex5/32.png;;Hidden Legends
33;Uncommon;;Dodrio;Dodrio;Pokémon;Colorless;85;Miki Tanaka;;;https://images.pokemontcg.io/ex5/33.png;;Hidden Legends
34;Uncommon;;Oniglali;Glalie;Pokémon;Water;362;Midori Harada;;;https://images.pokemontcg.io/ex5/34.png;;Hidden Legends
35;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Yuka Morii;;;https://images.pokemontcg.io/ex5/35.png;;Hidden Legends
