number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Dardargnan;Beedrill;Pokémon;Grass;15;Hajime Kusajima;;;https://images.pokemontcg.io/ex6/1.png;;FireRed & LeafGreen
2;Rare Holo;;Papilusion;Butterfree;Pokémon;Grass;12;Atsuko Nishida;;;https://images.pokemontcg.io/ex6/2.png;;FireRed & LeafGreen
3;Rare Holo;;Lamantine;Dewgong;Pokémon;Water;87;Toshinao Aoki;;;https://images.pokemontcg.io/ex6/3.png;;FireRed & LeafGreen
4;Rare Holo;;Métamorph;Ditto;Pokémon;Colorless;132;MikiTanaka;;;https://images.pokemontcg.io/ex6/4.png;;FireRed & LeafGreen
5;Rare Holo;;Noadkoko;Exeggutor;Pokémon;Psychic;103;Tomokazu Komiya;;;https://images.pokemontcg.io/ex6/5.png;;FireRed & LeafGreen
6;Rare Holo;;Kangourex;Kangaskhan;Pokémon;Colorless;115;Naoyo Kimura;;;https://images.pokemontcg.io/ex6/6.png;;FireRed & LeafGreen
7;Rare Holo;;Ossatueur;Marowak;Pokémon;Fighting;105;Aya Kusube;;;https://images.pokemontcg.io/ex6/7.png;;FireRed & LeafGreen
8;Rare Holo;;Nidoking;Nidoking;Pokémon;Fighting;34;Hisao Nakamura;;;https://images.pokemontcg.io/ex6/8.png;;FireRed & LeafGreen
9;Rare Holo;;Nidoqueen;Nidoqueen;Pokémon;Fighting;31;Naoyo Kimura;;;https://images.pokemontcg.io/ex6/9.png;;FireRed & LeafGreen
10;Rare Holo;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Midori Harada;;;https://images.pokemontcg.io/ex6/10.png;;FireRed & LeafGreen
11;Rare Holo;;Tartard;Poliwrath;Pokémon;Water;62;Ken Sugimori;;;https://images.pokemontcg.io/ex6/11.png;;FireRed & LeafGreen
12;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Midori Harada;;;https://images.pokemontcg.io/ex6/12.png;;FireRed & LeafGreen
