number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Galeking;Aggron;Pokémon;Metal;306;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/1.png;;Ruby & Sapphire
2;Rare Holo;;Charmillon;Beautifly;Pokémon;Grass;267;Hajime Kusajima;;;https://images.pokemontcg.io/ex1/2.png;;Ruby & Sapphire
3;Rare Holo;;Brasegali;Blaziken;Pokémon;Fire;257;Kouki Saitou;;;https://images.pokemontcg.io/ex1/3.png;;Ruby & Sapphire
4;Rare Holo;;Camerupt;Camerupt;Pokémon;Fire;323;Ken Sugimori;;;https://images.pokemontcg.io/ex1/4.png;;Ruby & Sapphire
5;Rare Holo;;Delcatty;Delcatty;Pokémon;Colorless;301;Atsuko Nishida;;;https://images.pokemontcg.io/ex1/5.png;;Ruby & Sapphire
6;Rare Holo;;Papinox;Dustox;Pokémon;Grass;269;Midori Harada;;;https://images.pokemontcg.io/ex1/6.png;;Ruby & Sapphire
7;Rare Holo;;Gardevoir;Gardevoir;Pokémon;Psychic;282;Ken Sugimori;;;https://images.pokemontcg.io/ex1/7.png;;Ruby & Sapphire
8;Rare Holo;;Hariyama;Hariyama;Pokémon;Fighting;297;Naoyo Kimura;;;https://images.pokemontcg.io/ex1/8.png;;Ruby & Sapphire
9;Rare Holo;;Elecsprint;Manectric;Pokémon;Lightning;310;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/9.png;;Ruby & Sapphire
10;Rare Holo;;Grahyena;Mightyena;Pokémon;Darkness;262;Atsuko Nishida;;;https://images.pokemontcg.io/ex1/10.png;;Ruby & Sapphire
11;Rare Holo;;Jungko;Sceptile;Pokémon;Grass;254;Midori Harada;;;https://images.pokemontcg.io/ex1/11.png;;Ruby & Sapphire
12;Rare Holo;;Monaflemit;Slaking;Pokémon;Colorless;289;Ken Sugimori;;;https://images.pokemontcg.io/ex1/12.png;;Ruby & Sapphire
13;Rare Holo;;Laggron;Swampert;Pokémon;Water;260;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/13.png;;Ruby & Sapphire
14;Rare Holo;;Wailord;Wailord;Pokémon;Water;321;Ken Sugimori;;;https://images.pokemontcg.io/ex1/14.png;;Ruby & Sapphire
15;Rare;;Brasegali;Blaziken;Pokémon;Fire;257;Ken Sugimori;;;https://images.pokemontcg.io/ex1/15.png;;Ruby & Sapphire
16;Rare;;Chapignon;Breloom;Pokémon;Grass;286;Ken Sugimori;;;https://images.pokemontcg.io/ex1/16.png;;Ruby & Sapphire
17;Rare;;Donphan;Donphan;Pokémon;Fighting;232;Kagemaru Himeno;;;https://images.pokemontcg.io/ex1/17.png;;Ruby & Sapphire
18;Rare;;Tarinor;Nosepass;Pokémon;Fighting;299;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/18.png;;Ruby & Sapphire
19;Rare;;Bekipan;Pelipper;Pokémon;Water;279;Kouki Saitou;;;https://images.pokemontcg.io/ex1/19.png;;Ruby & Sapphire
20;Rare;;Jungko;Sceptile;Pokémon;Grass;254;Ken Sugimori;;;https://images.pokemontcg.io/ex1/20.png;;Ruby & Sapphire
21;Rare;;Poissoroy;Seaking;Pokémon;Water;119;Hajime Kusajima;;;https://images.pokemontcg.io/ex1/21.png;;Ruby & Sapphire
22;Rare;;Sharpedo;Sharpedo;Pokémon;Water;319;Hajime Kusajima;;;https://images.pokemontcg.io/ex1/22.png;;Ruby & Sapphire
23;Rare;;Laggron;Swampert;Pokémon;Water;260;Ken Sugimori;;;https://images.pokemontcg.io/ex1/23.png;;Ruby & Sapphire
24;Rare;;Smogogo;Weezing;Pokémon;Grass;110;Atsuko Nishida;;;https://images.pokemontcg.io/ex1/24.png;;Ruby & Sapphire
25;Uncommon;;Galekid;Aron;Pokémon;Metal;304;Midori Harada;;;https://images.pokemontcg.io/ex1/25.png;;Ruby & Sapphire
26;Uncommon;;Blindalys;Cascoon;Pokémon;Grass;268;Midori Harada;;;https://images.pokemontcg.io/ex1/26.png;;Ruby & Sapphire
27;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Kouki Saitou;;;https://images.pokemontcg.io/ex1/27.png;;Ruby & Sapphire
28;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Ken Sugimori;;;https://images.pokemontcg.io/ex1/28.png;;Ruby & Sapphire
29;Uncommon;;Delcatty;Delcatty;Pokémon;Colorless;301;Ken Sugimori;;;https://images.pokemontcg.io/ex1/29.png;;Ruby & Sapphire
30;Uncommon;;Dynavolt;Electrike;Pokémon;Lightning;309;Hajime Kusajima;;;https://images.pokemontcg.io/ex1/30.png;;Ruby & Sapphire
31;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;Midori Harada;;;https://images.pokemontcg.io/ex1/31.png;;Ruby & Sapphire
32;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;Ken Sugimori;;;https://images.pokemontcg.io/ex1/32.png;;Ruby & Sapphire
33;Uncommon;;Hariyama;Hariyama;Pokémon;Fighting;297;Ken Sugimori;;;https://images.pokemontcg.io/ex1/33.png;;Ruby & Sapphire
34;Uncommon;;Kirlia;Kirlia;Pokémon;Psychic;281;Ken Sugimori;;;https://images.pokemontcg.io/ex1/34.png;;Ruby & Sapphire
35;Uncommon;;Kirlia;Kirlia;Pokémon;Psychic;281;Atsuko Nishida;;;https://images.pokemontcg.io/ex1/35.png;;Ruby & Sapphire
36;Uncommon;;Galegon;Lairon;Pokémon;Metal;305;Ken Sugimori;;;https://images.pokemontcg.io/ex1/36.png;;Ruby & Sapphire
37;Uncommon;;Galegon;Lairon;Pokémon;Metal;305;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/37.png;;Ruby & Sapphire
38;Uncommon;;Lineon;Linoone;Pokémon;Colorless;264;Ken Sugimori;;;https://images.pokemontcg.io/ex1/38.png;;Ruby & Sapphire
39;Uncommon;;Elecsprint;Manectric;Pokémon;Lightning;310;Ken Sugimori;;;https://images.pokemontcg.io/ex1/39.png;;Ruby & Sapphire
40;Uncommon;;Flobio;Marshtomp;Pokémon;Water;259;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/40.png;;Ruby & Sapphire
41;Uncommon;;Flobio;Marshtomp;Pokémon;Water;259;Ken Sugimori;;;https://images.pokemontcg.io/ex1/41.png;;Ruby & Sapphire
42;Uncommon;;Grahyena;Mightyena;Pokémon;Darkness;262;Ken Sugimori;;;https://images.pokemontcg.io/ex1/42.png;;Ruby & Sapphire
43;Uncommon;;Armulys;Silcoon;Pokémon;Grass;266;Hajime Kusajima;;;https://images.pokemontcg.io/ex1/43.png;;Ruby & Sapphire
44;Uncommon;;Skitty;Skitty;Pokémon;Colorless;300;Midori Harada;;;https://images.pokemontcg.io/ex1/44.png;;Ruby & Sapphire
45;Uncommon;;Parecool;Slakoth;Pokémon;Colorless;287;Kagemaru Himeno;;;https://images.pokemontcg.io/ex1/45.png;;Ruby & Sapphire
46;Uncommon;;Hélédelle;Swellow;Pokémon;Colorless;277;Ken Sugimori;;;https://images.pokemontcg.io/ex1/46.png;;Ruby & Sapphire
47;Uncommon;;Vigoroth;Vigoroth;Pokémon;Colorless;288;Kagemaru Himeno;;;https://images.pokemontcg.io/ex1/47.png;;Ruby & Sapphire
48;Uncommon;;Wailmer;Wailmer;Pokémon;Water;320;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/48.png;;Ruby & Sapphire
49;Common;;Galekid;Aron;Pokémon;Metal;304;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex1/49.png;;Ruby & Sapphire
50;Common;;Galekid;Aron;Pokémon;Metal;304;Ken Sugimori;;;https://images.pokemontcg.io/ex1/50.png;;Ruby & Sapphire
