number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Cacturne de Team Aqua;Team Aqua's Cacturne;Pokémon;Grass;332;K. Utsunomiya;;;https://images.pokemontcg.io/ex4/1.png;;Team Magma vs Team Aqua
2;Rare Holo;;Colhomard de Team Aqua;Team Aqua's Crawdaunt;Pokémon;Water;342;Nakaoka;;;https://images.pokemontcg.io/ex4/2.png;;Team Magma vs Team Aqua
3;Rare Holo;;Kyogre de Team Aqua;Team Aqua's Kyogre;Pokémon;Water;382;K. Hoshiba;;;https://images.pokemontcg.io/ex4/3.png;;Team Magma vs Team Aqua
4;Rare Holo;;Elecsprint de Team Aqua;Team Aqua's Manectric;Pokémon;Lightning;310;K. Utsunomiya;;;https://images.pokemontcg.io/ex4/4.png;;Team Magma vs Team Aqua
5;Rare Holo;;Sharpedo de Team Aqua;Team Aqua's Sharpedo;Pokémon;Water;319;Katsura Tabata;;;https://images.pokemontcg.io/ex4/5.png;;Team Magma vs Team Aqua
6;Rare Holo;;Kaimorse de Team Aqua;Team Aqua's Walrein;Pokémon;Water;365;Ken Ikuji;;;https://images.pokemontcg.io/ex4/6.png;;Team Magma vs Team Aqua
7;Rare Holo;;Galeking de Team Magma;Team Magma's Aggron;Pokémon;Fighting;306;Hiromichi Sugiyama;;;https://images.pokemontcg.io/ex4/7.png;;Team Magma vs Team Aqua
8;Rare Holo;;Kaorine de Team Magma;Team Magma's Claydol;Pokémon;Psychic;344;Zu-Ka;;;https://images.pokemontcg.io/ex4/8.png;;Team Magma vs Team Aqua
9;Rare Holo;;Groudon de Team Magma;Team Magma's Groudon;Pokémon;Fighting;383;Kazuo Yazawa;;;https://images.pokemontcg.io/ex4/9.png;;Team Magma vs Team Aqua
10;Rare Holo;;Démolosse de Team Magma;Team Magma's Houndoom;Pokémon;Fire;229;Ken Ikuji;;;https://images.pokemontcg.io/ex4/10.png;;Team Magma vs Team Aqua
11;Rare Holo;;Rhinoféros de Team Magma;Team Magma's Rhydon;Pokémon;Fighting;112;T. Honda;;;https://images.pokemontcg.io/ex4/11.png;;Team Magma vs Team Aqua
12;Rare Holo;;Chartor de Team Magma;Team Magma's Torkoal;Pokémon;Fire;324;K. Hoshiba;;;https://images.pokemontcg.io/ex4/12.png;;Team Magma vs Team Aqua
13;Rare;;Raichu;Raichu;Pokémon;Lightning;26;Ken Sugimori;;;https://images.pokemontcg.io/ex4/13.png;;Team Magma vs Team Aqua
14;Rare;;Colhomard de Team Aqua;Team Aqua's Crawdaunt;Pokémon;Water;342;Nakaoka;;;https://images.pokemontcg.io/ex4/14.png;;Team Magma vs Team Aqua
15;Rare;;Grahyena de Team Aqua;Team Aqua's Mightyena;Pokémon;Darkness;262;Shin-ichi Yoshikawa;;;https://images.pokemontcg.io/ex4/15.png;;Team Magma vs Team Aqua
16;Rare;;Phogleur de Team Aqua;Team Aqua's Sealeo;Pokémon;Water;364;T. Honda;;;https://images.pokemontcg.io/ex4/16.png;;Team Magma vs Team Aqua
17;Rare;;Seviper de Team Aqua;Team Aqua's Seviper;Pokémon;Grass;336;Jungo Suzuki;;;https://images.pokemontcg.io/ex4/17.png;;Team Magma vs Team Aqua
18;Rare;;Sharpedo de Team Aqua;Team Aqua's Sharpedo;Pokémon;Water;319;Katsura Tabata;;;https://images.pokemontcg.io/ex4/18.png;;Team Magma vs Team Aqua
19;Rare;;Camerupt de Team Magma;Team Magma's Camerupt;Pokémon;Fire;323;Katsura Tabata;;;https://images.pokemontcg.io/ex4/19.png;;Team Magma vs Team Aqua
20;Rare;;Galegon de Team Magma;Team Magma's Lairon;Pokémon;Fighting;305;Hiromichi Sugiyama;;;https://images.pokemontcg.io/ex4/20.png;;Team Magma vs Team Aqua
21;Rare;;Grahyena de Team Magma;Team Magma's Mightyena;Pokémon;Darkness;262;Shin-ichi Yoshikawa;;;https://images.pokemontcg.io/ex4/21.png;;Team Magma vs Team Aqua
22;Rare;;Rhinoféros de Team Magma;Team Magma's Rhydon;Pokémon;Fighting;112;T. Honda;;;https://images.pokemontcg.io/ex4/22.png;;Team Magma vs Team Aqua
23;Rare;;Mangriff de Team Magma;Team Magma's Zangoose;Pokémon;Colorless;335;Zu-Ka;;;https://images.pokemontcg.io/ex4/23.png;;Team Magma vs Team Aqua
24;Uncommon;;Cacnea de Team Aqua;Team Aqua's Cacnea;Pokémon;Grass;331;K. Utsunomiya;;;https://images.pokemontcg.io/ex4/24.png;;Team Magma vs Team Aqua
25;Uncommon;;Carvanha de Team Aqua;Team Aqua's Carvanha;Pokémon;Water;318;Mt. TBT;;;https://images.pokemontcg.io/ex4/25.png;;Team Magma vs Team Aqua
26;Uncommon;;Ecrapince de Team Aqua;Team Aqua's Corphish;Pokémon;Water;341;Jungo Suzuki;;;https://images.pokemontcg.io/ex4/26.png;;Team Magma vs Team Aqua
27;Uncommon;;Dynavolt de Team Aqua;Team Aqua's Electrike;Pokémon;Lightning;309;M. Akiyama;;;https://images.pokemontcg.io/ex4/27.png;;Team Magma vs Team Aqua
28;Uncommon;;Lanturn de Team Aqua;Team Aqua's Lanturn;Pokémon;Lightning;171;Jungo Suzuki;;;https://images.pokemontcg.io/ex4/28.png;;Team Magma vs Team Aqua
29;Uncommon;;Elecsprint de Team Aqua;Team Aqua's Manectric;Pokémon;Lightning;310;K. Utsunomiya;;;https://images.pokemontcg.io/ex4/29.png;;Team Magma vs Team Aqua
30;Uncommon;;Grahyena de Team Aqua;Team Aqua's Mightyena;Pokémon;Darkness;262;Shin-ichi Yoshikawa;;;https://images.pokemontcg.io/ex4/30.png;;Team Magma vs Team Aqua
31;Uncommon;;Phogleur de Team Aqua;Team Aqua's Sealeo;Pokémon;Water;364;T. Honda;;;https://images.pokemontcg.io/ex4/31.png;;Team Magma vs Team Aqua
32;Uncommon;;Balbuto de Team Magma;Team Magma's Baltoy;Pokémon;Psychic;343;Atsuko Ujiie;;;https://images.pokemontcg.io/ex4/32.png;;Team Magma vs Team Aqua
33;Uncommon;;Kaorine de Team Magma;Team Magma's Claydol;Pokémon;Fighting;344;Zu-Ka;;;https://images.pokemontcg.io/ex4/33.png;;Team Magma vs Team Aqua
34;Uncommon;;Démolosse de Team Magma;Team Magma's Houndoom;Pokémon;Fire;229;Ken Ikuji;;;https://images.pokemontcg.io/ex4/34.png;;Team Magma vs Team Aqua
35;Uncommon;;Malosse de Team Magma;Team Magma's Houndour;Pokémon;Fire;228;Atsuko Ujiie;;;https://images.pokemontcg.io/ex4/35.png;;Team Magma vs Team Aqua
36;Uncommon;;Galegon de Team Magma;Team Magma's Lairon;Pokémon;Fighting;305;Hiromichi Sugiyama;;;https://images.pokemontcg.io/ex4/36.png;;Team Magma vs Team Aqua
37;Uncommon;;Grahyena de Team Magma;Team Magma's Mightyena;Pokémon;Darkness;262;Shin-ichi Yoshikawa;;;https://images.pokemontcg.io/ex4/37.png;;Team Magma vs Team Aqua
38;Uncommon;;Rhinocorne de Team Magma;Team Magma's Rhyhorn;Pokémon;Fighting;111;Mt. TBT;;;https://images.pokemontcg.io/ex4/38.png;;Team Magma vs Team Aqua
39;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Ken Sugimori;;;https://images.pokemontcg.io/ex4/39.png;;Team Magma vs Team Aqua
40;Common;;Osselait;Cubone;Pokémon;Fighting;104;Ken Sugimori;;;https://images.pokemontcg.io/ex4/40.png;;Team Magma vs Team Aqua
41;Common;;Rondoudou;Jigglypuff;Pokémon;Colorless;39;Ken Sugimori;;;https://images.pokemontcg.io/ex4/41.png;;Team Magma vs Team Aqua
42;Common;;Miaouss;Meowth;Pokémon;Colorless;52;Ken Sugimori;;;https://images.pokemontcg.io/ex4/42.png;;Team Magma vs Team Aqua
43;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Ken Sugimori;;;https://images.pokemontcg.io/ex4/43.png;;Team Magma vs Team Aqua
44;Common;;Psykokwak;Psyduck;Pokémon;Water;54;Ken Sugimori;;;https://images.pokemontcg.io/ex4/44.png;;Team Magma vs Team Aqua
45;Common;;Ramoloss;Slowpoke;Pokémon;Psychic;79;Ken Sugimori;;;https://images.pokemontcg.io/ex4/45.png;;Team Magma vs Team Aqua
46;Common;;Carapuce;Squirtle;Pokémon;Water;7;Ken Sugimori;;;https://images.pokemontcg.io/ex4/46.png;;Team Magma vs Team Aqua
47;Common;;Carvanha de Team Aqua;Team Aqua's Carvanha;Pokémon;Water;318;Yosuke Da Silva;;;https://images.pokemontcg.io/ex4/47.png;;Team Magma vs Team Aqua
48;Common;;Carvanha de Team Aqua;Team Aqua's Carvanha;Pokémon;Water;318;Hiromichi Sugiyama;;;https://images.pokemontcg.io/ex4/48.png;;Team Magma vs Team Aqua
49;Common;;Loupio de Team Aqua;Team Aqua's Chinchou;Pokémon;Lightning;170;Kazuo Yazawa;;;https://images.pokemontcg.io/ex4/49.png;;Team Magma vs Team Aqua
50;Common;;Ecrapince de Team Aqua;Team Aqua's Corphish;Pokémon;Water;341;Jungo Suzuki;;;https://images.pokemontcg.io/ex4/50.png;;Team Magma vs Team Aqua
51;Common;;Ecrapince de Team Aqua;Team Aqua's Corphish;Pokémon;Water;341;Jungo Suzuki;;;https://images.pokemontcg.io/ex4/51.png;;Team Magma vs Team Aqua
52;Common;;Dynavolt de Team Aqua;Team Aqua's Electrike;Pokémon;Lightning;309;M. Akiyama;;;https://images.pokemontcg.io/ex4/52.png;;Team Magma vs Team Aqua
53;Common;;Dynavolt de Team Aqua;Team Aqua's Electrike;Pokémon;Lightning;309;M. Akiyama;;;https://images.pokemontcg.io/ex4/53.png;;Team Magma vs Team Aqua
54;Common;;Medhyena de Team Aqua;Team Aqua's Poochyena;Pokémon;Darkness;261;Shin-ichi Yoshikawa;;;https://images.pokemontcg.io/ex4/54.png;;Team Magma vs Team Aqua
55;Common;;Medhyena de Team Aqua;Team Aqua's Poochyena;Pokémon;Darkness;261;Shin-ichi Yoshikawa;;;https://images.pokemontcg.io/ex4/55.png;;Team Magma vs Team Aqua
56;Common;;Obalie de Team Aqua;Team Aqua's Spheal;Pokémon;Water;363;Nakaoka;;;https://images.pokemontcg.io/ex4/56.png;;Team Magma vs Team Aqua
57;Common;;Obalie de Team Aqua;Team Aqua's Spheal;Pokémon;Water;363;Nakaoka;;;https://images.pokemontcg.io/ex4/57.png;;Team Magma vs Team Aqua
58;Common;;Galekid de Team Magma;Team Magma's Aron;Pokémon;Fighting;304;Katsura Tabata;;;https://images.pokemontcg.io/ex4/58.png;;Team Magma vs Team Aqua
59;Common;;Galekid de Team Magma;Team Magma's Aron;Pokémon;Fighting;304;Katsura Tabata;;;https://images.pokemontcg.io/ex4/59.png;;Team Magma vs Team Aqua
60;Common;;Balbuto de Team Magma;Team Magma's Baltoy;Pokémon;Fighting;343;Atsuko Ujiie;;;https://images.pokemontcg.io/ex4/60.png;;Team Magma vs Team Aqua
61;Common;;Balbuto de Team Magma;Team Magma's Baltoy;Pokémon;Fighting;343;Atsuko Ujiie;;;https://images.pokemontcg.io/ex4/61.png;;Team Magma vs Team Aqua
62;Common;;Malosse de Team Magma;Team Magma's Houndour;Pokémon;Fire;228;Atsuko Ujiie;;;https://images.pokemontcg.io/ex4/62.png;;Team Magma vs Team Aqua
63;Common;;Malosse de Team Magma;Team Magma's Houndour;Pokémon;Fire;228;Atsuko Ujiie;;;https://images.pokemontcg.io/ex4/63.png;;Team Magma vs Team Aqua
64;Common;;Chamallot de Team Magma;Team Magma's Numel;Pokémon;Fire;322;Katsura Tabata;;;https://images.pokemontcg.io/ex4/64.png;;Team Magma vs Team Aqua
65;Common;;Medhyena de Team Magma;Team Magma's Poochyena;Pokémon;Darkness;261;Shin-ichi Yoshikawa;;;https://images.pokemontcg.io/ex4/65.png;;Team Magma vs Team Aqua
