rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;;Blaine's Arcanine;Pokémon;Fire;59;Ken Sugimori;;https://images.pokemontcg.io/gym2/1.png;gym2
2;2;Rare Holo;;;Blaine's Charizard;Pokémon;Fire;6;Ken Sugimori;;https://images.pokemontcg.io/gym2/2.png;gym2
3;3;Rare Holo;;;Brock's Ninetales;Pokémon;Fire;38;Ken Sugimori;;https://images.pokemontcg.io/gym2/3.png;gym2
4;4;Rare Holo;;;Erika's Venusaur;Pokémon;Grass;3;Ken Sugimori;;https://images.pokemontcg.io/gym2/4.png;gym2
5;5;Rare Holo;;;Giovanni's Gyarados;Pokémon;Water;130;Ken Sugimori;;https://images.pokemontcg.io/gym2/5.png;gym2
6;6;Rare Holo;;;Giovanni's Machamp;Pokémon;Fighting;68;Ken Sugimori;;https://images.pokemontcg.io/gym2/6.png;gym2
7;7;Rare Holo;;;Giovanni's Nidoking;Pokémon;Grass;34;Ken Sugimori;;https://images.pokemontcg.io/gym2/7.png;gym2
8;8;Rare Holo;;;Giovanni's Persian;Pokémon;Colorless;53;Ken Sugimori;;https://images.pokemontcg.io/gym2/8.png;gym2
9;9;Rare Holo;;;Koga's Beedrill;Pokémon;Grass;15;Ken Sugimori;;https://images.pokemontcg.io/gym2/9.png;gym2
10;10;Rare Holo;;;Koga's Ditto;Pokémon;Colorless;132;Ken Sugimori;;https://images.pokemontcg.io/gym2/10.png;gym2
11;11;Rare Holo;;;Lt. Surge's Raichu;Pokémon;Lightning;26;Ken Sugimori;;https://images.pokemontcg.io/gym2/11.png;gym2
12;12;Rare Holo;;;Misty's Golduck;Pokémon;Water;55;Ken Sugimori;;https://images.pokemontcg.io/gym2/12.png;gym2
13;13;Rare Holo;;;Misty's Gyarados;Pokémon;Water;130;Ken Sugimori;;https://images.pokemontcg.io/gym2/13.png;gym2
14;14;Rare Holo;;;Rocket's Mewtwo;Pokémon;Psychic;150;Shin-ichi Yoshida;;https://images.pokemontcg.io/gym2/14.png;gym2
15;15;Rare Holo;;;Rocket's Zapdos;Pokémon;Lightning;145;Shin-ichi Yoshida;;https://images.pokemontcg.io/gym2/15.png;gym2
16;16;Rare Holo;;;Sabrina's Alakazam;Pokémon;Psychic;65;Ken Sugimori;;https://images.pokemontcg.io/gym2/16.png;gym2
17;17;Rare Holo;;;Blaine;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/17.png;gym2
18;18;Rare Holo;;;Giovanni;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/18.png;gym2
19;19;Rare Holo;;;Koga;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/19.png;gym2
20;20;Rare Holo;;;Sabrina;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/20.png;gym2
21;21;Rare;;;Blaine's Ninetales;Pokémon;Fire;38;Ken Sugimori;;https://images.pokemontcg.io/gym2/21.png;gym2
22;22;Rare;;;Brock's Dugtrio;Pokémon;Fighting;51;Ken Sugimori;;https://images.pokemontcg.io/gym2/22.png;gym2
23;23;Rare;;;Giovanni's Nidoqueen;Pokémon;Grass;31;Ken Sugimori;;https://images.pokemontcg.io/gym2/23.png;gym2
24;24;Rare;;;Giovanni's Pinsir;Pokémon;Grass;127;Ken Sugimori;;https://images.pokemontcg.io/gym2/24.png;gym2
25;25;Rare;;;Koga's Arbok;Pokémon;Grass;24;Ken Sugimori;;https://images.pokemontcg.io/gym2/25.png;gym2
26;26;Rare;;;Koga's Muk;Pokémon;Grass;89;Ken Sugimori;;https://images.pokemontcg.io/gym2/26.png;gym2
27;27;Rare;;;Koga's Pidgeotto;Pokémon;Colorless;17;Ken Sugimori;;https://images.pokemontcg.io/gym2/27.png;gym2
28;28;Rare;;;Lt. Surge's Jolteon;Pokémon;Lightning;135;Ken Sugimori;;https://images.pokemontcg.io/gym2/28.png;gym2
29;29;Rare;;;Sabrina's Gengar;Pokémon;Psychic;94;Ken Sugimori;;https://images.pokemontcg.io/gym2/29.png;gym2
30;30;Rare;;;Sabrina's Golduck;Pokémon;Water;55;Ken Sugimori;;https://images.pokemontcg.io/gym2/30.png;gym2
31;31;Uncommon;;;Blaine's Charmeleon;Pokémon;Fire;5;Ken Sugimori;;https://images.pokemontcg.io/gym2/31.png;gym2
32;32;Uncommon;;;Blaine's Dodrio;Pokémon;Colorless;85;Ken Sugimori;;https://images.pokemontcg.io/gym2/32.png;gym2
33;33;Uncommon;;;Blaine's Rapidash;Pokémon;Fire;78;Ken Sugimori;;https://images.pokemontcg.io/gym2/33.png;gym2
34;34;Uncommon;;;Brock's Graveler;Pokémon;Fighting;75;Atsuko Nishida;;https://images.pokemontcg.io/gym2/34.png;gym2
35;35;Uncommon;;;Brock's Primeape;Pokémon;Fighting;57;Ken Sugimori;;https://images.pokemontcg.io/gym2/35.png;gym2
36;36;Uncommon;;;Brock's Sandslash;Pokémon;Fighting;28;Atsuko Nishida;;https://images.pokemontcg.io/gym2/36.png;gym2
37;37;Uncommon;;;Brock's Vulpix;Pokémon;Fire;37;Ken Sugimori;;https://images.pokemontcg.io/gym2/37.png;gym2
38;38;Uncommon;;;Erika's Bellsprout;Pokémon;Grass;69;Ken Sugimori;;https://images.pokemontcg.io/gym2/38.png;gym2
39;39;Uncommon;;;Erika's Bulbasaur;Pokémon;Grass;1;Ken Sugimori;;https://images.pokemontcg.io/gym2/39.png;gym2
40;40;Uncommon;;;Erika's Clefairy;Pokémon;Colorless;35;Atsuko Nishida;;https://images.pokemontcg.io/gym2/40.png;gym2
41;41;Uncommon;;;Erika's Ivysaur;Pokémon;Grass;2;Ken Sugimori;;https://images.pokemontcg.io/gym2/41.png;gym2
42;42;Uncommon;;;Giovanni's Machoke;Pokémon;Fighting;67;Ken Sugimori;;https://images.pokemontcg.io/gym2/42.png;gym2
43;43;Uncommon;;;Giovanni's Meowth;Pokémon;Colorless;52;Atsuko Nishida;;https://images.pokemontcg.io/gym2/43.png;gym2
44;44;Uncommon;;;Giovanni's Nidorina;Pokémon;Grass;30;Ken Sugimori;;https://images.pokemontcg.io/gym2/44.png;gym2
45;45;Uncommon;;;Giovanni's Nidorino;Pokémon;Grass;33;Ken Sugimori;;https://images.pokemontcg.io/gym2/45.png;gym2
46;46;Uncommon;;;Koga's Golbat;Pokémon;Grass;42;Ken Sugimori;;https://images.pokemontcg.io/gym2/46.png;gym2
47;47;Uncommon;;;Koga's Kakuna;Pokémon;Grass;14;Ken Sugimori;;https://images.pokemontcg.io/gym2/47.png;gym2
48;48;Uncommon;;;Koga's Koffing;Pokémon;Grass;109;Ken Sugimori;;https://images.pokemontcg.io/gym2/48.png;gym2
49;49;Uncommon;;;Koga's Pidgey;Pokémon;Colorless;16;Atsuko Nishida;;https://images.pokemontcg.io/gym2/49.png;gym2
50;50;Uncommon;;;Koga's Weezing;Pokémon;Grass;110;Ken Sugimori;;https://images.pokemontcg.io/gym2/50.png;gym2
51;51;Uncommon;;;Lt. Surge's Eevee;Pokémon;Colorless;133;Ken Sugimori;;https://images.pokemontcg.io/gym2/51.png;gym2
52;52;Uncommon;;;Lt. Surge's Electrode;Pokémon;Lightning;101;Ken Sugimori;;https://images.pokemontcg.io/gym2/52.png;gym2
53;53;Uncommon;;;Lt. Surge's Raticate;Pokémon;Colorless;20;Ken Sugimori;;https://images.pokemontcg.io/gym2/53.png;gym2
54;54;Uncommon;;;Misty's Dewgong;Pokémon;Water;87;Ken Sugimori;;https://images.pokemontcg.io/gym2/54.png;gym2
55;55;Uncommon;;;Sabrina's Haunter;Pokémon;Psychic;93;Ken Sugimori;;https://images.pokemontcg.io/gym2/55.png;gym2
