number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;;Blaine's Arcanine;Pokémon;Fire;59;Ken Sugimori;;;https://images.pokemontcg.io/gym2/1.png;;Gym Challenge
2;Rare Holo;;;Blaine's Charizard;Pokémon;Fire;6;Ken Sugimori;;;https://images.pokemontcg.io/gym2/2.png;;Gym Challenge
3;Rare Holo;;;Brock's Ninetales;Pokémon;Fire;38;Ken Sugimori;;;https://images.pokemontcg.io/gym2/3.png;;Gym Challenge
4;Rare Holo;;;Erika's Venusaur;Pokémon;Grass;3;Ken Sugimori;;;https://images.pokemontcg.io/gym2/4.png;;Gym Challenge
5;Rare Holo;;;Giovanni's Gyarados;Pokémon;Water;130;Ken Sugimori;;;https://images.pokemontcg.io/gym2/5.png;;Gym Challenge
6;Rare Holo;;;Giovanni's Machamp;Pokémon;Fighting;68;Ken Sugimori;;;https://images.pokemontcg.io/gym2/6.png;;Gym Challenge
7;Rare Holo;;;Giovanni's Nidoking;Pokémon;Grass;34;Ken Sugimori;;;https://images.pokemontcg.io/gym2/7.png;;Gym Challenge
8;Rare Holo;;;Giovanni's Persian;Pokémon;Colorless;53;Ken Sugimori;;;https://images.pokemontcg.io/gym2/8.png;;Gym Challenge
9;Rare Holo;;;Koga's Beedrill;Pokémon;Grass;15;Ken Sugimori;;;https://images.pokemontcg.io/gym2/9.png;;Gym Challenge
10;Rare Holo;;;Koga's Ditto;Pokémon;Colorless;132;Ken Sugimori;;;https://images.pokemontcg.io/gym2/10.png;;Gym Challenge
11;Rare Holo;;;Lt. Surge's Raichu;Pokémon;Lightning;26;Ken Sugimori;;;https://images.pokemontcg.io/gym2/11.png;;Gym Challenge
12;Rare Holo;;;Misty's Golduck;Pokémon;Water;55;Ken Sugimori;;;https://images.pokemontcg.io/gym2/12.png;;Gym Challenge
13;Rare Holo;;;Misty's Gyarados;Pokémon;Water;130;Ken Sugimori;;;https://images.pokemontcg.io/gym2/13.png;;Gym Challenge
14;Rare Holo;;;Rocket's Mewtwo;Pokémon;Psychic;150;Shin-ichi Yoshida;;;https://images.pokemontcg.io/gym2/14.png;;Gym Challenge
15;Rare Holo;;;Rocket's Zapdos;Pokémon;Lightning;145;Shin-ichi Yoshida;;;https://images.pokemontcg.io/gym2/15.png;;Gym Challenge
16;Rare Holo;;;Sabrina's Alakazam;Pokémon;Psychic;65;Ken Sugimori;;;https://images.pokemontcg.io/gym2/16.png;;Gym Challenge
17;Rare Holo;;;Blaine;Trainer;NoColor;;Ken Sugimori;;;https://images.pokemontcg.io/gym2/17.png;;Gym Challenge
18;Rare Holo;;;Giovanni;Trainer;NoColor;;Ken Sugimori;;;https://images.pokemontcg.io/gym2/18.png;;Gym Challenge
19;Rare Holo;;;Koga;Trainer;NoColor;;Ken Sugimori;;;https://images.pokemontcg.io/gym2/19.png;;Gym Challenge
20;Rare Holo;;;Sabrina;Trainer;NoColor;;Ken Sugimori;;;https://images.pokemontcg.io/gym2/20.png;;Gym Challenge
21;Rare;;;Blaine's Ninetales;Pokémon;Fire;38;Ken Sugimori;;;https://images.pokemontcg.io/gym2/21.png;;Gym Challenge
22;Rare;;;Brock's Dugtrio;Pokémon;Fighting;51;Ken Sugimori;;;https://images.pokemontcg.io/gym2/22.png;;Gym Challenge
23;Rare;;;Giovanni's Nidoqueen;Pokémon;Grass;31;Ken Sugimori;;;https://images.pokemontcg.io/gym2/23.png;;Gym Challenge
24;Rare;;;Giovanni's Pinsir;Pokémon;Grass;127;Ken Sugimori;;;https://images.pokemontcg.io/gym2/24.png;;Gym Challenge
25;Rare;;;Koga's Arbok;Pokémon;Grass;24;Ken Sugimori;;;https://images.pokemontcg.io/gym2/25.png;;Gym Challenge
26;Rare;;;Koga's Muk;Pokémon;Grass;89;Ken Sugimori;;;https://images.pokemontcg.io/gym2/26.png;;Gym Challenge
27;Rare;;;Koga's Pidgeotto;Pokémon;Colorless;17;Ken Sugimori;;;https://images.pokemontcg.io/gym2/27.png;;Gym Challenge
28;Rare;;;Lt. Surge's Jolteon;Pokémon;Lightning;135;Ken Sugimori;;;https://images.pokemontcg.io/gym2/28.png;;Gym Challenge
