rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Mélodelfe;Clefable;Pokémon;Colorless;36;sui;https://www.pokepedia.fr/images/c/c5/Carte_L%27Appel_des_L%C3%A9gendes_1.png;https://images.pokemontcg.io/col1/1.png;col1
2;2;Rare Holo;;Deoxys;Deoxys;Pokémon;Psychic;386;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_2.png;https://images.pokemontcg.io/col1/2.png;col1
3;3;Rare Holo;;Dialga;Dialga;Pokémon;Metal;483;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_3.png;https://images.pokemontcg.io/col1/3.png;col1
4;4;Rare Holo;;Mentali;Espeon;Pokémon;Psychic;196;match;https://www.pokepedia.fr/images/8/8c/Carte_L%27Appel_des_L%C3%A9gendes_4.png;https://images.pokemontcg.io/col1/4.png;col1
5;5;Rare Holo;;Foretress;Forretress;Pokémon;Metal;205;Kyoko Umemoto;https://www.pokepedia.fr/images/7/78/Carte_L%27Appel_des_L%C3%A9gendes_5.png;https://images.pokemontcg.io/col1/5.png;col1
6;6;Rare Holo;;Groudon;Groudon;Pokémon;Fighting;383;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_6.png;https://images.pokemontcg.io/col1/6.png;col1
7;7;Rare Holo;;Léviator;Gyarados;Pokémon;Water;130;Mitsuhiro Arita;https://www.pokepedia.fr/images/f/fd/Carte_L%27Appel_des_L%C3%A9gendes_7.png;https://images.pokemontcg.io/col1/7.png;col1
8;8;Rare Holo;;Kapoera;Hitmontop;Pokémon;Fighting;237;Shigenori Negishi;https://www.pokepedia.fr/images/0/04/Carte_L%27Appel_des_L%C3%A9gendes_8.png;https://images.pokemontcg.io/col1/8.png;col1
9;9;Rare Holo;;Ho-Oh;Ho-Oh;Pokémon;Fire;250;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_9.png;https://images.pokemontcg.io/col1/9.png;col1
10;10;Rare Holo;;Démolosse;Houndoom;Pokémon;Darkness;229;Kagemaru Himeno;https://www.pokepedia.fr/images/8/87/Carte_L%27Appel_des_L%C3%A9gendes_10.png;https://images.pokemontcg.io/col1/10.png;col1
11;11;Rare Holo;;Jirachi;Jirachi;Pokémon;Psychic;385;match;https://www.pokepedia.fr/images/6/64/Carte_L%27Appel_des_L%C3%A9gendes_11.png;https://images.pokemontcg.io/col1/11.png;col1
12;12;Rare Holo;;Kyogre;Kyogre;Pokémon;Water;382;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_12.png;https://images.pokemontcg.io/col1/12.png;col1
13;13;Rare Holo;;Phyllali;Leafeon;Pokémon;Grass;470;match;https://www.pokepedia.fr/images/4/48/Carte_L%27Appel_des_L%C3%A9gendes_13.png;https://images.pokemontcg.io/col1/13.png;col1
14;14;Rare Holo;;Lucario;Lucario;Pokémon;Fighting;448;Takashi Yamaguchi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_14.png;https://images.pokemontcg.io/col1/14.png;col1
15;15;Rare Holo;;Lugia;Lugia;Pokémon;Water;249;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_15.png;https://images.pokemontcg.io/col1/15.png;col1
16;16;Rare Holo;;Maganon;Magmortar;Pokémon;Fire;467;Hajime Kusajima;https://www.pokepedia.fr/images/c/c7/Carte_L%27Appel_des_L%C3%A9gendes_16.png;https://images.pokemontcg.io/col1/16.png;col1
17;17;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;TOKIYA;https://www.pokepedia.fr/images/0/0d/Carte_L%27Appel_des_L%C3%A9gendes_17.png;https://images.pokemontcg.io/col1/17.png;col1
18;18;Rare Holo;;Pachirisu;Pachirisu;Pokémon;Lightning;417;Noriko Hotta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_18.png;https://images.pokemontcg.io/col1/18.png;col1
19;19;Rare Holo;;Palkia;Palkia;Pokémon;Water;484;Daisuke Iwamoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_19.png;https://images.pokemontcg.io/col1/19.png;col1
20;20;Rare Holo;;Rayquaza;Rayquaza;Pokémon;Colorless;384;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_20.png;https://images.pokemontcg.io/col1/20.png;col1
21;21;Rare Holo;;Queulorior;Smeargle;Pokémon;Colorless;235;Midori Harada;https://www.pokepedia.fr/images/9/9d/Carte_L%27Appel_des_L%C3%A9gendes_21.png;https://images.pokemontcg.io/col1/21.png;col1
22;22;Rare Holo;;Noctali;Umbreon;Pokémon;Darkness;197;Mitsuhiro Arita;https://www.pokepedia.fr/images/a/a2/Carte_L%27Appel_des_L%C3%A9gendes_22.png;https://images.pokemontcg.io/col1/22.png;col1
23;23;Rare;;Pharamp;Ampharos;Pokémon;Lightning;181;Masakazu Fukuda;https://www.pokepedia.fr/images/6/60/Carte_L%27Appel_des_L%C3%A9gendes_23.png;https://images.pokemontcg.io/col1/23.png;col1
24;24;Rare;;Mélo;Cleffa;Pokémon;Colorless;173;sui;https://www.pokepedia.fr/images/1/16/Carte_L%27Appel_des_L%C3%A9gendes_24.png;https://images.pokemontcg.io/col1/24.png;col1
25;25;Rare;;Aligatueur;Feraligatr;Pokémon;Water;160;kawayoo;https://www.pokepedia.fr/images/7/7b/Carte_L%27Appel_des_L%C3%A9gendes_25.png;https://images.pokemontcg.io/col1/25.png;col1
26;26;Rare;;Granbull;Granbull;Pokémon;Colorless;210;Mizue;https://www.pokepedia.fr/images/2/24/Carte_L%27Appel_des_L%C3%A9gendes_26.png;https://images.pokemontcg.io/col1/26.png;col1
27;27;Rare;;Méganium;Meganium;Pokémon;Grass;154;Shin Nagasawa;https://www.pokepedia.fr/images/9/9e/Carte_L%27Appel_des_L%C3%A9gendes_27.png;https://images.pokemontcg.io/col1/27.png;col1
28;28;Rare;;Magirêve;Mismagius;Pokémon;Psychic;429;Suwama Chiaki;https://www.pokepedia.fr/images/7/71/Carte_L%27Appel_des_L%C3%A9gendes_28.png;https://images.pokemontcg.io/col1/28.png;col1
29;29;Rare;;M. Mime;Mr. Mime;Pokémon;Psychic;122;Noriko Hotta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_29.png;https://images.pokemontcg.io/col1/29.png;col1
30;30;Rare;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Suwama Chiaki;https://www.pokepedia.fr/images/9/9a/Carte_L%27Appel_des_L%C3%A9gendes_30.png;https://images.pokemontcg.io/col1/30.png;col1
31;31;Rare;;Airmure;Skarmory;Pokémon;Metal;227;Midori Harada;https://www.pokepedia.fr/images/2/25/Carte_L%27Appel_des_L%C3%A9gendes_31.png;https://images.pokemontcg.io/col1/31.png;col1
32;32;Rare;;Roigada;Slowking;Pokémon;Psychic;199;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/7/71/Carte_L%27Appel_des_L%C3%A9gendes_32.png;https://images.pokemontcg.io/col1/32.png;col1
33;33;Rare;;Ronflex;Snorlax;Pokémon;Colorless;143;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_33.png;https://images.pokemontcg.io/col1/33.png;col1
34;34;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Hideaki Hakozaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_34.png;https://images.pokemontcg.io/col1/34.png;col1
35;35;Rare;;Typhlosion;Typhlosion;Pokémon;Fire;157;Kagemaru Himeno;https://www.pokepedia.fr/images/6/66/Carte_L%27Appel_des_L%C3%A9gendes_35.png;https://images.pokemontcg.io/col1/35.png;col1
36;36;Rare;;Debugant;Tyrogue;Pokémon;Fighting;236;Shigenori Negishi;https://www.pokepedia.fr/images/b/bc/Carte_L%27Appel_des_L%C3%A9gendes_36.png;https://images.pokemontcg.io/col1/36.png;col1
37;37;Rare;;Ursaring;Ursaring;Pokémon;Colorless;217;Kouki Saitou;https://www.pokepedia.fr/images/a/a5/Carte_L%27Appel_des_L%C3%A9gendes_37.png;https://images.pokemontcg.io/col1/37.png;col1
38;38;Rare;;Smogogo;Weezing;Pokémon;Psychic;110;Hajime Kusajima;https://www.pokepedia.fr/images/2/2f/Carte_L%27Appel_des_L%C3%A9gendes_38.png;https://images.pokemontcg.io/col1/38.png;col1
39;39;Rare;;Mangriff;Zangoose;Pokémon;Colorless;335;Wataru Kawahara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_39.png;https://images.pokemontcg.io/col1/39.png;col1
40;40;Uncommon;;Macronium;Bayleef;Pokémon;Grass;153;Shin Nagasawa;https://www.pokepedia.fr/images/1/1d/Carte_L%27Appel_des_L%C3%A9gendes_40.png;https://images.pokemontcg.io/col1/40.png;col1
41;41;Uncommon;;Crocrodil;Croconaw;Pokémon;Water;159;kawayoo;https://www.pokepedia.fr/images/b/b4/Carte_L%27Appel_des_L%C3%A9gendes_41.png;https://images.pokemontcg.io/col1/41.png;col1
42;42;Uncommon;;Donphan;Donphan;Pokémon;Fighting;232;Midori Harada;https://www.pokepedia.fr/images/b/b2/Carte_L%27Appel_des_L%C3%A9gendes_42.png;https://images.pokemontcg.io/col1/42.png;col1
43;43;Uncommon;;Lainergie;Flaaffy;Pokémon;Lightning;180;Masakazu Fukuda;https://www.pokepedia.fr/images/5/56/Carte_L%27Appel_des_L%C3%A9gendes_43.png;https://images.pokemontcg.io/col1/43.png;col1
44;44;Uncommon;;Pyroli;Flareon;Pokémon;Fire;136;kawayoo;https://www.pokepedia.fr/images/d/d2/Carte_L%27Appel_des_L%C3%A9gendes_44.png;https://images.pokemontcg.io/col1/44.png;col1
45;45;Uncommon;;Voltali;Jolteon;Pokémon;Lightning;135;Shin Nagasawa;https://www.pokepedia.fr/images/0/0b/Carte_L%27Appel_des_L%C3%A9gendes_45.png;https://images.pokemontcg.io/col1/45.png;col1
46;46;Uncommon;;Magby;Magby;Pokémon;Fire;240;Akira Komayama;https://www.pokepedia.fr/images/4/40/Carte_L%27Appel_des_L%C3%A9gendes_46.png;https://images.pokemontcg.io/col1/46.png;col1
47;47;Uncommon;;Mime Jr.;Mime Jr.;Pokémon;Psychic;439;Noriko Hotta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_47.png;https://images.pokemontcg.io/col1/47.png;col1
48;48;Uncommon;;Roucoups;Pidgeotto;Pokémon;Colorless;17;Suwama Chiaki;https://www.pokepedia.fr/images/2/2b/Carte_L%27Appel_des_L%C3%A9gendes_48.png;https://images.pokemontcg.io/col1/48.png;col1
49;49;Uncommon;;Feurisson;Quilava;Pokémon;Fire;156;Kagemaru Himeno;https://www.pokepedia.fr/images/2/22/Carte_L%27Appel_des_L%C3%A9gendes_49.png;https://images.pokemontcg.io/col1/49.png;col1
