rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Arcanin;Arcanine;Pokémon;Fire;59;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_1.png;https://images.pokemontcg.io/hgss1/1.png;hgss1
2;2;Rare Holo;;Azumarill;Azumarill;Pokémon;Water;184;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_2.png;https://images.pokemontcg.io/hgss1/2.png;hgss1
3;3;Rare Holo;;Mélodelfe;Clefable;Pokémon;Colorless;36;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_3.png;https://images.pokemontcg.io/hgss1/3.png;hgss1
4;4;Rare Holo;;Léviator;Gyarados;Pokémon;Water;130;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_4.png;https://images.pokemontcg.io/hgss1/4.png;hgss1
5;5;Rare Holo;;Kapoera;Hitmontop;Pokémon;Fighting;237;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_5.png;https://images.pokemontcg.io/hgss1/5.png;hgss1
6;6;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_6.png;https://images.pokemontcg.io/hgss1/6.png;hgss1
7;7;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_7.png;https://images.pokemontcg.io/hgss1/7.png;hgss1
8;8;Rare Holo;;Noarfang;Noctowl;Pokémon;Colorless;164;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_8.png;https://images.pokemontcg.io/hgss1/8.png;hgss1
9;9;Rare Holo;;Maraiste;Quagsire;Pokémon;Water;195;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_9.png;https://images.pokemontcg.io/hgss1/9.png;hgss1
10;10;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS1/HGSS1_FR_10.png;https://images.pokemontcg.io/hgss1/10.png;hgss1
