number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Joliflor;Bellossom;Pokémon;Grass;182;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_1.png;;https://images.pokemontcg.io/hgss3/1.png;;HS—Undaunted
2;Rare Holo;;Mentali;Espeon;Pokémon;Psychic;196;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_2.png;;https://images.pokemontcg.io/hgss3/2.png;;HS—Undaunted
3;Rare Holo;;Foretress;Forretress;Pokémon;Metal;205;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_3.png;;https://images.pokemontcg.io/hgss3/3.png;;HS—Undaunted
4;Rare Holo;;Scorvol;Gliscor;Pokémon;Fighting;472;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_4.png;;https://images.pokemontcg.io/hgss3/4.png;;HS—Undaunted
5;Rare Holo;;Démolosse;Houndoom;Pokémon;Darkness;229;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_5.png;;https://images.pokemontcg.io/hgss3/5.png;;HS—Undaunted
6;Rare Holo;;Volcaropod;Magcargo;Pokémon;Fire;219;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_6.png;;https://images.pokemontcg.io/hgss3/6.png;;HS—Undaunted
7;Rare Holo;;Cizayox;Scizor;Pokémon;Metal;212;Kent Kanetsuna/Direc. Shinji Higuchi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_7.png;;https://images.pokemontcg.io/hgss3/7.png;;HS—Undaunted
8;Rare Holo;;Queulorior;Smeargle;Pokémon;Colorless;235;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_8.png;;https://images.pokemontcg.io/hgss3/8.png;;HS—Undaunted
9;Rare Holo;;Togekiss;Togekiss;Pokémon;Colorless;468;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_9.png;;https://images.pokemontcg.io/hgss3/9.png;;HS—Undaunted
10;Rare Holo;;Noctali;Umbreon;Pokémon;Darkness;197;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_10.png;;https://images.pokemontcg.io/hgss3/10.png;;HS—Undaunted
11;Rare;;Dodrio;Dodrio;Pokémon;Colorless;85;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_11.png;;https://images.pokemontcg.io/hgss3/11.png;;HS—Undaunted
12;Rare;;Grodrive;Drifblim;Pokémon;Psychic;426;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_12.png;;https://images.pokemontcg.io/hgss3/12.png;;HS—Undaunted
13;Rare;;Foretress;Forretress;Pokémon;Metal;205;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_13.png;;https://images.pokemontcg.io/hgss3/13.png;;HS—Undaunted
14;Rare;;Hariyama;Hariyama;Pokémon;Fighting;297;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_14.png;;https://images.pokemontcg.io/hgss3/14.png;;HS—Undaunted
15;Rare;;Corboss;Honchkrow;Pokémon;Darkness;430;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_15.png;;https://images.pokemontcg.io/hgss3/15.png;;HS—Undaunted
16;Rare;;Corboss;Honchkrow;Pokémon;Darkness;430;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_16.png;;https://images.pokemontcg.io/hgss3/16.png;;HS—Undaunted
17;Rare;;Phyllali;Leafeon;Pokémon;Grass;470;Noriko Hotta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_17.png;;https://images.pokemontcg.io/hgss3/17.png;;HS—Undaunted
18;Rare;;Metalosse;Metagross;Pokémon;Metal;376;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_18.png;;https://images.pokemontcg.io/hgss3/18.png;;HS—Undaunted
19;Rare;;Magirêve;Mismagius;Pokémon;Psychic;429;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_19.png;;https://images.pokemontcg.io/hgss3/19.png;;HS—Undaunted
20;Rare;;Motisma;Rotom;Pokémon;Lightning;479;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_20.png;;https://images.pokemontcg.io/hgss3/20.png;;HS—Undaunted
21;Rare;;Airmure;Skarmory;Pokémon;Metal;227;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_21.png;;https://images.pokemontcg.io/hgss3/21.png;;HS—Undaunted
22;Rare;;Tropius;Tropius;Pokémon;Grass;357;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_22.png;;https://images.pokemontcg.io/hgss3/22.png;;HS—Undaunted
23;Rare;;Apireine;Vespiquen;Pokémon;Grass;416;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_23.png;;https://images.pokemontcg.io/hgss3/23.png;;HS—Undaunted
24;Rare;;Rafflésia;Vileplume;Pokémon;Grass;45;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_24.png;;https://images.pokemontcg.io/hgss3/24.png;;HS—Undaunted
25;Rare;;Dimoret;Weavile;Pokémon;Darkness;461;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_25.png;;https://images.pokemontcg.io/hgss3/25.png;;HS—Undaunted
26;Uncommon;;Pyroli;Flareon;Pokémon;Fire;136;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_26.png;;https://images.pokemontcg.io/hgss3/26.png;;HS—Undaunted
27;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_27.png;;https://images.pokemontcg.io/hgss3/27.png;;HS—Undaunted
28;Uncommon;;Voltali;Jolteon;Pokémon;Lightning;135;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_28.png;;https://images.pokemontcg.io/hgss3/28.png;;HS—Undaunted
29;Uncommon;;Galegon;Lairon;Pokémon;Metal;305;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_29.png;;https://images.pokemontcg.io/hgss3/29.png;;HS—Undaunted
30;Uncommon;;Metang;Metang;Pokémon;Metal;375;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_30.png;;https://images.pokemontcg.io/hgss3/30.png;;HS—Undaunted
31;Uncommon;;Grotadmorv;Muk;Pokémon;Psychic;89;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_31.png;;https://images.pokemontcg.io/hgss3/31.png;;HS—Undaunted
32;Uncommon;;Scarabrute;Pinsir;Pokémon;Grass;127;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_32.png;;https://images.pokemontcg.io/hgss3/32.png;;HS—Undaunted
33;Uncommon;;Raichu;Raichu;Pokémon;Lightning;26;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_33.png;;https://images.pokemontcg.io/hgss3/33.png;;HS—Undaunted
34;Uncommon;;Rattatac;Raticate;Pokémon;Colorless;20;Sachiko Adachi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_34.png;;https://images.pokemontcg.io/hgss3/34.png;;HS—Undaunted
35;Uncommon;;Ténéfix;Sableye;Pokémon;Darkness;302;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_35.png;;https://images.pokemontcg.io/hgss3/35.png;;HS—Undaunted
36;Uncommon;;Insécateur;Scyther;Pokémon;Grass;123;Wataru Kawahara/Direc. Shinji Higuchi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_36.png;;https://images.pokemontcg.io/hgss3/36.png;;HS—Undaunted
37;Uncommon;;Moufflair;Skuntank;Pokémon;Darkness;435;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_37.png;;https://images.pokemontcg.io/hgss3/37.png;;HS—Undaunted
38;Uncommon;;Flagadoss;Slowbro;Pokémon;Water;80;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_38.png;;https://images.pokemontcg.io/hgss3/38.png;;HS—Undaunted
39;Uncommon;;Togetic;Togetic;Pokémon;Colorless;176;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_39.png;;https://images.pokemontcg.io/hgss3/39.png;;HS—Undaunted
40;Uncommon;;Zarbi;Unown;Pokémon;Psychic;201;Hideaki Hakozaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_40.png;;https://images.pokemontcg.io/hgss3/40.png;;HS—Undaunted
41;Uncommon;;Aquali;Vaporeon;Pokémon;Water;134;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_41.png;;https://images.pokemontcg.io/hgss3/41.png;;HS—Undaunted
42;Common;;Galekid;Aron;Pokémon;Metal;304;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_42.png;;https://images.pokemontcg.io/hgss3/42.png;;HS—Undaunted
43;Common;;Terhal;Beldum;Pokémon;Metal;374;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_43.png;;https://images.pokemontcg.io/hgss3/43.png;;HS—Undaunted
44;Common;;Apitrini;Combee;Pokémon;Grass;415;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_44.png;;https://images.pokemontcg.io/hgss3/44.png;;HS—Undaunted
45;Common;;Doduo;Doduo;Pokémon;Colorless;84;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_45.png;;https://images.pokemontcg.io/hgss3/45.png;;HS—Undaunted
46;Common;;Baudrive;Drifloon;Pokémon;Psychic;425;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_46.png;;https://images.pokemontcg.io/hgss3/46.png;;HS—Undaunted
47;Common;;Evoli;Eevee;Pokémon;Colorless;133;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_47.png;;https://images.pokemontcg.io/hgss3/47.png;;HS—Undaunted
48;Common;;Evoli;Eevee;Pokémon;Colorless;133;Noriko Hotta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_48.png;;https://images.pokemontcg.io/hgss3/48.png;;HS—Undaunted
49;Common;;Scorplane;Gligar;Pokémon;Fighting;207;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_49.png;;https://images.pokemontcg.io/hgss3/49.png;;HS—Undaunted
50;Common;;Tadmorv;Grimer;Pokémon;Psychic;88;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_50.png;;https://images.pokemontcg.io/hgss3/50.png;;HS—Undaunted
51;Common;;Tygnon;Hitmonchan;Pokémon;Fighting;107;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_51.png;;https://images.pokemontcg.io/hgss3/51.png;;HS—Undaunted
52;Common;;Kicklee;Hitmonlee;Pokémon;Fighting;106;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_52.png;;https://images.pokemontcg.io/hgss3/52.png;;HS—Undaunted
53;Common;;Malosse;Houndour;Pokémon;Darkness;228;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_53.png;;https://images.pokemontcg.io/hgss3/53.png;;HS—Undaunted
54;Common;;Malosse;Houndour;Pokémon;Darkness;228;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_54.png;;https://images.pokemontcg.io/hgss3/54.png;;HS—Undaunted
55;Common;;Makuhita;Makuhita;Pokémon;Fighting;296;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_55.png;;https://images.pokemontcg.io/hgss3/55.png;;HS—Undaunted
56;Common;;Mysdibule;Mawile;Pokémon;Metal;303;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS3/HGSS3_FR_56.png;;https://images.pokemontcg.io/hgss3/56.png;;HS—Undaunted
