rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;BW01;;;Vipélierre;Snivy;Pokémon;Grass;495;Ken Sugimori;https://www.pokepedia.fr/images/5/57/Carte_Promo_BW_BW01.png;https://images.pokemontcg.io/bwp/BW01.png;bwp
2;BW02;;;Gruikui;Tepig;Pokémon;Fire;498;Ken Sugimori;https://www.pokepedia.fr/images/0/00/Carte_Promo_BW_BW02.png;https://images.pokemontcg.io/bwp/BW02.png;bwp
3;BW03;;;Moustillon;Oshawott;Pokémon;Water;501;Ken Sugimori;https://www.pokepedia.fr/images/0/09/Carte_Promo_BW_BW03.png;https://images.pokemontcg.io/bwp/BW03.png;bwp
4;BW04;;;Reshiram;Reshiram;Pokémon;Fire;643;5ban Graphics;https://www.coleka.com/media/item/20160416/pokemon-serie-noir-et-blanc-cartes-promos-reshiram-bw04.jpg;https://images.pokemontcg.io/bwp/BW04.png;bwp
5;BW05;;;Zekrom;Zekrom;Pokémon;Lightning;644;5ban Graphics;https://www.coleka.com/media/item/20160416/pokemon-serie-noir-et-blanc-cartes-promos-zekrom-bw05.jpg;https://images.pokemontcg.io/bwp/BW05.png;bwp
6;BW06;;;Vipélierre;Snivy;Pokémon;Grass;495;Shizurow;https://www.pokepedia.fr/images/8/87/Carte_Promo_BW_BW06.png;https://images.pokemontcg.io/bwp/BW06.png;bwp
7;BW07;;;Gruikui;Tepig;Pokémon;Fire;498;Shin Nagasawa;https://www.pokepedia.fr/images/3/30/Carte_Promo_BW_BW07.png;https://images.pokemontcg.io/bwp/BW07.png;bwp
8;BW08;;;Moustillon;Oshawott;Pokémon;Water;501;Mitsuhiro Arita;https://www.coleka.com/media/item/201903/27/black-white-promos-oshawott-bw08.jpg;https://images.pokemontcg.io/bwp/BW08.png;bwp
9;BW09;;;Zoroark;Zoroark;Pokémon;Darkness;571;Naoki Saito;https://www.coleka.com/media/item/201903/27/black-white-promos-zoroark-bw09.jpg;https://images.pokemontcg.io/bwp/BW09.png;bwp
10;BW10;;;Coupenotte;Axew;Pokémon;Colorless;610;Masakazu Fukuda;https://www.pokepedia.fr/images/0/03/Carte_Promo_BW_BW10.png;https://images.pokemontcg.io/bwp/BW10.png;bwp
11;BW11;;;Feuillajou;Pansage;Pokémon;Grass;511;Akira Komayama;https://www.pokepedia.fr/images/0/0b/Carte_Promo_BW_BW11.png;https://images.pokemontcg.io/bwp/BW11.png;bwp
12;BW12;;;Zorua;Zorua;Pokémon;Darkness;570;Tomokazu Komiya;https://www.pokepedia.fr/images/d/d9/Carte_Promo_BW_BW12.png;https://images.pokemontcg.io/bwp/BW12.png;bwp
13;BW13;;;Chinchidou;Minccino;Pokémon;Colorless;572;Atsuko Nishida;https://www.pokepedia.fr/images/8/80/Carte_Promo_BW_BW13.png;https://images.pokemontcg.io/bwp/BW13.png;bwp
14;BW14;;;Feuillajou;Pansage;Pokémon;Grass;511;Akira Komayama;https://www.pokepedia.fr/images/2/2d/Carte_Promo_BW_BW14.png;https://images.pokemontcg.io/bwp/BW14.png;bwp
15;BW15;;;Poichigeon;Pidove;Pokémon;Colorless;519;Naoki Saito;https://www.pokepedia.fr/images/7/75/Carte_Promo_BW_BW15.png;https://images.pokemontcg.io/bwp/BW15.png;bwp
16;BW16;;;Coupenotte;Axew;Pokémon;Colorless;610;Masakazu Fukuda;https://www.pokepedia.fr/images/a/a7/Carte_Promo_BW_BW16.png;https://images.pokemontcg.io/bwp/BW16.png;bwp
17;BW17;;;Couaneton;Ducklett;Pokémon;Water;580;Kagemaru Himeno;https://www.pokepedia.fr/images/3/35/Carte_Promo_BW_BW17.png;https://images.pokemontcg.io/bwp/BW17.png;bwp
18;BW18;;;Darumarond;Darumaka;Pokémon;Fire;554;Akira Komayama;https://www.pokepedia.fr/images/8/8b/Carte_Promo_BW_BW18.png;https://images.pokemontcg.io/bwp/BW18.png;bwp
19;BW19;;;Zoroark;Zoroark;Pokémon;Darkness;571;5ban Graphics;https://www.pokepedia.fr/images/9/93/Carte_Promo_BW_BW19.png;https://images.pokemontcg.io/bwp/BW19.png;bwp
20;BW20;;;Majaspic;Serperior;Pokémon;Grass;497;5ban Graphics;https://www.pokepedia.fr/images/7/7a/Carte_Promo_BW_BW20.png;https://images.pokemontcg.io/bwp/BW20.png;bwp
21;BW21;;;Roitiflam;Emboar;Pokémon;Fire;500;5ban Graphics;https://www.pokepedia.fr/images/b/b6/Carte_Promo_BW_BW21.png;https://images.pokemontcg.io/bwp/BW21.png;bwp
22;BW22;;;Clamiral;Samurott;Pokémon;Water;503;5ban Graphics;https://www.pokepedia.fr/images/1/1c/Carte_Promo_BW_BW22.png;https://images.pokemontcg.io/bwp/BW22.png;bwp
23;BW23;;;Reshiram;Reshiram;Pokémon;Fire;643;5ban Graphics;https://www.pokepedia.fr/images/3/38/Carte_Promo_BW_BW23.png;https://images.pokemontcg.io/bwp/BW23.png;bwp
24;BW24;;;Zekrom;Zekrom;Pokémon;Lightning;644;5ban Graphics;https://www.pokepedia.fr/images/2/2f/Carte_Promo_BW_BW24.png;https://images.pokemontcg.io/bwp/BW24.png;bwp
25;BW25;;;Baggiguane;Scraggy;Pokémon;Darkness;559;Akira Komayama;https://www.pokepedia.fr/images/0/00/Carte_Promo_BW_BW25.png;https://images.pokemontcg.io/bwp/BW25.png;bwp
26;BW26;;;Coupenotte;Axew;Pokémon;Colorless;610;Akira Komayama;https://www.pokepedia.fr/images/e/e3/Carte_Promo_BW_BW26.png;https://images.pokemontcg.io/bwp/BW26.png;bwp
27;BW27;;;Funécire;Litwick;Pokémon;Psychic;607;Atsuko Nishida;https://www.pokepedia.fr/images/6/65/Carte_Promo_BW_BW27.png;https://images.pokemontcg.io/bwp/BW27.png;bwp
28;BW28;;;Plage Tropicale;Tropical Beach;Trainer;NoColor;;Naoki Saito;https://www.pokepedia.fr/images/7/78/Carte_Promo_BW_BW28.png;https://images.pokemontcg.io/bwp/BW28.png;bwp
29;BW29;;;Victory Cup;Victory Cup;Trainer;NoColor;;5ban Graphics;https://www.pokepedia.fr/images/9/9a/Carte_Promo_BW_BW29.png;https://images.pokemontcg.io/bwp/BW29.png;bwp
30;BW30;;;Victory Cup;Victory Cup;Trainer;NoColor;;5ban Graphics;https://www.pokepedia.fr/images/e/e2/Carte_Promo_BW_BW30.png;https://images.pokemontcg.io/bwp/BW30.png;bwp
31;BW31;;;Victory Cup;Victory Cup;Trainer;NoColor;;5ban Graphics;https://www.pokepedia.fr/images/9/91/Carte_Promo_BW_BW31.png;https://images.pokemontcg.io/bwp/BW31.png;bwp
