number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_1.png;;https://images.pokemontcg.io/bw5/1.png;;Dark Explorers
2;Uncommon;;Herbizarre;Ivysaur;Pokémon;Grass;2;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_2.png;;https://images.pokemontcg.io/bw5/2.png;;Dark Explorers
3;Rare Holo;;Florizarre;Venusaur;Pokémon;Grass;3;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_3.png;;https://images.pokemontcg.io/bw5/3.png;;Dark Explorers
4;Uncommon;;Insécateur;Scyther;Pokémon;Grass;123;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_4.png;;https://images.pokemontcg.io/bw5/4.png;;Dark Explorers
5;Rare;;Vortente;Carnivine;Pokémon;Grass;455;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_5.png;;https://images.pokemontcg.io/bw5/5.png;;Dark Explorers
6;Rare;;Phyllali;Leafeon;Pokémon;Grass;470;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_6.png;;https://images.pokemontcg.io/bw5/6.png;;Dark Explorers
7;Common;;Crabicoque;Dwebble;Pokémon;Grass;557;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_7.png;;https://images.pokemontcg.io/bw5/7.png;;Dark Explorers
8;Uncommon;;Crabaraque;Crustle;Pokémon;Grass;558;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_8.png;;https://images.pokemontcg.io/bw5/8.png;;Dark Explorers
9;Common;;Carabing;Karrablast;Pokémon;Grass;588;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_9.png;;https://images.pokemontcg.io/bw5/9.png;;Dark Explorers
10;Common;;Escargaume;Shelmet;Pokémon;Grass;616;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_10.png;;https://images.pokemontcg.io/bw5/10.png;;Dark Explorers
11;Rare;;Limaspeed;Accelgor;Pokémon;Grass;617;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_11.png;;https://images.pokemontcg.io/bw5/11.png;;Dark Explorers
12;Uncommon;;Pyroli;Flareon;Pokémon;Fire;136;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_12.png;;https://images.pokemontcg.io/bw5/12.png;;Dark Explorers
13;Ultra;EX;Entei-EX;Entei-EX;Pokémon;Fire;244;Shizurow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_13.png;;https://images.pokemontcg.io/bw5/13.png;;Dark Explorers
14;Common;;Poussifeu;Torchic;Pokémon;Fire;255;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_14.png;;https://images.pokemontcg.io/bw5/14.png;;Dark Explorers
15;Common;;Poussifeu;Torchic;Pokémon;Fire;255;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_15.png;;https://images.pokemontcg.io/bw5/15.png;;Dark Explorers
16;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_16.png;;https://images.pokemontcg.io/bw5/16.png;;Dark Explorers
17;Rare Holo;;Brasegali;Blaziken;Pokémon;Fire;257;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_17.png;;https://images.pokemontcg.io/bw5/17.png;;Dark Explorers
18;Uncommon;;Chartor;Torkoal;Pokémon;Fire;324;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_18.png;;https://images.pokemontcg.io/bw5/18.png;;Dark Explorers
19;Rare;;Aflamanoir;Heatmor;Pokémon;Fire;631;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_19.png;;https://images.pokemontcg.io/bw5/19.png;;Dark Explorers
20;Common;;Pyronille;Larvesta;Pokémon;Fire;636;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_20.png;;https://images.pokemontcg.io/bw5/20.png;;Dark Explorers
21;Common;;Pyronille;Larvesta;Pokémon;Fire;636;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_21.png;;https://images.pokemontcg.io/bw5/21.png;;Dark Explorers
22;Rare Holo;;Pyrax;Volcarona;Pokémon;Fire;637;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_22.png;;https://images.pokemontcg.io/bw5/22.png;;Dark Explorers
23;Common;;Ramoloss;Slowpoke;Pokémon;Water;79;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_23.png;;https://images.pokemontcg.io/bw5/23.png;;Dark Explorers
24;Uncommon;;Flagadoss;Slowbro;Pokémon;Water;80;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW5/BW5_FR_24.png;;https://images.pokemontcg.io/bw5/24.png;;Dark Explorers
