number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Arakdo;Surskit;Pokémon;Grass;283;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_1.png;;https://images.pokemontcg.io/bw10/1.png;;Plasma Blast
2;Rare;;Maskadra;Masquerain;Pokémon;Grass;284;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_2.png;;https://images.pokemontcg.io/bw10/2.png;;Plasma Blast
3;Uncommon;;Lilia;Lileep;Pokémon;Grass;345;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_3.png;;https://images.pokemontcg.io/bw10/3.png;;Plasma Blast
4;Rare;;Vacilys;Cradily;Pokémon;Grass;346;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_4.png;;https://images.pokemontcg.io/bw10/4.png;;Plasma Blast
5;Uncommon;;Tropius;Tropius;Pokémon;Grass;357;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_5.png;;https://images.pokemontcg.io/bw10/5.png;;Plasma Blast
6;Common;;Carabing;Karrablast;Pokémon;Grass;588;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_6.png;;https://images.pokemontcg.io/bw10/6.png;;Plasma Blast
7;Common;;Escargaume;Shelmet;Pokémon;Grass;616;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_7.png;;https://images.pokemontcg.io/bw10/7.png;;Plasma Blast
8;Rare;;Limaspeed;Accelgor;Pokémon;Grass;617;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_8.png;;https://images.pokemontcg.io/bw10/8.png;;Plasma Blast
9;Ultra;EX;Viridium-EX;Virizion-EX;Pokémon;Grass;640;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_9.png;;https://images.pokemontcg.io/bw10/9.png;;Plasma Blast
10;Rare;;Genesect;Genesect;Pokémon;Grass;649;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_10.png;;https://images.pokemontcg.io/bw10/10.png;;Plasma Blast
11;Ultra;EX;Genesect-EX;Genesect-EX;Pokémon;Grass;649;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_11.png;;https://images.pokemontcg.io/bw10/11.png;;Plasma Blast
12;Common;;Pyronille;Larvesta;Pokémon;Fire;636;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_12.png;;https://images.pokemontcg.io/bw10/12.png;;Plasma Blast
13;Rare;;Pyrax;Volcarona;Pokémon;Fire;637;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_13.png;;https://images.pokemontcg.io/bw10/13.png;;Plasma Blast
14;Common;;Carapuce;Squirtle;Pokémon;Water;7;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_14.png;;https://images.pokemontcg.io/bw10/14.png;;Plasma Blast
15;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_15.png;;https://images.pokemontcg.io/bw10/15.png;;Plasma Blast
16;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_16.png;;https://images.pokemontcg.io/bw10/16.png;;Plasma Blast
17;Common;;Lokhlass;Lapras;Pokémon;Water;131;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_17.png;;https://images.pokemontcg.io/bw10/17.png;;Plasma Blast
18;Common;;Remoraid;Remoraid;Pokémon;Water;223;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_18.png;;https://images.pokemontcg.io/bw10/18.png;;Plasma Blast
19;Uncommon;;Octillery;Octillery;Pokémon;Water;224;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_19.png;;https://images.pokemontcg.io/bw10/19.png;;Plasma Blast
20;Rare;;Suicune;Suicune;Pokémon;Water;245;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW10/BW10_FR_20.png;;https://images.pokemontcg.io/bw10/20.png;;Plasma Blast
