number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;kirisAki;;;https://images.pokemontcg.io/bw11/1.png;;Legendary Treasures
2;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Kagemaru Himeno;;;https://images.pokemontcg.io/bw11/2.png;;Legendary Treasures
3;Uncommon;;Caratroc;Shuckle;Pokémon;Grass;213;MAHOU;;;https://images.pokemontcg.io/bw11/3.png;;Legendary Treasures
4;Uncommon;;Ceribou;Cherubi;Pokémon;Grass;420;Atsuko Nishida;;;https://images.pokemontcg.io/bw11/4.png;;Legendary Treasures
5;Uncommon;;Vortente;Carnivine;Pokémon;Grass;455;HiRON;;;https://images.pokemontcg.io/bw11/5.png;;Legendary Treasures
6;Common;;Vipélierre;Snivy;Pokémon;Grass;495;Aya Kusube;;;https://images.pokemontcg.io/bw11/6.png;;Legendary Treasures
7;Uncommon;;Lianaja;Servine;Pokémon;Grass;496;Shigenori Negishi;;;https://images.pokemontcg.io/bw11/7.png;;Legendary Treasures
8;Rare Holo;;Majaspic;Serperior;Pokémon;Grass;497;hatachu;;;https://images.pokemontcg.io/bw11/8.png;;Legendary Treasures
9;Common;;Larveyette;Sewaddle;Pokémon;Grass;540;Yuka Morii;;;https://images.pokemontcg.io/bw11/9.png;;Legendary Treasures
10;Common;;Larveyette;Sewaddle;Pokémon;Grass;540;Mitsuhiro Arita;;;https://images.pokemontcg.io/bw11/10.png;;Legendary Treasures
11;Uncommon;;Couverdure;Swadloon;Pokémon;Grass;541;sui;;;https://images.pokemontcg.io/bw11/11.png;;Legendary Treasures
12;Rare Holo;;Manternel;Leavanny;Pokémon;Grass;542;match;;;https://images.pokemontcg.io/bw11/12.png;;Legendary Treasures
13;Common;;Crabicoque;Dwebble;Pokémon;Grass;557;sui;;;https://images.pokemontcg.io/bw11/13.png;;Legendary Treasures
14;Uncommon;;Crabaraque;Crustle;Pokémon;Grass;558;Naoki Saito;;;https://images.pokemontcg.io/bw11/14.png;;Legendary Treasures
15;Rare Holo;;Viridium;Virizion;Pokémon;Grass;640;Atsuko Nishida;;;https://images.pokemontcg.io/bw11/15.png;;Legendary Treasures
16;Rare Holo;;Genesect;Genesect;Pokémon;Grass;649;Ayaka Yoshida;;;https://images.pokemontcg.io/bw11/16.png;;Legendary Treasures
17;Common;;Salamèche;Charmander;Pokémon;Fire;4;match;;;https://images.pokemontcg.io/bw11/17.png;;Legendary Treasures
18;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Akira Komayama;;;https://images.pokemontcg.io/bw11/18.png;;Legendary Treasures
19;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;TOKIYA;;;https://images.pokemontcg.io/bw11/19.png;;Legendary Treasures
20;Common;;Goupix;Vulpix;Pokémon;Fire;37;Masakazu Fukuda;;;https://images.pokemontcg.io/bw11/20.png;;Legendary Treasures
21;Rare;;Feunard;Ninetales;Pokémon;Fire;38;Satoshi Shirai;;;https://images.pokemontcg.io/bw11/21.png;;Legendary Treasures
22;Rare Holo;;Sulfura;Moltres;Pokémon;Fire;146;Mitsuhiro Arita;;;https://images.pokemontcg.io/bw11/22.png;;Legendary Treasures
23;Rare Holo;;Victini;Victini;Pokémon;Fire;494;Tomokazu Komiya;;;https://images.pokemontcg.io/bw11/23.png;;Legendary Treasures
24;Ultra;EX;Victini-EX;Victini-EX;Pokémon;Fire;494;Eske Yoshinob;;;https://images.pokemontcg.io/bw11/24.png;;Legendary Treasures
25;Common;;Gruikui;Tepig;Pokémon;Fire;498;Kanako Eo;;;https://images.pokemontcg.io/bw11/25.png;;Legendary Treasures
26;Uncommon;;Grotichon;Pignite;Pokémon;Fire;499;Kanako Eo;;;https://images.pokemontcg.io/bw11/26.png;;Legendary Treasures
27;Rare Holo;;Roitiflam;Emboar;Pokémon;Fire;500;Kanako Eo;;;https://images.pokemontcg.io/bw11/27.png;;Legendary Treasures
28;Rare Holo;;Reshiram;Reshiram;Pokémon;Fire;643;Aya Kusube;;;https://images.pokemontcg.io/bw11/28.png;;Legendary Treasures
29;Ultra;EX;Reshiram-EX;Reshiram-EX;Pokémon;Fire;643;Shizurow;;;https://images.pokemontcg.io/bw11/29.png;;Legendary Treasures
30;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Midori Harada;;;https://images.pokemontcg.io/bw11/30.png;;Legendary Treasures
31;Rare;;Léviator;Gyarados;Pokémon;Water;130;hatachu;;;https://images.pokemontcg.io/bw11/31.png;;Legendary Treasures
32;Rare Holo;;Artikodin;Articuno;Pokémon;Water;144;Kagemaru Himeno;;;https://images.pokemontcg.io/bw11/32.png;;Legendary Treasures
33;Common;;Tiplouf;Piplup;Pokémon;Water;393;Mizue;;;https://images.pokemontcg.io/bw11/33.png;;Legendary Treasures
34;Uncommon;;Prinplouf;Prinplup;Pokémon;Water;394;Miki Tanaka;;;https://images.pokemontcg.io/bw11/34.png;;Legendary Treasures
35;Rare;;Pingoléon;Empoleon;Pokémon;Water;395;kawayoo;;;https://images.pokemontcg.io/bw11/35.png;;Legendary Treasures
36;Rare;;Phione;Phione;Pokémon;Water;489;kawayoo;;;https://images.pokemontcg.io/bw11/36.png;;Legendary Treasures
37;Common;;Moustillon;Oshawott;Pokémon;Water;501;Midori Harada;;;https://images.pokemontcg.io/bw11/37.png;;Legendary Treasures
38;Uncommon;;Mateloutre;Dewott;Pokémon;Water;502;Mizue;;;https://images.pokemontcg.io/bw11/38.png;;Legendary Treasures
39;Rare Holo;;Clamiral;Samurott;Pokémon;Water;503;Naoki Saito;;;https://images.pokemontcg.io/bw11/39.png;;Legendary Treasures
40;Common;;Tritonde;Tympole;Pokémon;Water;535;Kyoko Umemoto;;;https://images.pokemontcg.io/bw11/40.png;;Legendary Treasures
41;Uncommon;;Batracné;Palpitoad;Pokémon;Water;536;Sachiko Adachi;;;https://images.pokemontcg.io/bw11/41.png;;Legendary Treasures
42;Rare;;Crapustule;Seismitoad;Pokémon;Water;537;Hajime Kusajima;;;https://images.pokemontcg.io/bw11/42.png;;Legendary Treasures
43;Rare Holo;;Kyurem;Kyurem;Pokémon;Water;646;Midori Harada;;;https://images.pokemontcg.io/bw11/43.png;;Legendary Treasures
44;Ultra;EX;Kyurem-EX;Kyurem-EX;Pokémon;Water;646;Shizurow;;;https://images.pokemontcg.io/bw11/44.png;;Legendary Treasures
45;Ultra;EX;Keldeo-EX;Keldeo-EX;Pokémon;Water;647;Toyste Beach;;;https://images.pokemontcg.io/bw11/45.png;;Legendary Treasures
46;Rare Holo;;Electhor;Zapdos;Pokémon;Lightning;145;Kouki Saitou;;;https://images.pokemontcg.io/bw11/46.png;;Legendary Treasures
47;Uncommon;;Posipi;Plusle;Pokémon;Lightning;311;Kouki Saitou;;;https://images.pokemontcg.io/bw11/47.png;;Legendary Treasures
48;Uncommon;;Negapi;Minun;Pokémon;Lightning;312;Kouki Saitou;;;https://images.pokemontcg.io/bw11/48.png;;Legendary Treasures
49;Uncommon;;Emolga;Emolga;Pokémon;Lightning;587;Tomokazu Komiya;;;https://images.pokemontcg.io/bw11/49.png;;Legendary Treasures
50;Rare Holo;;Fulguris;Thundurus;Pokémon;Lightning;642;Yukiko Baba;;;https://images.pokemontcg.io/bw11/50.png;;Legendary Treasures
51;Rare Holo;;Zekrom;Zekrom;Pokémon;Lightning;644;Kagemaru Himeno;;;https://images.pokemontcg.io/bw11/51.png;;Legendary Treasures
52;Ultra;EX;Zekrom-EX;Zekrom-EX;Pokémon;Lightning;644;Shizurow;;;https://images.pokemontcg.io/bw11/52.png;;Legendary Treasures
53;Rare Holo;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Ayaka Yoshida;;;https://images.pokemontcg.io/bw11/53.png;;Legendary Treasures
54;Ultra;EX;Mewtwo-EX;Mewtwo-EX;Pokémon;Psychic;150;Shizurow;;;https://images.pokemontcg.io/bw11/54.png;;Legendary Treasures
55;Common;;Natu;Natu;Pokémon;Psychic;177;Sanosuke Sakuma;;;https://images.pokemontcg.io/bw11/55.png;;Legendary Treasures
56;Rare;;Xatu;Xatu;Pokémon;Psychic;178;Kouki Saitou;;;https://images.pokemontcg.io/bw11/56.png;;Legendary Treasures
57;Common;;Feuforeve;Misdreavus;Pokémon;Psychic;200;Hitoshi Ariga;;;https://images.pokemontcg.io/bw11/57.png;;Legendary Treasures
