number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Feuillajou;Pansage;Pokémon;Grass;511;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_1.png;;https://images.pokemontcg.io/bw2/1.png;;Emerging Powers
2;Rare;;Feuiloutan;Simisage;Pokémon;Grass;512;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_2.png;;https://images.pokemontcg.io/bw2/2.png;;Emerging Powers
3;Common;;Larveyette;Sewaddle;Pokémon;Grass;540;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_3.png;;https://images.pokemontcg.io/bw2/3.png;;Emerging Powers
4;Common;;Larveyette;Sewaddle;Pokémon;Grass;540;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_4.png;;https://images.pokemontcg.io/bw2/4.png;;Emerging Powers
5;Uncommon;;Couverdure;Swadloon;Pokémon;Grass;541;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_5.png;;https://images.pokemontcg.io/bw2/5.png;;Emerging Powers
6;Uncommon;;Couverdure;Swadloon;Pokémon;Grass;541;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_6.png;;https://images.pokemontcg.io/bw2/6.png;;Emerging Powers
7;Rare;;Manternel;Leavanny;Pokémon;Grass;542;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_7.png;;https://images.pokemontcg.io/bw2/7.png;;Emerging Powers
8;Rare;;Manternel;Leavanny;Pokémon;Grass;542;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_8.png;;https://images.pokemontcg.io/bw2/8.png;;Emerging Powers
9;Common;;Doudouvet;Cottonee;Pokémon;Grass;546;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_9.png;;https://images.pokemontcg.io/bw2/9.png;;Emerging Powers
10;Common;;Doudouvet;Cottonee;Pokémon;Grass;546;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_10.png;;https://images.pokemontcg.io/bw2/10.png;;Emerging Powers
11;Uncommon;;Farfaduvet;Whimsicott;Pokémon;Grass;547;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_11.png;;https://images.pokemontcg.io/bw2/11.png;;Emerging Powers
12;Rare;;Farfaduvet;Whimsicott;Pokémon;Grass;547;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_12.png;;https://images.pokemontcg.io/bw2/12.png;;Emerging Powers
13;Common;;Chlorobule;Petilil;Pokémon;Grass;548;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_13.png;;https://images.pokemontcg.io/bw2/13.png;;Emerging Powers
14;Uncommon;;Fragilady;Lilligant;Pokémon;Grass;549;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_14.png;;https://images.pokemontcg.io/bw2/14.png;;Emerging Powers
15;Common;;Vivaldaim;Deerling;Pokémon;Grass;585;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_15.png;;https://images.pokemontcg.io/bw2/15.png;;Emerging Powers
16;Rare;;Haydaim;Sawsbuck;Pokémon;Grass;586;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_16.png;;https://images.pokemontcg.io/bw2/16.png;;Emerging Powers
17;Rare Holo;;Viridium;Virizion;Pokémon;Grass;640;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_17.png;;https://images.pokemontcg.io/bw2/17.png;;Emerging Powers
18;Common;;Flamajou;Pansear;Pokémon;Fire;513;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_18.png;;https://images.pokemontcg.io/bw2/18.png;;Emerging Powers
19;Rare;;Flamoutan;Simisear;Pokémon;Fire;514;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_19.png;;https://images.pokemontcg.io/bw2/19.png;;Emerging Powers
20;Common;;Darumarond;Darumaka;Pokémon;Fire;554;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_20.png;;https://images.pokemontcg.io/bw2/20.png;;Emerging Powers
21;Rare;;Darumacho;Darmanitan;Pokémon;Fire;555;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_21.png;;https://images.pokemontcg.io/bw2/21.png;;Emerging Powers
22;Common;;Flotajou;Panpour;Pokémon;Water;515;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_22.png;;https://images.pokemontcg.io/bw2/22.png;;Emerging Powers
23;Rare;;Flotoutan;Simipour;Pokémon;Water;516;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_23.png;;https://images.pokemontcg.io/bw2/23.png;;Emerging Powers
24;Common;;Bargantua;Basculin;Pokémon;Water;550;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_24.png;;https://images.pokemontcg.io/bw2/24.png;;Emerging Powers
25;Uncommon;;Bargantua;Basculin;Pokémon;Water;550;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_25.png;;https://images.pokemontcg.io/bw2/25.png;;Emerging Powers
26;Common;;Couaneton;Ducklett;Pokémon;Water;580;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_26.png;;https://images.pokemontcg.io/bw2/26.png;;Emerging Powers
27;Rare;;Lakmécygne;Swanna;Pokémon;Water;581;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_27.png;;https://images.pokemontcg.io/bw2/27.png;;Emerging Powers
28;Common;;Polarhume;Cubchoo;Pokémon;Water;613;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_28.png;;https://images.pokemontcg.io/bw2/28.png;;Emerging Powers
29;Common;;Polarhume;Cubchoo;Pokémon;Water;613;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_29.png;;https://images.pokemontcg.io/bw2/29.png;;Emerging Powers
30;Rare Holo;;Polagriffe;Beartic;Pokémon;Water;614;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_30.png;;https://images.pokemontcg.io/bw2/30.png;;Emerging Powers
31;Rare;;Polagriffe;Beartic;Pokémon;Water;614;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_31.png;;https://images.pokemontcg.io/bw2/31.png;;Emerging Powers
32;Common;;Emolga;Emolga;Pokémon;Lightning;587;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_32.png;;https://images.pokemontcg.io/bw2/32.png;;Emerging Powers
33;Common;;Statitik;Joltik;Pokémon;Lightning;595;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_33.png;;https://images.pokemontcg.io/bw2/33.png;;Emerging Powers
34;Uncommon;;Mygavolt;Galvantula;Pokémon;Lightning;596;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_34.png;;https://images.pokemontcg.io/bw2/34.png;;Emerging Powers
35;Rare Holo;;Fulguris;Thundurus;Pokémon;Lightning;642;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_35.png;;https://images.pokemontcg.io/bw2/35.png;;Emerging Powers
36;Common;;Chovsourir;Woobat;Pokémon;Psychic;527;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_36.png;;https://images.pokemontcg.io/bw2/36.png;;Emerging Powers
37;Rare;;Rhinolove;Swoobat;Pokémon;Psychic;528;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW2/BW2_FR_37.png;;https://images.pokemontcg.io/bw2/37.png;;Emerging Powers
