rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Toshinao Aoki;https://www.pokepedia.fr/images/8/89/Carte_Neo_Revelation_1.png;https://images.pokemontcg.io/neo3/1.png;neo3
2;2;Rare Holo;;Leuphorie;Blissey;Pokémon;Colorless;242;Yuka Morii;https://www.pokepedia.fr/images/5/51/Carte_Neo_Revelation_2.png;https://images.pokemontcg.io/neo3/2.png;neo3
3;3;Rare Holo;;Celebi;Celebi;Pokémon;Psychic;251;Hironobu Yoshida;https://www.pokepedia.fr/images/8/8a/Carte_Neo_Revelation_3.png;https://images.pokemontcg.io/neo3/3.png;neo3
4;4;Rare Holo;;Nostenfer;Crobat;Pokémon;Grass;169;Shin-ichi Yoshida;https://www.pokepedia.fr/images/f/f8/Carte_Neo_Revelation_4.png;https://images.pokemontcg.io/neo3/4.png;neo3
5;5;Rare Holo;;Cadoizo;Delibird;Pokémon;Colorless;225;Tomokazu Komiya;https://www.pokepedia.fr/images/5/59/Carte_Neo_Revelation_5.png;https://images.pokemontcg.io/neo3/5.png;neo3
6;6;Rare Holo;;Entei;Entei;Pokémon;Fire;244;Ken Sugimori;https://www.pokepedia.fr/images/5/50/Carte_Neo_Revelation_6.png;https://images.pokemontcg.io/neo3/6.png;neo3
7;7;Rare Holo;;Ho-Oh;Ho-oh;Pokémon;Fire;250;Kimiya Masago;https://www.pokepedia.fr/images/a/a9/Carte_Neo_Revelation_7.png;https://images.pokemontcg.io/neo3/7.png;neo3
8;8;Rare Holo;;Démolosse;Houndoom;Pokémon;Darkness;229;Mitsuhiro Arita;https://www.pokepedia.fr/images/8/8f/Carte_Neo_Revelation_8.png;https://images.pokemontcg.io/neo3/8.png;neo3
9;9;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;Kagemaru Himeno;https://www.pokepedia.fr/images/d/d5/Carte_Neo_Revelation_9.png;https://images.pokemontcg.io/neo3/9.png;neo3
10;10;Rare Holo;;Magneton;Magneton;Pokémon;Metal;82;CR CG gangs;https://www.pokepedia.fr/images/b/b5/Carte_Neo_Revelation_10.png;https://images.pokemontcg.io/neo3/10.png;neo3
11;11;Rare Holo;;Feuforeve;Misdreavus;Pokémon;Psychic;200;Ken Sugimori;https://www.pokepedia.fr/images/6/65/Carte_Neo_Revelation_11.png;https://images.pokemontcg.io/neo3/11.png;neo3
12;12;Rare Holo;;Porygon2;Porygon2;Pokémon;Colorless;233;Keiji Kinebuchi;https://www.pokepedia.fr/images/5/55/Carte_Neo_Revelation_12.png;https://images.pokemontcg.io/neo3/12.png;neo3
13;13;Rare Holo;;Raikou;Raikou;Pokémon;Lightning;243;Ken Sugimori;https://www.pokepedia.fr/images/4/4b/Carte_Neo_Revelation_13.png;https://images.pokemontcg.io/neo3/13.png;neo3
14;14;Rare Holo;;Suicune;Suicune;Pokémon;Water;245;Ken Sugimori;https://www.pokepedia.fr/images/b/b2/Carte_Neo_Revelation_14.png;https://images.pokemontcg.io/neo3/14.png;neo3
15;15;Rare;;Ptera;Aerodactyl;Pokémon;Fighting;142;Shin-ichi Yoshida;https://www.pokepedia.fr/images/5/5a/Carte_Neo_Revelation_15.png;https://images.pokemontcg.io/neo3/15.png;neo3
16;16;Rare;;Celebi;Celebi;Pokémon;Grass;251;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/3/3f/Carte_Neo_Revelation_16.png;https://images.pokemontcg.io/neo3/16.png;neo3
17;17;Rare;;Entei;Entei;Pokémon;Fire;244;Naoyo Kimura;https://www.pokepedia.fr/images/9/94/Carte_Neo_Revelation_17.png;https://images.pokemontcg.io/neo3/17.png;neo3
18;18;Rare;;Ho-Oh;Ho-oh;Pokémon;Colorless;250;Aya Kusube;https://www.pokepedia.fr/images/f/f5/Carte_Neo_Revelation_18.png;https://images.pokemontcg.io/neo3/18.png;neo3
19;19;Rare;;Hyporoi;Kingdra;Pokémon;Water;230;Mitsuhiro Arita;https://www.pokepedia.fr/images/2/2d/Carte_Neo_Revelation_19.png;https://images.pokemontcg.io/neo3/19.png;neo3
20;20;Rare;;Lugia;Lugia;Pokémon;Psychic;249;Aya Kusube;https://www.pokepedia.fr/images/3/30/Carte_Neo_Revelation_20.png;https://images.pokemontcg.io/neo3/20.png;neo3
21;21;Rare;;Raichu;Raichu;Pokémon;Lightning;26;Masako Yamashita;https://www.pokepedia.fr/images/3/3b/Carte_Neo_Revelation_21.png;https://images.pokemontcg.io/neo3/21.png;neo3
22;22;Rare;;Raikou;Raikou;Pokémon;Lightning;243;Naoyo Kimura;https://www.pokepedia.fr/images/8/87/Carte_Neo_Revelation_22.png;https://images.pokemontcg.io/neo3/22.png;neo3
