number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Pharamp Obscur;Dark Ampharos;Pokémon;Lightning;181;Kagemaru Himeno;https://www.pokepedia.fr/images/b/ba/Carte_Neo_Destiny_1.png;https://images.pokemontcg.io/neo4/1.png;neo4
2;2;Rare Holo;;Nostenfer Obscur;Dark Crobat;Pokémon;Grass;169;CR CG gangs;https://www.pokepedia.fr/images/3/3e/Carte_Neo_Destiny_2.png;https://images.pokemontcg.io/neo4/2.png;neo4
3;3;Rare Holo;;Donphan Obscur;Dark Donphan;Pokémon;Fighting;232;Shin-ichi Yoshida;https://www.pokepedia.fr/images/0/07/Carte_Neo_Destiny_3.png;https://images.pokemontcg.io/neo4/3.png;neo4
4;4;Rare Holo;;Mentali Obscur;Dark Espeon;Pokémon;Psychic;196;Atsuko Nishida;https://www.pokepedia.fr/images/6/6e/Carte_Neo_Destiny_4.png;https://images.pokemontcg.io/neo4/4.png;neo4
5;5;Rare Holo;;Aligatueur Obscur;Dark Feraligatr;Pokémon;Water;160;Atsuko Nishida;https://www.pokepedia.fr/images/d/da/Carte_Neo_Destiny_5.png;https://images.pokemontcg.io/neo4/5.png;neo4
6;6;Rare Holo;;Ectoplasma Obscur;Dark Gengar;Pokémon;Psychic;94;Aya Kusube;https://www.pokepedia.fr/images/b/bc/Carte_Neo_Destiny_6.png;https://images.pokemontcg.io/neo4/6.png;neo4
7;7;Rare Holo;;Demolosse Obscur;Dark Houndoom;Pokémon;Fire;229;Kagemaru Himeno;https://www.pokepedia.fr/images/9/98/Carte_Neo_Destiny_7.png;https://images.pokemontcg.io/neo4/7.png;neo4
8;8;Rare Holo;;Porygon2 Obscur;Dark Porygon2;Pokémon;Colorless;233;CR CG gangs;https://www.pokepedia.fr/images/7/7d/Carte_Neo_Destiny_8.png;https://images.pokemontcg.io/neo4/8.png;neo4
9;9;Rare Holo;;Cizayox Obscur;Dark Scizor;Pokémon;Metal;212;Mitsuhiro Arita;https://www.pokepedia.fr/images/0/0d/Carte_Neo_Destiny_9.png;https://images.pokemontcg.io/neo4/9.png;neo4
10;10;Rare Holo;;Typhlosion Obscur;Dark Typhlosion;Pokémon;Fire;157;Mitsuhiro Arita;https://www.pokepedia.fr/images/0/0e/Carte_Neo_Destiny_10.png;https://images.pokemontcg.io/neo4/10.png;neo4
11;11;Rare Holo;;Tyranocif Obscur;Dark Tyranitar;Pokémon;Fighting;248;Shin-ichi Yoshida;https://www.pokepedia.fr/images/6/64/Carte_Neo_Destiny_11.png;https://images.pokemontcg.io/neo4/11.png;neo4
12;12;Rare Holo;;Arcanin Lumineux;Light Arcanine;Pokémon;Fire;59;Atsuko Nishida;https://www.pokepedia.fr/images/8/87/Carte_Neo_Destiny_12.png;https://images.pokemontcg.io/neo4/12.png;neo4
13;13;Rare Holo;;Azumarill Lumineux;Light Azumarill;Pokémon;Water;184;Yuka Morii;https://www.pokepedia.fr/images/3/35/Carte_Neo_Destiny_13.png;https://images.pokemontcg.io/neo4/13.png;neo4
14;14;Rare Holo;;Dracolosse Lumineux;Light Dragonite;Pokémon;Colorless;149;Atsuko Nishida;https://www.pokepedia.fr/images/e/ee/Carte_Neo_Destiny_14.png;https://images.pokemontcg.io/neo4/14.png;neo4
15;15;Rare Holo;;Togetic Lumineux;Light Togetic;Pokémon;Colorless;176;Naoyo Kimura;https://www.pokepedia.fr/images/f/fa/Carte_Neo_Destiny_15.png;https://images.pokemontcg.io/neo4/15.png;neo4
16;16;Rare Holo;;Énergie Miracle;Miracle Energy;Energy;NoColor;;Milky Isobe;https://www.pokepedia.fr/images/5/57/Carte_Neo_Destiny_16.png;https://images.pokemontcg.io/neo4/16.png;neo4
17;17;Rare;;Migalos Obscur;Dark Ariados;Pokémon;Grass;168;Toshinao Aoki;https://www.pokepedia.fr/images/8/8d/Carte_Neo_Destiny_17.png;https://images.pokemontcg.io/neo4/17.png;neo4
18;18;Rare;;Volcaropod Obscur;Dark Magcargo;Pokémon;Fire;219;Toshinao Aoki;https://www.pokepedia.fr/images/2/2f/Carte_Neo_Destiny_18.png;https://images.pokemontcg.io/neo4/18.png;neo4
19;19;Rare;;Amonistar Obscur;Dark Omastar;Pokémon;Water;139;Tomokazu Komiya;https://www.pokepedia.fr/images/d/df/Carte_Neo_Destiny_19.png;https://images.pokemontcg.io/neo4/19.png;neo4
20;20;Rare;;Roigada Obscur;Dark Slowking;Pokémon;Psychic;199;Tomokazu Komiya;https://www.pokepedia.fr/images/e/e6/Carte_Neo_Destiny_20.png;https://images.pokemontcg.io/neo4/20.png;neo4
21;21;Rare;;Ursaring Obscur;Dark Ursaring;Pokémon;Colorless;217;Mitsuhiro Arita;https://www.pokepedia.fr/images/b/b1/Carte_Neo_Destiny_21.png;https://images.pokemontcg.io/neo4/21.png;neo4
22;22;Rare;;Draco Lumineux;Light Dragonair;Pokémon;Colorless;148;Atsuko Nishida;https://www.pokepedia.fr/images/1/1f/Carte_Neo_Destiny_22.png;https://images.pokemontcg.io/neo4/22.png;neo4
23;23;Rare;;Lanturn Lumineux;Light Lanturn;Pokémon;Lightning;171;Miki Tanaka;https://www.pokepedia.fr/images/2/2b/Carte_Neo_Destiny_23.png;https://images.pokemontcg.io/neo4/23.png;neo4
