number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Mentali;Espeon;Pokémon;Psychic;196;Atsuko Nishida;;;https://images.pokemontcg.io/neo2/1.png;;Neo Discovery
2;Rare Holo;;Foretress;Forretress;Pokémon;Metal;205;CR CG gangs;;;https://images.pokemontcg.io/neo2/2.png;;Neo Discovery
3;Rare Holo;;Kapoera;Hitmontop;Pokémon;Fighting;237;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo2/3.png;;Neo Discovery
4;Rare Holo;;Démolosse;Houndoom;Pokémon;Darkness;229;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo2/4.png;;Neo Discovery
5;Rare Holo;;Malosse;Houndour;Pokémon;Fire;228;Aya Kusube;;;https://images.pokemontcg.io/neo2/5.png;;Neo Discovery
6;Rare Holo;;Kabutops;Kabutops;Pokémon;Water;141;Kimiya Masago;;;https://images.pokemontcg.io/neo2/6.png;;Neo Discovery
7;Rare Holo;;Magneti;Magnemite;Pokémon;Metal;81;;;;https://images.pokemontcg.io/neo2/7.png;;Neo Discovery
8;Rare Holo;;Tarpaud;Politoed;Pokémon;Water;186;Tomokazu Komiya;;;https://images.pokemontcg.io/neo2/8.png;;Neo Discovery
9;Rare Holo;;Tartard;Poliwrath;Pokémon;Fighting;62;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo2/9.png;;Neo Discovery
10;Rare Holo;;Cizayox;Scizor;Pokémon;Metal;212;Kimiya Masago;;;https://images.pokemontcg.io/neo2/10.png;;Neo Discovery
11;Rare Holo;;Queulorior;Smeargle;Pokémon;Colorless;235;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/11.png;;Neo Discovery
12;Rare Holo;;Tyranocif;Tyranitar;Pokémon;Darkness;248;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/12.png;;Neo Discovery
13;Rare Holo;;Noctali;Umbreon;Pokémon;Darkness;197;Kimiya Masago;;;https://images.pokemontcg.io/neo2/13.png;;Neo Discovery
14;Rare Holo;;Zarbi A;Unown [A];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/14.png;;Neo Discovery
15;Rare Holo;;Ursaring;Ursaring;Pokémon;Colorless;217;Naoyo Kimura;;;https://images.pokemontcg.io/neo2/15.png;;Neo Discovery
16;Rare Holo;;Qulbutoke;Wobbuffet;Pokémon;Psychic;202;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/16.png;;Neo Discovery
17;Rare Holo;;Yanma;Yanma;Pokémon;Grass;193;Atsuko Nishida;;;https://images.pokemontcg.io/neo2/17.png;;Neo Discovery
18;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Aya Kusube;;;https://images.pokemontcg.io/neo2/18.png;;Neo Discovery
19;Rare;;Papilusion;Butterfree;Pokémon;Grass;12;Atsuko Nishida;;;https://images.pokemontcg.io/neo2/19.png;;Neo Discovery
20;Rare;;Mentali;Espeon;Pokémon;Psychic;196;Naoyo Kimura;;;https://images.pokemontcg.io/neo2/20.png;;Neo Discovery
21;Rare;;Foretress;Forretress;Pokémon;Metal;205;CR CG gangs;;;https://images.pokemontcg.io/neo2/21.png;;Neo Discovery
22;Rare;;Kapoera;Hitmontop;Pokémon;Fighting;237;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo2/22.png;;Neo Discovery
23;Rare;;Démolosse;Houndoom;Pokémon;Darkness;229;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo2/23.png;;Neo Discovery
24;Rare;;Malosse;Houndour;Pokémon;Fire;228;Aya Kusube;;;https://images.pokemontcg.io/neo2/24.png;;Neo Discovery
25;Rare;;Kabutops;Kabutops;Pokémon;Water;141;Kimiya Masago;;;https://images.pokemontcg.io/neo2/25.png;;Neo Discovery
26;Rare;;Magneti;Magnemite;Pokémon;Metal;81;;;;https://images.pokemontcg.io/neo2/26.png;;Neo Discovery
27;Rare;;Tarpaud;Politoed;Pokémon;Water;186;Tomokazu Komiya;;;https://images.pokemontcg.io/neo2/27.png;;Neo Discovery
28;Rare;;Tartard;Poliwrath;Pokémon;Fighting;62;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo2/28.png;;Neo Discovery
29;Rare;;Cizayox;Scizor;Pokémon;Metal;212;Kimiya Masago;;;https://images.pokemontcg.io/neo2/29.png;;Neo Discovery
30;Rare;;Queulorior;Smeargle;Pokémon;Colorless;235;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/30.png;;Neo Discovery
31;Rare;;Tyranocif;Tyranitar;Pokémon;Darkness;248;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/31.png;;Neo Discovery
32;Rare;;Noctali;Umbreon;Pokémon;Darkness;197;Naoyo Kimura;;;https://images.pokemontcg.io/neo2/32.png;;Neo Discovery
33;Rare;;Zarbi A;Unown [A];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/33.png;;Neo Discovery
34;Rare;;Ursaring;Ursaring;Pokémon;Colorless;217;Naoyo Kimura;;;https://images.pokemontcg.io/neo2/34.png;;Neo Discovery
35;Rare;;Qulbutoke;Wobbuffet;Pokémon;Psychic;202;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/35.png;;Neo Discovery
36;Rare;;Yanma;Yanma;Pokémon;Grass;193;Atsuko Nishida;;;https://images.pokemontcg.io/neo2/36.png;;Neo Discovery
37;Uncommon;;Corayon;Corsola;Pokémon;Water;222;Yuka Morii;;;https://images.pokemontcg.io/neo2/37.png;;Neo Discovery
38;Uncommon;;Evoli;Eevee;Pokémon;Colorless;133;Aya Kusube;;;https://images.pokemontcg.io/neo2/38.png;;Neo Discovery
39;Uncommon;;Malosse;Houndour;Pokémon;Darkness;228;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo2/39.png;;Neo Discovery
40;Uncommon;;Toudoudou;Igglybuff;Pokémon;Colorless;174;Miki Tanaka;;;https://images.pokemontcg.io/neo2/40.png;;Neo Discovery
41;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Yukiko Baba;;;https://images.pokemontcg.io/neo2/41.png;;Neo Discovery
42;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo2/42.png;;Neo Discovery
43;Uncommon;;Amonistar;Omastar;Pokémon;Fighting;139;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo2/43.png;;Neo Discovery
44;Uncommon;;Têtarte;Poliwhirl;Pokémon;Water;61;Kagemaru Himeno;;;https://images.pokemontcg.io/neo2/44.png;;Neo Discovery
45;Uncommon;;Ymphect;Pupitar;Pokémon;Fighting;247;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/45.png;;Neo Discovery
46;Uncommon;;Insécateur;Scyther;Pokémon;Grass;123;Kimiya Masago;;;https://images.pokemontcg.io/neo2/46.png;;Neo Discovery
47;Uncommon;;Zarbi D;Unown [D];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/47.png;;Neo Discovery
48;Uncommon;;Zarbi F;Unown [F];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/48.png;;Neo Discovery
49;Uncommon;;Zarbi M;Unown [M];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/49.png;;Neo Discovery
50;Uncommon;;Zarbi N;Unown [N];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/50.png;;Neo Discovery
51;Uncommon;;Zarbi U;Unown [U];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/51.png;;Neo Discovery
52;Uncommon;;Xatu;Xatu;Pokémon;Psychic;178;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo2/52.png;;Neo Discovery
53;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Yuka Morii;;;https://images.pokemontcg.io/neo2/53.png;;Neo Discovery
54;Common;;Insolourdo;Dunsparce;Pokémon;Colorless;206;Yukiko Baba;;;https://images.pokemontcg.io/neo2/54.png;;Neo Discovery
55;Common;;Granivol;Hoppip;Pokémon;Grass;187;Kagemaru Himeno;;;https://images.pokemontcg.io/neo2/55.png;;Neo Discovery
56;Common;;Kabuto;Kabuto;Pokémon;Water;140;Yuka Morii;;;https://images.pokemontcg.io/neo2/56.png;;Neo Discovery
57;Common;;Embrylex;Larvitar;Pokémon;Fighting;246;Hironobu Yoshida;;;https://images.pokemontcg.io/neo2/57.png;;Neo Discovery
58;Common;;Wattouat;Mareep;Pokémon;Lightning;179;Atsuko Nishida;;;https://images.pokemontcg.io/neo2/58.png;;Neo Discovery
59;Common;;Natu;Natu;Pokémon;Psychic;177;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo2/59.png;;Neo Discovery
60;Common;;Amonita;Omanyte;Pokémon;Fighting;138;Yuka Morii;;;https://images.pokemontcg.io/neo2/60.png;;Neo Discovery
61;Common;;Pomdepik;Pineco;Pokémon;Grass;204;Tomokazu Komiya;;;https://images.pokemontcg.io/neo2/61.png;;Neo Discovery
62;Common;;Ptitard;Poliwag;Pokémon;Water;60;Aya Kusube;;;https://images.pokemontcg.io/neo2/62.png;;Neo Discovery
63;Common;;Fouinette;Sentret;Pokémon;Colorless;161;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo2/63.png;;Neo Discovery
64;Common;;Mimigal;Spinarak;Pokémon;Grass;167;Yukiko Baba;;;https://images.pokemontcg.io/neo2/64.png;;Neo Discovery
65;Common;;Teddiursa;Teddiursa;Pokémon;Colorless;216;Miki Tanaka;;;https://images.pokemontcg.io/neo2/65.png;;Neo Discovery
66;Common;;Debugant;Tyrogue;Pokémon;Fighting;236;Miki Tanaka;;;https://images.pokemontcg.io/neo2/66.png;;Neo Discovery
67;Common;;Zarbi E;Unown [E];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/67.png;;Neo Discovery
68;Common;;Zarbi I;Unown [I];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/68.png;;Neo Discovery
69;Common;;Zarbi O;Unown [O];Pokémon;Psychic;201;CR CG gangs;;;https://images.pokemontcg.io/neo2/69.png;;Neo Discovery
70;Common;;Aspicot;Weedle;Pokémon;Grass;13;Miki Tanaka;;;https://images.pokemontcg.io/neo2/70.png;;Neo Discovery
71;Common;;Axoloto;Wooper;Pokémon;Water;194;Yukiko Baba;;;https://images.pokemontcg.io/neo2/71.png;;Neo Discovery
72;Uncommon;;Œuf Fossile;Fossil Egg;Trainer;NoColor;;;;;https://images.pokemontcg.io/neo2/72.png;;Neo Discovery
73;Uncommon;;Vaporisateur hyper retrograde;Hyper Devolution Spray;Trainer;NoColor;;;;;https://images.pokemontcg.io/neo2/73.png;;Neo Discovery
74;Uncommon;;Mur en Ruine;Ruin Wall;Trainer;NoColor;;;;;https://images.pokemontcg.io/neo2/74.png;;Neo Discovery
75;Common;;Arche d'Énergie;Energy Ark;Trainer;NoColor;;;;;https://images.pokemontcg.io/neo2/75.png;;Neo Discovery
