number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Kagemaru Himeno;;;https://images.pokemontcg.io/pl4/1.png;;Arceus
2;Rare Holo;;Momartik;Froslass;Pokémon;Water;478;TOKIYA;;;https://images.pokemontcg.io/pl4/2.png;;Arceus
3;Rare Holo;;Heatran;Heatran;Pokémon;Fire;485;Keiko Moritsugu;;;https://images.pokemontcg.io/pl4/3.png;;Arceus
4;Rare Holo;;Kabutops;Kabutops;Pokémon;Fighting;141;Hajime Kusajima;;;https://images.pokemontcg.io/pl4/4.png;;Arceus
5;Rare Holo;;Luxray;Luxray;Pokémon;Lightning;405;kawayoo;;;https://images.pokemontcg.io/pl4/5.png;;Arceus
6;Rare Holo;;Papilord;Mothim;Pokémon;Grass;414;Kagemaru Himeno;;;https://images.pokemontcg.io/pl4/6.png;;Arceus
7;Rare Holo;;Tarinorme;Probopass;Pokémon;Metal;476;Kouki Saitou;;;https://images.pokemontcg.io/pl4/7.png;;Arceus
8;Rare Holo;;Drattak;Salamence;Pokémon;Colorless;373;Shin Nagasawa;;;https://images.pokemontcg.io/pl4/8.png;;Arceus
9;Rare Holo;;Avaltout;Swalot;Pokémon;Psychic;317;Aya Kusube;;;https://images.pokemontcg.io/pl4/9.png;;Arceus
10;Rare Holo;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Masakazu Fukuda;;;https://images.pokemontcg.io/pl4/10.png;;Arceus
11;Rare Holo;;Coatox;Toxicroak;Pokémon;Fighting;454;Kouki Saitou;;;https://images.pokemontcg.io/pl4/11.png;;Arceus
12;Rare Holo;;Electhor G;Zapdos G;Pokémon;Lightning;145;Ryota Saito;;;https://images.pokemontcg.io/pl4/12.png;;Arceus
13;Rare;;Ptera;Aerodactyl;Pokémon;Fighting;142;Masakazu Fukuda;;;https://images.pokemontcg.io/pl4/13.png;;Arceus
14;Rare;;Archeodong;Bronzong;Pokémon;Metal;437;Atsuko Nishida;;;https://images.pokemontcg.io/pl4/14.png;;Arceus
15;Rare;;Ceriflor;Cherrim;Pokémon;Grass;421;Midori Harada;;;https://images.pokemontcg.io/pl4/15.png;;Arceus
16;Rare;;Ectoplasma;Gengar;Pokémon;Psychic;94;Midori Harada;;;https://images.pokemontcg.io/pl4/16.png;;Arceus
17;Rare;;Ectoplasma;Gengar;Pokémon;Psychic;94;Mitsuhiro Arita;;;https://images.pokemontcg.io/pl4/17.png;;Arceus
18;Rare;;Oniglali;Glalie;Pokémon;Water;362;Hiroki Fuchino;;;https://images.pokemontcg.io/pl4/18.png;;Arceus
19;Rare;;Grolem;Golem;Pokémon;Fighting;76;Masakazu Fukuda;;;https://images.pokemontcg.io/pl4/19.png;;Arceus
20;Rare;;Hariyama;Hariyama;Pokémon;Fighting;297;Midori Harada;;;https://images.pokemontcg.io/pl4/20.png;;Arceus
21;Rare;;Lockpin;Lopunny;Pokémon;Colorless;428;Kyoko Umemoto;;;https://images.pokemontcg.io/pl4/21.png;;Arceus
22;Rare;;Elecsprint;Manectric;Pokémon;Lightning;310;Mana Ibe;;;https://images.pokemontcg.io/pl4/22.png;;Arceus
23;Rare;;Amonistar;Omastar;Pokémon;Water;139;Hajime Kusajima;;;https://images.pokemontcg.io/pl4/23.png;;Arceus
