number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare;;;Bastiodon;Pokémon;Metal;411;Kazuyuki Kano;;;https://images.pokemontcg.io/pop6/1.png;;POP Series 6
2;Rare;;;Lucario;Pokémon;Fighting;448;Kouki Saitou;;;https://images.pokemontcg.io/pop6/2.png;;POP Series 6
3;Rare;;;Manaphy;Pokémon;Water;490;Atsuko Nishida;;;https://images.pokemontcg.io/pop6/3.png;;POP Series 6
4;Rare;;;Pachirisu;Pokémon;Lightning;417;Atsuko Nishida;;;https://images.pokemontcg.io/pop6/4.png;;POP Series 6
5;Rare;;;Rampardos;Pokémon;Fighting;409;Kazuyuki Kano;;;https://images.pokemontcg.io/pop6/5.png;;POP Series 6
6;Uncommon;;;Drifloon;Pokémon;Psychic;425;Mitsuhiro Arita;;;https://images.pokemontcg.io/pop6/6.png;;POP Series 6
7;Common;;;Gible;Pokémon;Colorless;443;Kouki Saitou;;;https://images.pokemontcg.io/pop6/7.png;;POP Series 6
8;Uncommon;;;Riolu;Pokémon;Fighting;447;Kouki Saitou;;;https://images.pokemontcg.io/pop6/8.png;;POP Series 6
9;Common;;;Pikachu;Pokémon;Lightning;25;Kagemaru Himeno;;;https://images.pokemontcg.io/pop6/9.png;;POP Series 6
10;Uncommon;;;Staravia;Pokémon;Colorless;397;Masakazu Fukuda;;;https://images.pokemontcg.io/pop6/10.png;;POP Series 6
11;Common;;;Bidoof;Pokémon;Colorless;399;Mitsuhiro Arita;;;https://images.pokemontcg.io/pop6/11.png;;POP Series 6
12;Common;;;Buneary;Pokémon;Colorless;427;Kagemaru Himeno;;;https://images.pokemontcg.io/pop6/12.png;;POP Series 6
13;Common;;;Cherubi;Pokémon;Grass;420;Atsuko Nishida;;;https://images.pokemontcg.io/pop6/13.png;;POP Series 6
14;Common;;;Chimchar;Pokémon;Fire;390;Kagemaru Himeno;;;https://images.pokemontcg.io/pop6/14.png;;POP Series 6
15;Common;;;Piplup;Pokémon;Water;393;Atsuko Nishida;;;https://images.pokemontcg.io/pop6/15.png;;POP Series 6
16;Common;;;Starly;Pokémon;Colorless;396;Masakazu Fukuda;;;https://images.pokemontcg.io/pop6/16.png;;POP Series 6
17;Common;;;Turtwig;Pokémon;Grass;387;Masakazu Fukuda;;;https://images.pokemontcg.io/pop6/17.png;;POP Series 6
