number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
215;Secret;Rainbow;Caratroc-GX;Shuckle-GX;Pokémon;Grass;213;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_215.png;;https://images.pokemontcg.io/sm8/215.png;;Lost Thunder
216;Secret;Rainbow;Jungko-GX;Sceptile-GX;Pokémon;Grass;254;Yoshinobu Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_216.png;;https://images.pokemontcg.io/sm8/216.png;;Lost Thunder
217;Secret;Rainbow;Viridium-GX;Virizion-GX;Pokémon;Grass;640;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_217.png;;https://images.pokemontcg.io/sm8/217.png;;Lost Thunder
218;Secret;Rainbow;Volcaropod-GX;Magcargo-GX;Pokémon;Fire;219;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_218.png;;https://images.pokemontcg.io/sm8/218.png;;Lost Thunder
219;Secret;Rainbow;Pierroteknik-GX;Blacephalon-GX;Pokémon;Fire;806;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_219.png;;https://images.pokemontcg.io/sm8/219.png;;Lost Thunder
220;Secret;Rainbow;Suicune-GX;Suicune-GX;Pokémon;Water;245;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_220.png;;https://images.pokemontcg.io/sm8/220.png;;Lost Thunder
221;Secret;Rainbow;Zeraora-GX;Zeraora-GX;Pokémon;Lightning;807;PLANETA Otani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_221.png;;https://images.pokemontcg.io/sm8/221.png;;Lost Thunder
222;Secret;Rainbow;Cryptéro-GX;Sigilyph-GX;Pokémon;Psychic;561;PLANETA Otani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_222.png;;https://images.pokemontcg.io/sm8/222.png;;Lost Thunder
223;Secret;Rainbow;Tyranocif-GX;Tyranitar-GX;Pokémon;Darkness;248;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_223.png;;https://images.pokemontcg.io/sm8/223.png;;Lost Thunder
224;Secret;Rainbow;Genesect-GX;Genesect-GX;Pokémon;Metal;649;Yoshinobu Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_224.png;;https://images.pokemontcg.io/sm8/224.png;;Lost Thunder
225;Secret;Rainbow;Feunard d'Alola-GX;Alolan Ninetales-GX;Pokémon;Fairy;38;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_225.png;;https://images.pokemontcg.io/sm8/225.png;;Lost Thunder
226;Secret;Rainbow;Mimiqui-GX;Mimikyu-GX;Pokémon;Fairy;778;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_226.png;;https://images.pokemontcg.io/sm8/226.png;;Lost Thunder
227;Secret;Rainbow;Lugia-GX;Lugia-GX;Pokémon;Colorless;249;PLANETA Igarashi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_227.png;;https://images.pokemontcg.io/sm8/227.png;;Lost Thunder
228;Secret;;Sac Aventure;Adventure Bag;Trainer;NoColor;;Yoshinobu Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_228.png;;https://images.pokemontcg.io/sm8/228.png;;Lost Thunder
229;Secret;;Casque Choix;Choice Helmet;Trainer;NoColor;;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_229.png;;https://images.pokemontcg.io/sm8/229.png;;Lost Thunder
230;Secret;;Rattrape-Riposte;Counter Gain;Trainer;NoColor;;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_230.png;;https://images.pokemontcg.io/sm8/230.png;;Lost Thunder
231;Secret;;Attrape-Perso;Custom Catcher;Trainer;NoColor;;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_231.png;;https://images.pokemontcg.io/sm8/231.png;;Lost Thunder
232;Secret;;Électropuissance;Electropower;Trainer;NoColor;;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_232.png;;https://images.pokemontcg.io/sm8/232.png;;Lost Thunder
233;Secret;;Mixeur Perdu;Lost Blender;Trainer;NoColor;;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_233.png;;https://images.pokemontcg.io/sm8/233.png;;Lost Thunder
234;Secret;;Filet Ball;Net Ball;Trainer;NoColor;;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_234.png;;https://images.pokemontcg.io/sm8/234.png;;Lost Thunder
235;Secret;;Rune Sort;Spell Tag;Trainer;NoColor;;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_235.png;;https://images.pokemontcg.io/sm8/235.png;;Lost Thunder
236;Secret;;Marteau Attends-Voir;Wait and See Hammer;Trainer;NoColor;;Yoshinobu Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_236.png;;https://images.pokemontcg.io/sm8/236.png;;Lost Thunder
