number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Ultra;GX;Celebi et Florizarre-GX;Celebi & Venusaur-GX;Pokémon;Grass;3;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_1.png;;https://images.pokemontcg.io/sm9/1.png;;Team Up
2;Common;;Aspicot;Weedle;Pokémon;Grass;13;Shibuzoh.;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_2.png;;https://images.pokemontcg.io/sm9/2.png;;Team Up
3;Common;;Aspicot;Weedle;Pokémon;Grass;13;SATOSHI NAKAI;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_3.png;;https://images.pokemontcg.io/sm9/3.png;;Team Up
4;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_4.png;;https://images.pokemontcg.io/sm9/4.png;;Team Up
5;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;You Iribi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_5.png;;https://images.pokemontcg.io/sm9/5.png;;Team Up
6;Common;;Paras;Paras;Pokémon;Grass;46;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_6.png;;https://images.pokemontcg.io/sm9/6.png;;Team Up
7;Rare;;Parasect;Parasect;Pokémon;Grass;47;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_7.png;;https://images.pokemontcg.io/sm9/7.png;;Team Up
8;Common;;Noeunoeuf;Exeggcute;Pokémon;Grass;102;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_8.png;;https://images.pokemontcg.io/sm9/8.png;;Team Up
9;Rare;;Scarabrute;Pinsir;Pokémon;Grass;127;Eri Yamaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_9.png;;https://images.pokemontcg.io/sm9/9.png;;Team Up
10;Rare Holo;;Shaymin Prisme Étoile;Shaymin ◇;Pokémon;Grass;492;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_10.png;;https://images.pokemontcg.io/sm9/10.png;;Team Up
11;Common;;Salamèche;Charmander;Pokémon;Fire;4;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_11.png;;https://images.pokemontcg.io/sm9/11.png;;Team Up
12;Common;;Salamèche;Charmander;Pokémon;Fire;4;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_12.png;;https://images.pokemontcg.io/sm9/12.png;;Team Up
13;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_13.png;;https://images.pokemontcg.io/sm9/13.png;;Team Up
14;Rare;;Dracaufeu;Charizard;Pokémon;Fire;6;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_14.png;;https://images.pokemontcg.io/sm9/14.png;;Team Up
15;Common;;Goupix;Vulpix;Pokémon;Fire;37;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_15.png;;https://images.pokemontcg.io/sm9/15.png;;Team Up
16;Rare;;Feunard;Ninetales;Pokémon;Fire;38;You Iribi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_16.png;;https://images.pokemontcg.io/sm9/16.png;;Team Up
17;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_17.png;;https://images.pokemontcg.io/sm9/17.png;;Team Up
18;Uncommon;;Galopa;Rapidash;Pokémon;Fire;78;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_18.png;;https://images.pokemontcg.io/sm9/18.png;;Team Up
19;Rare Holo;;Sulfura;Moltres;Pokémon;Fire;146;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_19.png;;https://images.pokemontcg.io/sm9/19.png;;Team Up
20;Common;;Flamiaou;Litten;Pokémon;Fire;725;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_20.png;;https://images.pokemontcg.io/sm9/20.png;;Team Up
21;Uncommon;;Matoufeu;Torracat;Pokémon;Fire;726;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_21.png;;https://images.pokemontcg.io/sm9/21.png;;Team Up
22;Common;;Carapuce;Squirtle;Pokémon;Water;7;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_22.png;;https://images.pokemontcg.io/sm9/22.png;;Team Up
23;Common;;Carapuce;Squirtle;Pokémon;Water;7;HYOGONOSUKE;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_23.png;;https://images.pokemontcg.io/sm9/23.png;;Team Up
24;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Misa Tsutsui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_24.png;;https://images.pokemontcg.io/sm9/24.png;;Team Up
25;Rare;;Tortank;Blastoise;Pokémon;Water;9;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_25.png;;https://images.pokemontcg.io/sm9/25.png;;Team Up
26;Common;;Psykokwak;Psyduck;Pokémon;Water;54;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_26.png;;https://images.pokemontcg.io/sm9/26.png;;Team Up
