number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Salamèche;Charmander;Pokémon;Fire;4;tetsuya koizumi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_1.png;;https://images.pokemontcg.io/sm75/1.png;;Dragon Majesty
2;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_2.png;;https://images.pokemontcg.io/sm75/2.png;;Dragon Majesty
3;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Ryota Murayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_3.png;;https://images.pokemontcg.io/sm75/3.png;;Dragon Majesty
4;Common;;Poussifeu;Torchic;Pokémon;Fire;255;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_4.png;;https://images.pokemontcg.io/sm75/4.png;;Dragon Majesty
5;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_5.png;;https://images.pokemontcg.io/sm75/5.png;;Dragon Majesty
6;Rare Holo;;Brasegali;Blaziken;Pokémon;Fire;257;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_6.png;;https://images.pokemontcg.io/sm75/6.png;;Dragon Majesty
7;Ultra;Prisme;Victini Prisme Étoile;Victini ◇;Pokémon;Fire;494;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_7.png;;https://images.pokemontcg.io/sm75/7.png;;Dragon Majesty
8;Common;;Darumarond;Darumaka;Pokémon;Fire;554;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_8.png;;https://images.pokemontcg.io/sm75/8.png;;Dragon Majesty
9;Uncommon;;Darumacho;Darmanitan;Pokémon;Fire;555;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_9.png;;https://images.pokemontcg.io/sm75/9.png;;Dragon Majesty
10;Uncommon;;Aflamanoir;Heatmor;Pokémon;Fire;631;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_10.png;;https://images.pokemontcg.io/sm75/10.png;;Dragon Majesty
11;Ultra;GX;Reshiram-GX;Reshiram-GX;Pokémon;Fire;643;PLANETA Otani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_11.png;;https://images.pokemontcg.io/sm75/11.png;;Dragon Majesty
12;Common;;Flamiaou;Litten;Pokémon;Fire;725;Ryota Murayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_12.png;;https://images.pokemontcg.io/sm75/12.png;;Dragon Majesty
13;Common;;Tritox;Salandit;Pokémon;Fire;757;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_13.png;;https://images.pokemontcg.io/sm75/13.png;;Dragon Majesty
14;Uncommon;;Malamandre;Salazzle;Pokémon;Fire;758;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM75/SM75_FR_14.png;;https://images.pokemontcg.io/sm75/14.png;;Dragon Majesty
