number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
SM01;;;;Rowlet;Pokémon;Grass;722;Mitsuhiro Arita;;;https://images.pokemontcg.io/smp/SM01.png;;SM Black Star Promos
SM02;;;;Litten;Pokémon;Fire;725;Megumi Mizutani;;;https://images.pokemontcg.io/smp/SM02.png;;SM Black Star Promos
SM03;;;;Popplio;Pokémon;Water;728;match;;;https://images.pokemontcg.io/smp/SM03.png;;SM Black Star Promos
SM04;;;;Pikachu;Pokémon;Lightning;25;kirisAki;;;https://images.pokemontcg.io/smp/SM04.png;;SM Black Star Promos
SM05;Ultra;;;Snorlax-GX;Pokémon;Colorless;143;5ban Graphics;;;https://images.pokemontcg.io/smp/SM05.png;;SM Black Star Promos
SM06;;;;Rockruff;Pokémon;Fighting;744;match;;;https://images.pokemontcg.io/smp/SM06.png;;SM Black Star Promos
SM07;;;;Pikipek;Pokémon;Colorless;731;match;;;https://images.pokemontcg.io/smp/SM07.png;;SM Black Star Promos
SM08;;;;Litten;Pokémon;Fire;725;Kouki Saitou;;;https://images.pokemontcg.io/smp/SM08.png;;SM Black Star Promos
SM09;;;;Togedemaru;Pokémon;Lightning;777;match;;;https://images.pokemontcg.io/smp/SM09.png;;SM Black Star Promos
SM10;;;;Shiinotic;Pokémon;Grass;756;Mizue;;;https://images.pokemontcg.io/smp/SM10.png;;SM Black Star Promos
SM11;;;;Bruxish;Pokémon;Water;779;Mizue;;;https://images.pokemontcg.io/smp/SM11.png;;SM Black Star Promos
SM12;;;;Passimian;Pokémon;Fighting;766;Naoki Saito;;;https://images.pokemontcg.io/smp/SM12.png;;SM Black Star Promos
SM13;;;;Oranguru;Pokémon;Colorless;765;Mitsuhiro Arita;;;https://images.pokemontcg.io/smp/SM13.png;;SM Black Star Promos
SM14;Ultra;;;Lycanroc-GX;Pokémon;Fighting;745;5ban Graphics;;;https://images.pokemontcg.io/smp/SM14.png;;SM Black Star Promos
SM15;;;;Zygarde;Pokémon;Fighting;718;kawayoo;;;https://images.pokemontcg.io/smp/SM15.png;;SM Black Star Promos
SM16;Ultra;;;Solgaleo-GX;Pokémon;Metal;791;PLANETA;;;https://images.pokemontcg.io/smp/SM16.png;;SM Black Star Promos
SM17;Ultra;;;Lunala-GX;Pokémon;Psychic;792;PLANETA;;;https://images.pokemontcg.io/smp/SM17.png;;SM Black Star Promos
SM18;;;;Alolan Sandslash;Pokémon;Water;28;TOKIYA;;;https://images.pokemontcg.io/smp/SM18.png;;SM Black Star Promos
SM19;;;;Oricorio;Pokémon;Psychic;741;TOKIYA;;;https://images.pokemontcg.io/smp/SM19.png;;SM Black Star Promos
SM20;;;;Mudsdale;Pokémon;Fighting;750;Mitsuhiro Arita;;;https://images.pokemontcg.io/smp/SM20.png;;SM Black Star Promos
SM21;;;;Drampa;Pokémon;Dragon;780;match;;;https://images.pokemontcg.io/smp/SM21.png;;SM Black Star Promos
SM22;;;;Rowlet;Pokémon;Grass;722;5ban Graphics;;;https://images.pokemontcg.io/smp/SM22.png;;SM Black Star Promos
SM23;;;;Litten;Pokémon;Fire;725;5ban Graphics;;;https://images.pokemontcg.io/smp/SM23.png;;SM Black Star Promos
SM24;;;;Popplio;Pokémon;Water;728;5ban Graphics;;;https://images.pokemontcg.io/smp/SM24.png;;SM Black Star Promos
SM25;;;;Lurantis;Pokémon;Grass;754;Mitsuhiro Arita;;;https://images.pokemontcg.io/smp/SM25.png;;SM Black Star Promos
SM26;;;;Tsareena;Pokémon;Grass;763;Naoki Saito;;;https://images.pokemontcg.io/smp/SM26.png;;SM Black Star Promos
SM27;;;;Turtonator;Pokémon;Fire;776;TOKIYA;;;https://images.pokemontcg.io/smp/SM27.png;;SM Black Star Promos
SM28;;;;Vikavolt;Pokémon;Lightning;738;Shin Nagasawa;;;https://images.pokemontcg.io/smp/SM28.png;;SM Black Star Promos
SM29;;;;Mimikyu;Pokémon;Psychic;778;Mitsuhiro Arita;;;https://images.pokemontcg.io/smp/SM29.png;;SM Black Star Promos
SM30;;;;Tapu Koko;Pokémon;Lightning;;kirisAki;;;https://images.pokemontcg.io/smp/SM30.png;;SM Black Star Promos
SM31;;;;Tapu Koko;Pokémon;Lightning;;kirisAki;;;https://images.pokemontcg.io/smp/SM31.png;;SM Black Star Promos
SM32;Ultra;;;Tapu Bulu-GX;Pokémon;Grass;;PLANETA;;;https://images.pokemontcg.io/smp/SM32.png;;SM Black Star Promos
SM33;Ultra;;;Tapu Koko-GX;Pokémon;Lightning;;5ban Graphics;;;https://images.pokemontcg.io/smp/SM33.png;;SM Black Star Promos
SM34;Ultra;;;Bewear-GX;Pokémon;Colorless;760;5ban Graphics;;;https://images.pokemontcg.io/smp/SM34.png;;SM Black Star Promos
SM35;Ultra;;;Espeon-GX;Pokémon;Psychic;196;5ban Graphics;;;https://images.pokemontcg.io/smp/SM35.png;;SM Black Star Promos
SM36;Ultra;;;Umbreon-GX;Pokémon;Darkness;197;5ban Graphics;;;https://images.pokemontcg.io/smp/SM36.png;;SM Black Star Promos
SM37;Ultra;;;Decidueye-GX;Pokémon;Grass;724;5ban Graphics;;;https://images.pokemontcg.io/smp/SM37.png;;SM Black Star Promos
SM38;Ultra;;;Incineroar-GX;Pokémon;Fire;727;5ban Graphics;;;https://images.pokemontcg.io/smp/SM38.png;;SM Black Star Promos
SM39;Ultra;;;Primarina-GX;Pokémon;Water;730;5ban Graphics;;;https://images.pokemontcg.io/smp/SM39.png;;SM Black Star Promos
SM40;;;;Jangmo-o;Pokémon;Dragon;782;Naoki Saito;;;https://images.pokemontcg.io/smp/SM40.png;;SM Black Star Promos
SM41;;;;Komala;Pokémon;Colorless;775;nagimiso;;;https://images.pokemontcg.io/smp/SM41.png;;SM Black Star Promos
SM42;;;;Cosmog;Pokémon;Psychic;789;Megumi Mizutani;;;https://images.pokemontcg.io/smp/SM42.png;;SM Black Star Promos
SM43;;;;Alolan Meowth;Pokémon;Darkness;52;Megumi Mizutani;;;https://images.pokemontcg.io/smp/SM43.png;;SM Black Star Promos
SM44;;;;Togedemaru;Pokémon;Lightning;777;Sanosuke Sakuma;;;https://images.pokemontcg.io/smp/SM44.png;;SM Black Star Promos
SM45;;;;Tapu Lele;Pokémon;Psychic;785;You Iribi;;;https://images.pokemontcg.io/smp/SM45.png;;SM Black Star Promos
SM46;;;;Seviper;Pokémon;Psychic;336;Eri Yamaki;;;https://images.pokemontcg.io/smp/SM46.png;;SM Black Star Promos
SM47;;;;Crabominable;Pokémon;Fighting;740;Mitsuhiro Arita;;;https://images.pokemontcg.io/smp/SM47.png;;SM Black Star Promos
SM48;;;;Zygarde;Pokémon;Dragon;718;Masakazu Fukuda;;;https://images.pokemontcg.io/smp/SM48.png;;SM Black Star Promos
SM49;;;;Bewear;Pokémon;Colorless;760;Mitsuhiro Arita;;;https://images.pokemontcg.io/smp/SM49.png;;SM Black Star Promos
SM50;Ultra;;;Tapu Koko-GX;Pokémon;Lightning;;5ban Graphics;;;https://images.pokemontcg.io/smp/SM50.png;;SM Black Star Promos
SM51;;;;Alolan Meowth;Pokémon;Darkness;52;sui;;;https://images.pokemontcg.io/smp/SM51.png;;SM Black Star Promos
SM52;;;;Golisopod;Pokémon;Grass;768;Naoki Saito;;;https://images.pokemontcg.io/smp/SM52.png;;SM Black Star Promos
SM53;;;;Dhelmise;Pokémon;Psychic;781;Kouki Saitou;;;https://images.pokemontcg.io/smp/SM53.png;;SM Black Star Promos
SM54;;;;Lucario;Pokémon;Fighting;448;Anesaki Dynamic;;;https://images.pokemontcg.io/smp/SM54.png;;SM Black Star Promos
