rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Ultra;GX;Cancrelove et Mouscoto-GX;Pheromosa & Buzzwole-GX;Pokémon;Grass;794;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/e/e3/Carte_Soleil_et_Lune_Alliance_Infaillible_1.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_1.png;https://images.pokemontcg.io/sm10/1_hires.png;sm10
2;2;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Shibuzoh.;https://www.pokepedia.fr/images/thumb/0/08/Carte_Soleil_et_Lune_Alliance_Infaillible_2.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_2.png;https://images.pokemontcg.io/sm10/2_hires.png;sm10
3;3;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Shigenori Negishi;https://www.pokepedia.fr/images/thumb/1/13/Carte_Soleil_et_Lune_Alliance_Infaillible_3.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_3.png;https://images.pokemontcg.io/sm10/3_hires.png;sm10
4;4;Rare;;Papilusion;Butterfree;Pokémon;Grass;12;Midori Harada;https://www.pokepedia.fr/images/thumb/b/bd/Carte_Soleil_et_Lune_Alliance_Infaillible_4.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_4.png;https://images.pokemontcg.io/sm10/4_hires.png;sm10
5;5;Common;;Mystherbe;Oddish;Pokémon;Grass;43;313;https://www.pokepedia.fr/images/thumb/2/2d/Carte_Soleil_et_Lune_Alliance_Infaillible_5.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_5.png;https://images.pokemontcg.io/sm10/5_hires.png;sm10
6;6;Common;;Mystherbe;Oddish;Pokémon;Grass;43;Asako Ito;https://www.pokepedia.fr/images/thumb/e/e4/Carte_Soleil_et_Lune_Alliance_Infaillible_6.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_6.png;https://images.pokemontcg.io/sm10/6_hires.png;sm10
7;7;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Anesaki Dynamic;https://www.pokepedia.fr/images/thumb/e/e2/Carte_Soleil_et_Lune_Alliance_Infaillible_7.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_7.png;https://images.pokemontcg.io/sm10/7_hires.png;sm10
8;8;Rare Holo;;Rafflésia;Vileplume;Pokémon;Grass;45;Suwama Chiaki;https://www.pokepedia.fr/images/thumb/5/52/Carte_Soleil_et_Lune_Alliance_Infaillible_8.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_8.png;https://images.pokemontcg.io/sm10/8_hires.png;sm10
9;9;Common;;Mimitoss;Venonat;Pokémon;Grass;48;kirisAki;https://www.pokepedia.fr/images/thumb/3/34/Carte_Soleil_et_Lune_Alliance_Infaillible_9.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_9.png;https://images.pokemontcg.io/sm10/9_hires.png;sm10
10;10;Common;;Mimitoss;Venonat;Pokémon;Grass;48;Yuka Morii;https://www.pokepedia.fr/images/thumb/8/88/Carte_Soleil_et_Lune_Alliance_Infaillible_10.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_10.png;https://images.pokemontcg.io/sm10/10_hires.png;sm10
11;11;Rare;;Aéromite;Venomoth;Pokémon;Grass;49;Mina Nakai;https://www.pokepedia.fr/images/thumb/d/d6/Carte_Soleil_et_Lune_Alliance_Infaillible_11.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_11.png;https://images.pokemontcg.io/sm10/11_hires.png;sm10
12;12;Ultra;GX;Aéromite-GX;Venomoth-GX;Pokémon;Grass;49;5ban Graphics;https://www.pokepedia.fr/images/thumb/a/a7/Carte_Soleil_et_Lune_Alliance_Infaillible_12.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_12.png;https://images.pokemontcg.io/sm10/12_hires.png;sm10
13;13;Common;;Chétiflor;Bellsprout;Pokémon;Grass;69;Ken Sugimori;https://www.pokepedia.fr/images/thumb/d/df/Carte_Soleil_et_Lune_Alliance_Infaillible_13.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_13.png;https://images.pokemontcg.io/sm10/13_hires.png;sm10
14;14;Uncommon;;Boustiflor;Weepinbell;Pokémon;Grass;70;otumami;https://www.pokepedia.fr/images/thumb/f/f5/Carte_Soleil_et_Lune_Alliance_Infaillible_14.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_14.png;https://images.pokemontcg.io/sm10/14_hires.png;sm10
15;15;Rare;;Empiflor;Victreebel;Pokémon;Grass;71;Anesaki Dynamic;https://www.pokepedia.fr/images/thumb/5/51/Carte_Soleil_et_Lune_Alliance_Infaillible_15.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_15.png;https://images.pokemontcg.io/sm10/15_hires.png;sm10
