number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_1.png;https://images.pokemontcg.io/sm8/1.png;sm8
2;2;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_2.png;https://images.pokemontcg.io/sm8/2.png;sm8
3;3;Common;;Insécateur;Scyther;Pokémon;Grass;123;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_3.png;https://images.pokemontcg.io/sm8/3.png;sm8
4;4;Uncommon;;Scarabrute;Pinsir;Pokémon;Grass;127;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_4.png;https://images.pokemontcg.io/sm8/4.png;sm8
5;5;Common;;Germignon;Chikorita;Pokémon;Grass;152;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_5.png;https://images.pokemontcg.io/sm8/5.png;sm8
6;6;Common;;Germignon;Chikorita;Pokémon;Grass;152;sowsow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_6.png;https://images.pokemontcg.io/sm8/6.png;sm8
7;7;Uncommon;;Macronium;Bayleef;Pokémon;Grass;153;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_7.png;https://images.pokemontcg.io/sm8/7.png;sm8
8;8;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_8.png;https://images.pokemontcg.io/sm8/8.png;sm8
9;9;Common;;Mimigal;Spinarak;Pokémon;Grass;167;Misa Tsutsui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_9.png;https://images.pokemontcg.io/sm8/9.png;sm8
10;10;Uncommon;;Migalos;Ariados;Pokémon;Grass;168;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_10.png;https://images.pokemontcg.io/sm8/10.png;sm8
11;11;Common;;Granivol;Hoppip;Pokémon;Grass;187;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_11.png;https://images.pokemontcg.io/sm8/11.png;sm8
