rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Common;;Chamallot de Team Magma;Team Magma's Numel;Pokémon;Fire;322;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_1.png;https://images.pokemontcg.io/dc1/1.png;dc1
2;2;Rare Holo;;Camerupt de Team Magma;Team Magma's Camerupt;Pokémon;Fire;323;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_2.png;https://images.pokemontcg.io/dc1/2.png;dc1
3;3;Common;;Obalie de Team Aqua;Team Aqua's Spheal;Pokémon;Water;363;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_3.png;https://images.pokemontcg.io/dc1/3.png;dc1
4;4;Common;;Phogleur de Team Aqua;Team Aqua's Sealeo;Pokémon;Water;364;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_4.png;https://images.pokemontcg.io/dc1/4.png;dc1
5;5;Rare Holo;;Kaimorse de Team Aqua;Team Aqua's Walrein;Pokémon;Water;365;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_5.png;https://images.pokemontcg.io/dc1/5.png;dc1
6;6;Ultra;EX FA;Kyogre-EX de la Team Aqua;Team Aqua's Kyogre-ex;Pokémon;Water;382;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_6.png;https://images.pokemontcg.io/dc1/6.png;dc1
7;7;Common;;Tadmorv de la Team Aqua;Team Aqua's Grimer;Pokémon;Psychic;88;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_7.png;https://images.pokemontcg.io/dc1/7.png;dc1
8;8;Rare Holo;;Grotadmorv de la Team Aqua;Team Aqua's Muk;Pokémon;Psychic;89;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_8.png;https://images.pokemontcg.io/dc1/8.png;dc1
9;9;Common;;Seviper de Team Aqua;Team Aqua's Seviper;Pokémon;Psychic;336;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_9.png;https://images.pokemontcg.io/dc1/9.png;dc1
10;10;Common;;Balbuto de Team Magma;Team Magma's Baltoy;Pokémon;Psychic;343;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_10.png;https://images.pokemontcg.io/dc1/10.png;dc1
11;11;Rare Holo;;Kaorine de Team Magma;Team Magma's Claydol;Pokémon;Psychic;344;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_11.png;https://images.pokemontcg.io/dc1/11.png;dc1
12;12;Common;;Galekid de Team Magma;Team Magma's Aron;Pokémon;Fighting;304;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_12.png;https://images.pokemontcg.io/dc1/12.png;dc1
13;13;Common;;Galegon de Team Magma;Team Magma's Lairon;Pokémon;Fighting;305;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_13.png;https://images.pokemontcg.io/dc1/13.png;dc1
14;14;Rare Holo;;Galeking de Team Magma;Team Magma's Aggron;Pokémon;Fighting;306;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_14.png;https://images.pokemontcg.io/dc1/14.png;dc1
15;15;Ultra;EX FA;Groudon-EX de la Team Magma;Team Magma's Groudon-ex;Pokémon;Fighting;383;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_15.png;https://images.pokemontcg.io/dc1/15.png;dc1
16;16;Common;;Medhyena de Team Aqua;Team Aqua's Poochyena;Pokémon;Darkness;261;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_16.png;https://images.pokemontcg.io/dc1/16.png;dc1
17;17;Common;;Medhyena de Team Magma;Team Magma's Poochyena;Pokémon;Darkness;261;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DC1/DC1_FR_17.png;https://images.pokemontcg.io/dc1/17.png;dc1
