rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Ultra;EX;Florizarre-EX;Venusaur-EX;Pokémon;Grass;3;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_1.png;https://images.pokemontcg.io/xy1/1.png;xy1
2;2;Ultra;M EX;Méga Florizarre-EX;M Venusaur-EX;Pokémon;Grass;3;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_2.png;https://images.pokemontcg.io/xy1/2.png;xy1
3;3;Common;;Aspicot;Weedle;Pokémon;Grass;13;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_3.png;https://images.pokemontcg.io/xy1/3.png;xy1
4;4;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_4.png;https://images.pokemontcg.io/xy1/4.png;xy1
5;5;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_5.png;https://images.pokemontcg.io/xy1/5.png;xy1
6;6;Common;;Coxy;Ledyba;Pokémon;Grass;165;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_6.png;https://images.pokemontcg.io/xy1/6.png;xy1
7;7;Uncommon;;Coxyclaque;Ledian;Pokémon;Grass;166;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_7.png;https://images.pokemontcg.io/xy1/7.png;xy1
8;8;Uncommon;;Muciole;Volbeat;Pokémon;Grass;313;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_8.png;https://images.pokemontcg.io/xy1/8.png;xy1
9;9;Uncommon;;Lumivole;Illumise;Pokémon;Grass;314;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_9.png;https://images.pokemontcg.io/xy1/9.png;xy1
10;10;Common;;Feuillajou;Pansage;Pokémon;Grass;511;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_10.png;https://images.pokemontcg.io/xy1/10.png;xy1
11;11;Rare;;Feuiloutan;Simisage;Pokémon;Grass;512;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_11.png;https://images.pokemontcg.io/xy1/11.png;xy1
12;12;Common;;Marisson;Chespin;Pokémon;Grass;650;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_12.png;https://images.pokemontcg.io/xy1/12.png;xy1
13;13;Uncommon;;Boguérisse;Quilladin;Pokémon;Grass;651;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_13.png;https://images.pokemontcg.io/xy1/13.png;xy1
14;14;Rare Holo;;Blindépique;Chesnaught;Pokémon;Grass;652;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_14.png;https://images.pokemontcg.io/xy1/14.png;xy1
15;15;Common;;Lépidonille;Scatterbug;Pokémon;Grass;664;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_15.png;https://images.pokemontcg.io/xy1/15.png;xy1
