number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Paras;Paras;Pokémon;Grass;46;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_1.png;;https://images.pokemontcg.io/xy8/1.png;;BREAKthrough
2;Rare;;Parasect;Parasect;Pokémon;Grass;47;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_2.png;;https://images.pokemontcg.io/xy8/2.png;;BREAKthrough
3;Uncommon;;Scarabrute;Pinsir;Pokémon;Grass;127;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_3.png;;https://images.pokemontcg.io/xy8/3.png;;BREAKthrough
4;Common;;Cacnéa;Cacnea;Pokémon;Grass;331;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_4.png;;https://images.pokemontcg.io/xy8/4.png;;BREAKthrough
5;Common;;Feuillajou;Pansage;Pokémon;Grass;511;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_5.png;;https://images.pokemontcg.io/xy8/5.png;;BREAKthrough
6;Rare;;Feuiloutan;Simisage;Pokémon;Grass;512;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_6.png;;https://images.pokemontcg.io/xy8/6.png;;BREAKthrough
7;Common;;Marisson;Chespin;Pokémon;Grass;650;Megumi Mizutani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_7.png;;https://images.pokemontcg.io/xy8/7.png;;BREAKthrough
8;Common;;Marisson;Chespin;Pokémon;Grass;650;Megumi Mizutani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_8.png;;https://images.pokemontcg.io/xy8/8.png;;BREAKthrough
9;Common;;Marisson;Chespin;Pokémon;Grass;650;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_9.png;;https://images.pokemontcg.io/xy8/9.png;;BREAKthrough
10;Uncommon;;Boguérisse;Quilladin;Pokémon;Grass;651;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_10.png;;https://images.pokemontcg.io/xy8/10.png;;BREAKthrough
11;Rare Holo;;Blindépique;Chesnaught;Pokémon;Grass;652;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_11.png;;https://images.pokemontcg.io/xy8/11.png;;BREAKthrough
12;Ultra;TURBO;Blindépique TURBO;Chesnaught BREAK;Pokémon;Grass;652;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_12.png;;https://images.pokemontcg.io/xy8/12.png;;BREAKthrough
13;Common;;Lépidonille;Scatterbug;Pokémon;Grass;664;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_13.png;;https://images.pokemontcg.io/xy8/13.png;;BREAKthrough
14;Uncommon;;Pérégrain;Spewpa;Pokémon;Grass;665;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_14.png;;https://images.pokemontcg.io/xy8/14.png;;BREAKthrough
15;Rare Holo;;Prismillon;Vivillon;Pokémon;Grass;666;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_15.png;;https://images.pokemontcg.io/xy8/15.png;;BREAKthrough
16;Common;;Cabriolaine;Skiddo;Pokémon;Grass;672;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_16.png;;https://images.pokemontcg.io/xy8/16.png;;BREAKthrough
17;Uncommon;;Chevroum;Gogoat;Pokémon;Grass;673;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_17.png;;https://images.pokemontcg.io/xy8/17.png;;BREAKthrough
18;Common;;Héricendre;Cyndaquil;Pokémon;Fire;155;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_18.png;;https://images.pokemontcg.io/xy8/18.png;;BREAKthrough
19;Uncommon;;Feurisson;Quilava;Pokémon;Fire;156;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_19.png;;https://images.pokemontcg.io/xy8/19.png;;BREAKthrough
20;Rare Holo;;Typhlosion;Typhlosion;Pokémon;Fire;157;Megumi Mizutani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_20.png;;https://images.pokemontcg.io/xy8/20.png;;BREAKthrough
21;Ultra;EX;Démolosse-EX;Houndoom-EX;Pokémon;Fire;229;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_21.png;;https://images.pokemontcg.io/xy8/21.png;;BREAKthrough
22;Ultra;M EX;Méga Démolosse-EX;M Houndoom-EX;Pokémon;Fire;229;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_22.png;;https://images.pokemontcg.io/xy8/22.png;;BREAKthrough
23;Common;;Flamajou;Pansear;Pokémon;Fire;513;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_23.png;;https://images.pokemontcg.io/xy8/23.png;;BREAKthrough
24;Rare;;Flamoutan;Simisear;Pokémon;Fire;514;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_24.png;;https://images.pokemontcg.io/xy8/24.png;;BREAKthrough
25;Common;;Feunnec;Fennekin;Pokémon;Fire;653;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_25.png;;https://images.pokemontcg.io/xy8/25.png;;BREAKthrough
26;Uncommon;;Roussil;Braixen;Pokémon;Fire;654;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_26.png;;https://images.pokemontcg.io/xy8/26.png;;BREAKthrough
27;Common;;Poissirène;Goldeen;Pokémon;Water;118;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_27.png;;https://images.pokemontcg.io/xy8/27.png;;BREAKthrough
28;Uncommon;;Poissoroy;Seaking;Pokémon;Water;119;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_28.png;;https://images.pokemontcg.io/xy8/28.png;;BREAKthrough
29;Common;;Stari;Staryu;Pokémon;Water;120;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_29.png;;https://images.pokemontcg.io/xy8/29.png;;BREAKthrough
30;Uncommon;;Staross;Starmie;Pokémon;Water;121;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_30.png;;https://images.pokemontcg.io/xy8/30.png;;BREAKthrough
31;Common;;Remoraid;Remoraid;Pokémon;Water;223;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_31.png;;https://images.pokemontcg.io/xy8/31.png;;BREAKthrough
32;Common;;Remoraid;Remoraid;Pokémon;Water;223;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_32.png;;https://images.pokemontcg.io/xy8/32.png;;BREAKthrough
33;Rare Holo;;Octillery;Octillery;Pokémon;Water;224;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_33.png;;https://images.pokemontcg.io/xy8/33.png;;BREAKthrough
34;Ultra;EX;Oniglali-EX;Glalie-EX;Pokémon;Water;362;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_34.png;;https://images.pokemontcg.io/xy8/34.png;;BREAKthrough
35;Ultra;M EX;Méga Oniglali-EX;M Glalie-EX;Pokémon;Water;362;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_35.png;;https://images.pokemontcg.io/xy8/35.png;;BREAKthrough
36;Common;;Tiplouf;Piplup;Pokémon;Water;393;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_36.png;;https://images.pokemontcg.io/xy8/36.png;;BREAKthrough
37;Uncommon;;Prinplouf;Prinplup;Pokémon;Water;394;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_37.png;;https://images.pokemontcg.io/xy8/37.png;;BREAKthrough
38;Rare Holo;;Pingoléon;Empoleon;Pokémon;Water;395;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_38.png;;https://images.pokemontcg.io/xy8/38.png;;BREAKthrough
39;Common;;Blizzi;Snover;Pokémon;Water;459;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_39.png;;https://images.pokemontcg.io/xy8/39.png;;BREAKthrough
40;Rare;;Blizzaroi;Abomasnow;Pokémon;Water;460;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_40.png;;https://images.pokemontcg.io/xy8/40.png;;BREAKthrough
41;Common;;Flotajou;Panpour;Pokémon;Water;515;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_41.png;;https://images.pokemontcg.io/xy8/41.png;;BREAKthrough
42;Rare;;Flotoutan;Simipour;Pokémon;Water;516;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_42.png;;https://images.pokemontcg.io/xy8/42.png;;BREAKthrough
43;Common;;Sorbébé;Vanillite;Pokémon;Water;582;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_43.png;;https://images.pokemontcg.io/xy8/43.png;;BREAKthrough
44;Uncommon;;Sorboul;Vanillish;Pokémon;Water;583;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_44.png;;https://images.pokemontcg.io/xy8/44.png;;BREAKthrough
45;Rare;;Sorbouboul;Vanilluxe;Pokémon;Water;584;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_45.png;;https://images.pokemontcg.io/xy8/45.png;;BREAKthrough
46;Common;;Grenousse;Froakie;Pokémon;Water;656;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_46.png;;https://images.pokemontcg.io/xy8/46.png;;BREAKthrough
47;Uncommon;;Croâporal;Frogadier;Pokémon;Water;657;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_47.png;;https://images.pokemontcg.io/xy8/47.png;;BREAKthrough
48;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_48.png;;https://images.pokemontcg.io/xy8/48.png;;BREAKthrough
49;Rare;;Raichu;Raichu;Pokémon;Lightning;26;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_49.png;;https://images.pokemontcg.io/xy8/49.png;;BREAKthrough
50;Ultra;TURBO;Raichu TURBO;Raichu BREAK;Pokémon;Lightning;26;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_50.png;;https://images.pokemontcg.io/xy8/50.png;;BREAKthrough
51;Common;;Magneti;Magnemite;Pokémon;Lightning;81;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_51.png;;https://images.pokemontcg.io/xy8/51.png;;BREAKthrough
52;Common;;Magneti;Magnemite;Pokémon;Lightning;81;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_52.png;;https://images.pokemontcg.io/xy8/52.png;;BREAKthrough
53;Uncommon;;Magneton;Magneton;Pokémon;Lightning;82;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_53.png;;https://images.pokemontcg.io/xy8/53.png;;BREAKthrough
54;Rare Holo;;Magnézone;Magnezone;Pokémon;Lightning;462;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_54.png;;https://images.pokemontcg.io/xy8/54.png;;BREAKthrough
55;Rare Holo;;Raikou;Raikou;Pokémon;Lightning;243;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_55.png;;https://images.pokemontcg.io/xy8/55.png;;BREAKthrough
56;Uncommon;;Limonde;Stunfisk;Pokémon;Lightning;618;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_56.png;;https://images.pokemontcg.io/xy8/56.png;;BREAKthrough
57;Uncommon;;Dedenne;Dedenne;Pokémon;Lightning;702;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_57.png;;https://images.pokemontcg.io/xy8/57.png;;BREAKthrough
58;Common;;Fantominus;Gastly;Pokémon;Psychic;92;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_58.png;;https://images.pokemontcg.io/xy8/58.png;;BREAKthrough
59;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_59.png;;https://images.pokemontcg.io/xy8/59.png;;BREAKthrough
60;Rare Holo;;Ectoplasma;Gengar;Pokémon;Psychic;94;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_60.png;;https://images.pokemontcg.io/xy8/60.png;;BREAKthrough
61;Ultra;EX;Mewtwo-EX;Mewtwo-EX;Pokémon;Psychic;150;PLANETA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_61.png;;https://images.pokemontcg.io/xy8/61.png;;BREAKthrough
62;Ultra;EX;Mewtwo-EX;Mewtwo-EX;Pokémon;Psychic;150;PLANETA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_62.png;;https://images.pokemontcg.io/xy8/62.png;;BREAKthrough
63;Ultra;M EX;Méga Mewtwo-EX;M Mewtwo-EX;Pokémon;Psychic;150;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_63.png;;https://images.pokemontcg.io/xy8/63.png;;BREAKthrough
64;Ultra;M EX;Méga Mewtwo-EX;M Mewtwo-EX;Pokémon;Psychic;150;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_64.png;;https://images.pokemontcg.io/xy8/64.png;;BREAKthrough
65;Common;;Feuforeve;Misdreavus;Pokémon;Psychic;200;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY8/XY8_FR_65.png;;https://images.pokemontcg.io/xy8/65.png;;BREAKthrough
