number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Mystherbe;Oddish;Pokémon;Grass;43;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_1.png;;https://images.pokemontcg.io/xy7/1.png;;Ancient Origins
2;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_2.png;;https://images.pokemontcg.io/xy7/2.png;;Ancient Origins
3;Rare;;Rafflésia;Vileplume;Pokémon;Grass;45;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_3.png;;https://images.pokemontcg.io/xy7/3.png;;Ancient Origins
4;Uncommon;;Joliflor;Bellossom;Pokémon;Grass;182;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_4.png;;https://images.pokemontcg.io/xy7/4.png;;Ancient Origins
5;Common;;Mimigal;Spinarak;Pokémon;Grass;167;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_5.png;;https://images.pokemontcg.io/xy7/5.png;;Ancient Origins
6;Uncommon;;Migalos;Ariados;Pokémon;Grass;168;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_6.png;;https://images.pokemontcg.io/xy7/6.png;;Ancient Origins
7;Ultra;EX;Jungko-EX;Sceptile-EX;Pokémon;Grass;254;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_7.png;;https://images.pokemontcg.io/xy7/7.png;;Ancient Origins
8;Ultra;M EX;Méga Jungko-EX;M Sceptile-EX;Pokémon;Grass;254;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_8.png;;https://images.pokemontcg.io/xy7/8.png;;Ancient Origins
9;Common;;Apitrini;Combee;Pokémon;Grass;415;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_9.png;;https://images.pokemontcg.io/xy7/9.png;;Ancient Origins
10;Uncommon;;Apireine;Vespiquen;Pokémon;Grass;416;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_10.png;;https://images.pokemontcg.io/xy7/10.png;;Ancient Origins
11;Rare;;Apireine;Vespiquen;Pokémon;Grass;416;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_11.png;;https://images.pokemontcg.io/xy7/11.png;;Ancient Origins
12;Rare Holo;;Viridium;Virizion;Pokémon;Grass;640;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_12.png;;https://images.pokemontcg.io/xy7/12.png;;Ancient Origins
13;Uncommon;;Pyroli;Flareon;Pokémon;Fire;136;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_13.png;;https://images.pokemontcg.io/xy7/13.png;;Ancient Origins
14;Rare;;Entei;Entei;Pokémon;Fire;244;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_14.png;;https://images.pokemontcg.io/xy7/14.png;;Ancient Origins
15;Rare Holo;;Entei;Entei;Pokémon;Fire;244;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_15.png;;https://images.pokemontcg.io/xy7/15.png;;Ancient Origins
16;Common;;Pyronille;Larvesta;Pokémon;Fire;636;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_16.png;;https://images.pokemontcg.io/xy7/16.png;;Ancient Origins
17;Rare Holo;;Pyrax;Volcarona;Pokémon;Fire;637;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_17.png;;https://images.pokemontcg.io/xy7/17.png;;Ancient Origins
18;Rare;;Pyrax;Volcarona;Pokémon;Fire;637;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_18.png;;https://images.pokemontcg.io/xy7/18.png;;Ancient Origins
19;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_19.png;;https://images.pokemontcg.io/xy7/19.png;;Ancient Origins
20;Rare;;Léviator;Gyarados;Pokémon;Water;130;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_20.png;;https://images.pokemontcg.io/xy7/20.png;;Ancient Origins
21;Rare Holo;;Léviator;Gyarados;Pokémon;Water;130;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_21.png;;https://images.pokemontcg.io/xy7/21.png;;Ancient Origins
22;Uncommon;;Aquali;Vaporeon;Pokémon;Water;134;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_22.png;;https://images.pokemontcg.io/xy7/22.png;;Ancient Origins
23;Common;;Relicanth;Relicanth;Pokémon;Water;369;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_23.png;;https://images.pokemontcg.io/xy7/23.png;;Ancient Origins
24;Rare;;Regice;Regice;Pokémon;Water;378;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_24.png;;https://images.pokemontcg.io/xy7/24.png;;Ancient Origins
25;Ultra;EX;Kyurem-EX;Kyurem-EX;Pokémon;Water;646;PLANETA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_25.png;;https://images.pokemontcg.io/xy7/25.png;;Ancient Origins
26;Rare Holo;;Voltali;Jolteon;Pokémon;Lightning;135;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_26.png;;https://images.pokemontcg.io/xy7/26.png;;Ancient Origins
27;Ultra;EX;Pharamp-EX;Ampharos-EX;Pokémon;Lightning;181;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_27.png;;https://images.pokemontcg.io/xy7/27.png;;Ancient Origins
28;Ultra;M EX;Méga Pharamp-EX;M Ampharos-EX;Pokémon;Lightning;181;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_28.png;;https://images.pokemontcg.io/xy7/28.png;;Ancient Origins
29;Uncommon;;Motisma;Rotom;Pokémon;Lightning;479;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_29.png;;https://images.pokemontcg.io/xy7/29.png;;Ancient Origins
30;Common;;Zarbi;Unown;Pokémon;Psychic;201;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_30.png;;https://images.pokemontcg.io/xy7/30.png;;Ancient Origins
31;Common;;Balbuto;Baltoy;Pokémon;Psychic;343;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_31.png;;https://images.pokemontcg.io/xy7/31.png;;Ancient Origins
32;Common;;Balbuto;Baltoy;Pokémon;Psychic;343;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_32.png;;https://images.pokemontcg.io/xy7/32.png;;Ancient Origins
33;Rare;;Kaorine;Claydol;Pokémon;Psychic;344;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_33.png;;https://images.pokemontcg.io/xy7/33.png;;Ancient Origins
34;Common;;Gringolem;Golett;Pokémon;Psychic;622;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_34.png;;https://images.pokemontcg.io/xy7/34.png;;Ancient Origins
35;Rare;;Golemastoc;Golurk;Pokémon;Psychic;623;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_35.png;;https://images.pokemontcg.io/xy7/35.png;;Ancient Origins
36;Ultra;EX;Hoopa-EX;Hoopa-EX;Pokémon;Psychic;720;Ryota Murayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_36.png;;https://images.pokemontcg.io/xy7/36.png;;Ancient Origins
37;Ultra;EX;Mackogneur-EX;Machamp-EX;Pokémon;Fighting;68;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_37.png;;https://images.pokemontcg.io/xy7/37.png;;Ancient Origins
38;Common;;Axoloto;Wooper;Pokémon;Fighting;194;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_38.png;;https://images.pokemontcg.io/xy7/38.png;;Ancient Origins
39;Common;;Maraiste;Quagsire;Pokémon;Fighting;195;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_39.png;;https://images.pokemontcg.io/xy7/39.png;;Ancient Origins
40;Rare;;Regirock;Regirock;Pokémon;Fighting;377;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_40.png;;https://images.pokemontcg.io/xy7/40.png;;Ancient Origins
41;Common;;Golemastoc;Golurk;Pokémon;Fighting;623;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_41.png;;https://images.pokemontcg.io/xy7/41.png;;Ancient Origins
42;Ultra;EX;Tyranocif-EX;Tyranitar-EX;Pokémon;Darkness;248;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_42.png;;https://images.pokemontcg.io/xy7/42.png;;Ancient Origins
43;Ultra;M EX;Méga Tyranocif-EX;M Tyranitar-EX;Pokémon;Darkness;248;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY7/XY7_FR_43.png;;https://images.pokemontcg.io/xy7/43.png;;Ancient Origins
