number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
XY01;Rare Holo;;;Chespin;Pokémon;Grass;650;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY01.png;;XY Black Star Promos
XY02;Rare Holo;;;Fennekin;Pokémon;Fire;653;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY02.png;;XY Black Star Promos
XY03;Rare Holo;;;Froakie;Pokémon;Water;656;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY03.png;;XY Black Star Promos
XY04;Rare Holo;;;Sylveon;Pokémon;Fairy;700;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY04.png;;XY Black Star Promos
XY05;Rare Holo;;;Xerneas;Pokémon;Fairy;716;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY05.png;;XY Black Star Promos
XY06;Rare Holo;;;Yveltal;Pokémon;Darkness;717;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY06.png;;XY Black Star Promos
XY07;Ultra;EX;;Xerneas-EX;Pokémon;Fairy;716;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY07.png;;XY Black Star Promos
XY08;Ultra;EX;;Yveltal-EX;Pokémon;Darkness;717;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY08.png;;XY Black Star Promos
XY09;Ultra;EX;;Garchomp-EX;Pokémon;Dragon;445;Ryo Ueda;;;https://images.pokemontcg.io/xyp/XY09.png;;XY Black Star Promos
XY10;Rare Holo;;;Dragalge;Pokémon;Dragon;691;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY10.png;;XY Black Star Promos
XY11;Rare Holo;;;Skiddo;Pokémon;Grass;672;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY11.png;;XY Black Star Promos
XY12;Rare Holo;;;Honedge;Pokémon;Metal;679;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY12.png;;XY Black Star Promos
XY13;Rare Holo;;;Machamp;Pokémon;Fighting;68;PLANETA;;;https://images.pokemontcg.io/xyp/XY13.png;;XY Black Star Promos
XY14;Rare Holo;;;Trevenant;Pokémon;Psychic;709;Kouki Saitou;;;https://images.pokemontcg.io/xyp/XY14.png;;XY Black Star Promos
XY15;Rare Holo;;;Slurpuff;Pokémon;Fairy;685;Kagemaru Himeno;;;https://images.pokemontcg.io/xyp/XY15.png;;XY Black Star Promos
XY16;Rare Holo;;;Gogoat;Pokémon;Grass;673;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY16.png;;XY Black Star Promos
XY17;Ultra;EX;;Charizard-EX;Pokémon;Fire;6;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY17.png;;XY Black Star Promos
XY18;Ultra;EX;;Chesnaught-EX;Pokémon;Grass;652;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY18.png;;XY Black Star Promos
XY19;Ultra;EX;;Delphox-EX;Pokémon;Fire;655;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY19.png;;XY Black Star Promos
XY20;Ultra;EX;;Greninja-EX;Pokémon;Water;658;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY20.png;;XY Black Star Promos
XY21;Rare Holo;;;Bronzong;Pokémon;Metal;437;match;;;https://images.pokemontcg.io/xyp/XY21.png;;XY Black Star Promos
XY22;Rare Holo;;;Darkrai;Pokémon;Darkness;491;Sanosuke Sakuma;;;https://images.pokemontcg.io/xyp/XY22.png;;XY Black Star Promos
XY23;Rare Holo;;;Shiftry;Pokémon;Grass;275;Sanosuke Sakuma;;;https://images.pokemontcg.io/xyp/XY23.png;;XY Black Star Promos
XY24;Rare Holo;;;Greninja;Pokémon;Darkness;658;Akira Komayama;;;https://images.pokemontcg.io/xyp/XY24.png;;XY Black Star Promos
XY25;Ultra;EX;;Krookodile-EX;Pokémon;Darkness;553;PLANETA;;;https://images.pokemontcg.io/xyp/XY25.png;;XY Black Star Promos
XY26;Rare Holo;;;Pyroar;Pokémon;Fire;668;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY26.png;;XY Black Star Promos
XY27;Rare Holo;;;Champions Festival;Trainer;NoColor;;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY27.png;;XY Black Star Promos
XY28;Ultra;EX;;Venusaur-EX;Pokémon;Grass;3;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY28.png;;XY Black Star Promos
XY29;Ultra;EX;;Charizard-EX;Pokémon;Fire;6;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY29.png;;XY Black Star Promos
XY30;Ultra;EX;;Blastoise-EX;Pokémon;Water;9;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY30.png;;XY Black Star Promos
XY31;Rare Holo;;;Xerneas;Pokémon;Fairy;716;Masakazu Fukuda;;;https://images.pokemontcg.io/xyp/XY31.png;;XY Black Star Promos
XY32;Rare Holo;;;Yveltal;Pokémon;Darkness;717;Masakazu Fukuda;;;https://images.pokemontcg.io/xyp/XY32.png;;XY Black Star Promos
XY33;Rare Holo;;;Trevor;Trainer;NoColor;;Ken Sugimori;;;https://images.pokemontcg.io/xyp/XY33.png;;XY Black Star Promos
XY34;Ultra;EX;;Metagross-EX;Pokémon;Metal;376;PLANETA;;;https://images.pokemontcg.io/xyp/XY34.png;;XY Black Star Promos
XY35;Ultra;M EX;;M Metagross-EX;Pokémon;Metal;376;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY35.png;;XY Black Star Promos
XY36;Rare Holo;;;Treecko;Pokémon;Grass;252;Akira Komayama;;;https://images.pokemontcg.io/xyp/XY36.png;;XY Black Star Promos
XY37;Rare Holo;;;Torchic;Pokémon;Fire;255;sui;;;https://images.pokemontcg.io/xyp/XY37.png;;XY Black Star Promos
XY38;Rare Holo;;;Mudkip;Pokémon;Water;258;Aya Kusube;;;https://images.pokemontcg.io/xyp/XY38.png;;XY Black Star Promos
XY39;Rare Holo;;;Kingdra;Pokémon;Dragon;230;hatachu;;;https://images.pokemontcg.io/xyp/XY39.png;;XY Black Star Promos
XY40;Rare Holo;;;Ditto;Pokémon;Colorless;132;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY40.png;;XY Black Star Promos
XY41;Ultra;EX;;Kyogre-EX;Pokémon;Water;382;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY41.png;;XY Black Star Promos
XY42;Ultra;EX;;Groudon-EX;Pokémon;Fighting;383;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY42.png;;XY Black Star Promos
XY43;Ultra;EX;;Diancie-EX;Pokémon;Fairy;719;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY43.png;;XY Black Star Promos
XY44;Ultra;M EX;;M Diancie-EX;Pokémon;Fairy;719;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY44.png;;XY Black Star Promos
XY45;Ultra;EX;;Gallade-EX;Pokémon;Psychic;475;PLANETA;;;https://images.pokemontcg.io/xyp/XY45.png;;XY Black Star Promos
XY46;Rare Holo;;;Altaria;Pokémon;Colorless;334;;;;https://images.pokemontcg.io/xyp/XY46.png;;XY Black Star Promos
XY47;Rare Holo;;;Heliolisk;Pokémon;Lightning;695;kawayoo;;;https://images.pokemontcg.io/xyp/XY47.png;;XY Black Star Promos
XY48;Rare Holo;;;Meowstic;Pokémon;Psychic;678;kirisAki;;;https://images.pokemontcg.io/xyp/XY48.png;;XY Black Star Promos
XY49;Rare Holo;;;Regirock;Pokémon;Fighting;377;Kouki Saitou;;;https://images.pokemontcg.io/xyp/XY49.png;;XY Black Star Promos
XY50;Rare Holo;;;Pangoro;Pokémon;Fighting;675;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY50.png;;XY Black Star Promos
XY51;Rare Holo;;;Kyogre;Pokémon;Water;382;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY51.png;;XY Black Star Promos
XY52;Rare Holo;;;Groudon;Pokémon;Fighting;383;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY52.png;;XY Black Star Promos
XY53;Ultra;EX;;Sceptile-EX;Pokémon;Grass;254;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY53.png;;XY Black Star Promos
XY54;Ultra;EX;;Blaziken-EX;Pokémon;Fire;257;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY54.png;;XY Black Star Promos
XY55;Ultra;EX;;Swampert-EX;Pokémon;Water;260;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY55.png;;XY Black Star Promos
XY56;Rare Holo;;;Blissey;Pokémon;Colorless;242;Akira Komayama;;;https://images.pokemontcg.io/xyp/XY56.png;;XY Black Star Promos
XY57;Rare Holo;;;Fearow;Pokémon;Colorless;22;match;;;https://images.pokemontcg.io/xyp/XY57.png;;XY Black Star Promos
XY58;Rare Holo;;;Malamar;Pokémon;Darkness;687;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY58.png;;XY Black Star Promos
XY59;Rare Holo;;;Salamence;Pokémon;Dragon;373;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY59.png;;XY Black Star Promos
XY60;Rare Holo;;;Gyarados;Pokémon;Water;130;TOKIYA;;;https://images.pokemontcg.io/xyp/XY60.png;;XY Black Star Promos
XY61;Ultra;EX;;Flygon-EX;Pokémon;Dragon;330;Toyste Beach;;;https://images.pokemontcg.io/xyp/XY61.png;;XY Black Star Promos
XY62;Ultra;EX;;Absol-EX;Pokémon;Darkness;359;PLANETA;;;https://images.pokemontcg.io/xyp/XY62.png;;XY Black Star Promos
XY63;Ultra;M EX;;M Absol-EX;Pokémon;Darkness;359;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY63.png;;XY Black Star Promos
XY64;Rare Holo;;;Rayquaza;Pokémon;Dragon;384;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY64.png;;XY Black Star Promos
XY65;Rare Holo;;;Latios;Pokémon;Psychic;381;Masakazu Fukuda;;;https://images.pokemontcg.io/xyp/XY65.png;;XY Black Star Promos
XY66;Ultra;EX;;Rayquaza-EX;Pokémon;Colorless;384;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY66.png;;XY Black Star Promos
XY67;Rare Holo;;;Jirachi;Pokémon;Metal;385;sui;;;https://images.pokemontcg.io/xyp/XY67.png;;XY Black Star Promos
XY68;Rare Holo;;;Chesnaught;Pokémon;Grass;652;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY68.png;;XY Black Star Promos
XY69;Ultra;EX;;Rayquaza-EX;Pokémon;Colorless;384;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY69.png;;XY Black Star Promos
XY70;Ultra;EX;;Tyrantrum-EX;Pokémon;Dragon;697;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY70.png;;XY Black Star Promos
XY71;Ultra;EX;;Hoopa-EX;Pokémon;Psychic;720;;;;https://images.pokemontcg.io/xyp/XY71.png;;XY Black Star Promos
XY72;Ultra;EX;;Latios-EX;Pokémon;Dragon;381;;;;https://images.pokemontcg.io/xyp/XY72.png;;XY Black Star Promos
XY73;Ultra;EX;;Rayquaza-EX;Pokémon;Dragon;384;;;;https://images.pokemontcg.io/xyp/XY73.png;;XY Black Star Promos
XY74;Rare Holo;FA;;Reshiram;Pokémon;Fire;643;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY74.png;;XY Black Star Promos
XY75;Rare Holo;FA;;Palkia;Pokémon;Water;484;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY75.png;;XY Black Star Promos
XY76;Rare Holo;FA;;Zekrom;Pokémon;Lightning;644;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY76.png;;XY Black Star Promos
XY77;Rare Holo;FA;;Dialga;Pokémon;Metal;483;TOKIYA;;;https://images.pokemontcg.io/xyp/XY77.png;;XY Black Star Promos
XY78;Rare Holo;FA;;Latias;Pokémon;Dragon;380;Sanosuke Sakuma;;;https://images.pokemontcg.io/xyp/XY78.png;;XY Black Star Promos
XY79;Rare Holo;FA;;Latios;Pokémon;Dragon;381;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY79.png;;XY Black Star Promos
XY80;Rare Holo;FA;;Black Kyurem;Pokémon;Dragon;646;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY80.png;;XY Black Star Promos
XY81;Rare Holo;FA;;White Kyurem;Pokémon;Dragon;646;Shin Nagasawa;;;https://images.pokemontcg.io/xyp/XY81.png;;XY Black Star Promos
XY82;Rare Holo;FA;;Regigigas;Pokémon;Colorless;486;Shin Nagasawa;;;https://images.pokemontcg.io/xyp/XY82.png;;XY Black Star Promos
XY83;Rare Holo;FA;;Arceus;Pokémon;Colorless;493;Shin Nagasawa;;;https://images.pokemontcg.io/xyp/XY83.png;;XY Black Star Promos
XY84;Ultra;EX;;Pikachu-EX;Pokémon;Lightning;25;Hitoshi Ariga;;;https://images.pokemontcg.io/xyp/XY84.png;;XY Black Star Promos
XY85;Ultra;EX;;Hoopa-EX;Pokémon;Psychic;720;Hitoshi Ariga;;;https://images.pokemontcg.io/xyp/XY85.png;;XY Black Star Promos
XY86;Ultra;M EX;;M Blaziken-EX;Pokémon;Fire;257;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY86.png;;XY Black Star Promos
XY87;Ultra;M EX;;M Swampert-EX;Pokémon;Water;260;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY87.png;;XY Black Star Promos
XY88;Rare Holo;;;Chespin;Pokémon;Grass;650;Atsuko Nishida;;;https://images.pokemontcg.io/xyp/XY88.png;;XY Black Star Promos
XY89;Rare Holo;;;Pikachu;Pokémon;Lightning;25;Masakazu Fukuda;;;https://images.pokemontcg.io/xyp/XY89.png;;XY Black Star Promos
XY90;Rare Holo;;;Hoopa;Pokémon;Psychic;720;Masakazu Fukuda;;;https://images.pokemontcg.io/xyp/XY90.png;;XY Black Star Promos
XY91;Rare Holo;;;Champions Festival;Trainer;NoColor;;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY91.png;;XY Black Star Promos
XY92;Rare Holo;;;Sableye;Pokémon;Psychic;302;match;;;https://images.pokemontcg.io/xyp/XY92.png;;XY Black Star Promos
XY93;Rare Holo;;;Celebi;Pokémon;Grass;251;Shin Nagasawa;;;https://images.pokemontcg.io/xyp/XY93.png;;XY Black Star Promos
XY94;Rare Holo;;;Trevenant;Pokémon;Psychic;709;Midori Harada;;;https://images.pokemontcg.io/xyp/XY94.png;;XY Black Star Promos
XY95;Rare Holo;;;Pikachu;Pokémon;Lightning;25;Kanako Eo;;;https://images.pokemontcg.io/xyp/XY95.png;;XY Black Star Promos
XY96;Rare Holo;;;Umbreon;Pokémon;Darkness;197;kawayoo;;;https://images.pokemontcg.io/xyp/XY96.png;;XY Black Star Promos
XY97;Ultra;EX;;Aerodactyl-EX;Pokémon;Fighting;142;Ayaka Yoshida;;;https://images.pokemontcg.io/xyp/XY97.png;;XY Black Star Promos
XY98;Ultra;M EX;;M Aerodactyl-EX;Pokémon;Fighting;142;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY98.png;;XY Black Star Promos
XY99;Rare Holo;;;Aerodactyl Spirit Link;Trainer;NoColor;;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY99.png;;XY Black Star Promos
XY100;Rare Holo;;;Mewtwo;Pokémon;Psychic;150;match;;;https://images.pokemontcg.io/xyp/XY100.png;;XY Black Star Promos
XY101;Rare Holo;;;Mewtwo;Pokémon;Psychic;150;match;;;https://images.pokemontcg.io/xyp/XY101.png;;XY Black Star Promos
XY102;Ultra;EX;;Aurorus-EX;Pokémon;Water;699;Toyste Beach;;;https://images.pokemontcg.io/xyp/XY102.png;;XY Black Star Promos
XY103;Ultra;EX;;Mawile-EX;Pokémon;Fairy;303;Ayaka Yoshida;;;https://images.pokemontcg.io/xyp/XY103.png;;XY Black Star Promos
XY104;Ultra;M EX;;M Mawile-EX;Pokémon;Fairy;303;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY104.png;;XY Black Star Promos
XY105;Rare Holo;;;Mawile Spirit Link;Trainer;NoColor;;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY105.png;;XY Black Star Promos
XY106;Ultra;EX;;Gyarados-EX;Pokémon;Water;130;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY106.png;;XY Black Star Promos
XY107;Ultra;EX;;Mewtwo-EX;Pokémon;Psychic;150;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY107.png;;XY Black Star Promos
XY108;Ultra;EX;;Machamp-EX;Pokémon;Fighting;68;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY108.png;;XY Black Star Promos
XY109;Rare Holo;;;Gyarados;Pokémon;Water;130;Hajime Kusajima;;;https://images.pokemontcg.io/xyp/XY109.png;;XY Black Star Promos
XY110;Rare Holo;FA;;Mew;Pokémon;Psychic;151;Kouki Saitou;;;https://images.pokemontcg.io/xyp/XY110.png;;XY Black Star Promos
XY111;Rare Holo;FA;;Celebi;Pokémon;Grass;251;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY111.png;;XY Black Star Promos
XY112;Rare Holo;FA;;Jirachi;Pokémon;Metal;385;Kagemaru Himeno;;;https://images.pokemontcg.io/xyp/XY112.png;;XY Black Star Promos
XY113;Rare Holo;FA;;Manaphy;Pokémon;Water;490;Hitoshi Ariga;;;https://images.pokemontcg.io/xyp/XY113.png;;XY Black Star Promos
XY114;Rare Holo;FA;;Darkrai;Pokémon;Darkness;491;kawayoo;;;https://images.pokemontcg.io/xyp/XY114.png;;XY Black Star Promos
XY115;Rare Holo;FA;;Shaymin;Pokémon;Grass;492;You Iribi;;;https://images.pokemontcg.io/xyp/XY115.png;;XY Black Star Promos
XY116;Rare Holo;FA;;Arceus;Pokémon;Colorless;493;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY116.png;;XY Black Star Promos
XY117;Rare Holo;FA;;Victini;Pokémon;Fire;494;Atsuko Nishida;;;https://images.pokemontcg.io/xyp/XY117.png;;XY Black Star Promos
XY118;Rare Holo;FA;;Keldeo;Pokémon;Water;647;Shin Nagasawa;;;https://images.pokemontcg.io/xyp/XY118.png;;XY Black Star Promos
XY119;Rare Holo;FA;;Genesect;Pokémon;Metal;649;PLANETA;;;https://images.pokemontcg.io/xyp/XY119.png;;XY Black Star Promos
XY120;Rare Holo;FA;;Meloetta;Pokémon;Psychic;648;Megumi Mizutani;;;https://images.pokemontcg.io/xyp/XY120.png;;XY Black Star Promos
XY121;Ultra;EX FA;;Charizard-EX;Pokémon;Fire;6;Kouki Saitou;;;https://images.pokemontcg.io/xyp/XY121.png;;XY Black Star Promos
XY122;Ultra;EX FA;;Blastoise-EX;Pokémon;Water;9;kawayoo;;;https://images.pokemontcg.io/xyp/XY122.png;;XY Black Star Promos
XY123;Ultra;EX FA;;Venusaur-EX;Pokémon;Grass;3;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY123.png;;XY Black Star Promos
XY124;Ultra;EX FA;;Pikachu-EX;Pokémon;Lightning;25;Megumi Mizutani;;;https://images.pokemontcg.io/xyp/XY124.png;;XY Black Star Promos
XY125;Ultra;EX FA;;Mewtwo-EX;Pokémon;Psychic;150;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY125.png;;XY Black Star Promos
XY126;Ultra;EX FA;;Mew-EX;Pokémon;Psychic;151;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY126.png;;XY Black Star Promos
XY127;Rare Holo;;;Moltres;Pokémon;Fire;146;OOYAMA;;;https://images.pokemontcg.io/xyp/XY127.png;;XY Black Star Promos
XY128;Rare Holo;;;White Kyurem;Pokémon;Water;646;kawayoo;;;https://images.pokemontcg.io/xyp/XY128.png;;XY Black Star Promos
XY129;Rare Holo;;;Zygarde;Pokémon;Fighting;718;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY129.png;;XY Black Star Promos
XY130;Rare Holo;;;Tyranitar;Pokémon;Darkness;248;Satoshi Shirai;;;https://images.pokemontcg.io/xyp/XY130.png;;XY Black Star Promos
XY131;Rare Holo;;;Pansear;Pokémon;Fire;513;sui;;;https://images.pokemontcg.io/xyp/XY131.png;;XY Black Star Promos
XY132;Rare Holo;;;Gastly;Pokémon;Psychic;92;Shigenori Negishi;;;https://images.pokemontcg.io/xyp/XY132.png;;XY Black Star Promos
XY133;Ultra;EX;;Ash-Greninja-EX;Pokémon;Water;658;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY133.png;;XY Black Star Promos
XY134;Ultra;TURBO;;Empoleon BREAK;Pokémon;Water;395;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY134.png;;XY Black Star Promos
XY135;Ultra;TURBO;;Beheeyem BREAK;Pokémon;Psychic;606;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY135.png;;XY Black Star Promos
XY136;Ultra;TURBO;;Noctowl BREAK;Pokémon;Colorless;164;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY136.png;;XY Black Star Promos
XY137;Rare Holo;;;Vivillon;Pokémon;Grass;666;match;;;https://images.pokemontcg.io/xyp/XY137.png;;XY Black Star Promos
XY138;Rare Holo;;;Froakie;Pokémon;Water;656;Sanosuke Sakuma;;;https://images.pokemontcg.io/xyp/XY138.png;;XY Black Star Promos
XY139;Rare Holo;;;Floette;Pokémon;Fairy;670;Midori Harada;;;https://images.pokemontcg.io/xyp/XY139.png;;XY Black Star Promos
XY140;Rare Holo;;;Lucario;Pokémon;Fighting;448;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY140.png;;XY Black Star Promos
XY141;Rare Holo;;;Rayquaza;Pokémon;Dragon;384;Masakazu Fukuda;;;https://images.pokemontcg.io/xyp/XY141.png;;XY Black Star Promos
XY142;Rare Holo;;;Azelf;Pokémon;Psychic;482;chibi;;;https://images.pokemontcg.io/xyp/XY142.png;;XY Black Star Promos
XY143;Rare Holo;;;Magikarp;Pokémon;Water;129;Saya Tsuruta;;;https://images.pokemontcg.io/xyp/XY143.png;;XY Black Star Promos
XY144;Rare Holo;;;Yanmega;Pokémon;Grass;469;Midori Harada;;;https://images.pokemontcg.io/xyp/XY144.png;;XY Black Star Promos
XY145;Rare Holo;;;Volcanion;Pokémon;Fire;721;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY145.png;;XY Black Star Promos
XY146;Rare Holo;;;Clawitzer;Pokémon;Water;693;Mitsuhiro Arita;;;https://images.pokemontcg.io/xyp/XY146.png;;XY Black Star Promos
XY147;Rare Holo;;;Hoopa;Pokémon;Psychic;720;Yoshinobu Saito;;;https://images.pokemontcg.io/xyp/XY147.png;;XY Black Star Promos
XY148;Ultra;EX;;Shaymin-EX;Pokémon;Grass;492;Kanako Eo;;;https://images.pokemontcg.io/xyp/XY148.png;;XY Black Star Promos
XY149;Ultra;EX;;Xerneas-EX;Pokémon;Fairy;716;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY149.png;;XY Black Star Promos
XY150;Ultra;EX;;Yveltal-EX;Pokémon;Darkness;717;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY150.png;;XY Black Star Promos
XY151;Ultra;EX;;Zygarde-EX;Pokémon;Darkness;718;Eske Yoshinob;;;https://images.pokemontcg.io/xyp/XY151.png;;XY Black Star Promos
XY152;Rare Holo;;;Zygarde;Pokémon;Fighting;718;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY152.png;;XY Black Star Promos
XY153;Rare Holo;;;Ho-Oh;Pokémon;Fire;250;You Iribi;;;https://images.pokemontcg.io/xyp/XY153.png;;XY Black Star Promos
XY154;Ultra;TURBO;;Ho-Oh BREAK;Pokémon;Fire;250;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY154.png;;XY Black Star Promos
XY155;Ultra;TURBO;;Wobbuffet BREAK;Pokémon;Psychic;202;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY155.png;;XY Black Star Promos
XY156;Rare Holo;;;Lugia;Pokémon;Colorless;249;Hajime Kusajima;;;https://images.pokemontcg.io/xyp/XY156.png;;XY Black Star Promos
XY157;Ultra;EX;;Beedrill-EX;Pokémon;Grass;15;hatachu;;;https://images.pokemontcg.io/xyp/XY157.png;;XY Black Star Promos
XY158;Ultra;M EX;;M Beedrill-EX;Pokémon;Grass;15;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY158.png;;XY Black Star Promos
XY159;Rare Holo;;;Beedrill Spirit Link;Trainer;;;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY159.png;;XY Black Star Promos
XY160;Rare Holo;;;Black Kyurem;Pokémon;Water;;kawayoo;;;https://images.pokemontcg.io/xyp/XY160.png;;XY Black Star Promos
XY161;Rare Holo;;;Braixen;Pokémon;Fire;;kirisAki;;;https://images.pokemontcg.io/xyp/XY161.png;;XY Black Star Promos
XY162;Rare Holo;;;Greninja;Pokémon;Water;658;Sanosuke Sakuma;;;https://images.pokemontcg.io/xyp/XY162.png;;XY Black Star Promos
XY163;Rare Holo;;;Weezing;Pokémon;Psychic;110;TOKIYA;;;https://images.pokemontcg.io/xyp/XY163.png;;XY Black Star Promos
XY164;Rare Holo;;;Volcanion;Pokémon;Fire;721;TOKIYA;;;https://images.pokemontcg.io/xyp/XY164.png;;XY Black Star Promos
XY165;Rare Holo;;;Magearna;Pokémon;Metal;801;Megumi Mizutani;;;https://images.pokemontcg.io/xyp/XY165.png;;XY Black Star Promos
XY166;Ultra;M EX;;M Gengar-EX;Pokémon;Psychic;94;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY166.png;;XY Black Star Promos
XY167;Ultra;EX;;Garchomp-EX;Pokémon;Dragon;445;Ryo Ueda;;;https://images.pokemontcg.io/xyp/XY167.png;;XY Black Star Promos
XY168;Ultra;M EX;;M Garchomp-EX;Pokémon;Dragon;445;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY168.png;;XY Black Star Promos
XY169;Rare Holo;;;Garchomp Spirit Link;Trainer;NoColor;;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY169.png;;XY Black Star Promos
XY170;Ultra;EX;;Salamence-EX;Pokémon;Dragon;373;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY170.png;;XY Black Star Promos
XY171;Ultra;M EX;;M Salamence-EX;Pokémon;Dragon;373;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY171.png;;XY Black Star Promos
XY172;Rare Holo;;;Salamence Spirit Link;Trainer;NoColor;;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY172.png;;XY Black Star Promos
XY173;Ultra;EX;;Volcanion-EX;Pokémon;Fire;721;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY173.png;;XY Black Star Promos
XY174;Ultra;EX;;Pikachu-EX;Pokémon;Lightning;25;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY174.png;;XY Black Star Promos
XY175;Ultra;EX;;Magearna-EX;Pokémon;Metal;801;5ban Graphics;;;https://images.pokemontcg.io/xyp/XY175.png;;XY Black Star Promos
XY176;Rare Holo;;;Champions Festival;Trainer;NoColor;;Naoki Saito;;;https://images.pokemontcg.io/xyp/XY176.png;;XY Black Star Promos
XY177;Rare Holo;;;Karen;Trainer;NoColor;;You Iribi;;;https://images.pokemontcg.io/xyp/XY177.png;;XY Black Star Promos
XY178;Rare Holo;;;Absol;Pokémon;Darkness;359;Hasuno;;;https://images.pokemontcg.io/xyp/XY178.png;;XY Black Star Promos
XY179;Rare Holo;;;Snorlax;Pokémon;Colorless;143;Ken Sugimori;;;https://images.pokemontcg.io/xyp/XY179.png;;XY Black Star Promos
