number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Germignon;Chikorita;Pokémon;Grass;152;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_1.png;;https://images.pokemontcg.io/xy9/1.png;;BREAKpoint
2;Uncommon;;Macronium;Bayleef;Pokémon;Grass;153;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_2.png;;https://images.pokemontcg.io/xy9/2.png;;BREAKpoint
3;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_3.png;;https://images.pokemontcg.io/xy9/3.png;;BREAKpoint
4;Common;;Grainipiot;Seedot;Pokémon;Grass;273;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_4.png;;https://images.pokemontcg.io/xy9/4.png;;BREAKpoint
5;Common;;Crikzik;Kricketot;Pokémon;Grass;401;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_5.png;;https://images.pokemontcg.io/xy9/5.png;;BREAKpoint
6;Uncommon;;Melokrik;Kricketune;Pokémon;Grass;402;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_6.png;;https://images.pokemontcg.io/xy9/6.png;;BREAKpoint
7;Common;;Chlorobule;Petilil;Pokémon;Grass;548;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_7.png;;https://images.pokemontcg.io/xy9/7.png;;BREAKpoint
8;Rare;;Fragilady;Lilligant;Pokémon;Grass;549;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_8.png;;https://images.pokemontcg.io/xy9/8.png;;BREAKpoint
9;Uncommon;;Fermite;Durant;Pokémon;Grass;632;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_9.png;;https://images.pokemontcg.io/xy9/9.png;;BREAKpoint
10;Common;;Caninos;Growlithe;Pokémon;Fire;58;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_10.png;;https://images.pokemontcg.io/xy9/10.png;;BREAKpoint
11;Uncommon;;Arcanin;Arcanine;Pokémon;Fire;59;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_11.png;;https://images.pokemontcg.io/xy9/11.png;;BREAKpoint
12;Common;;Chamallot;Numel;Pokémon;Fire;322;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_12.png;;https://images.pokemontcg.io/xy9/12.png;;BREAKpoint
13;Rare;;Camerupt;Camerupt;Pokémon;Fire;323;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_13.png;;https://images.pokemontcg.io/xy9/13.png;;BREAKpoint
14;Ultra;EX;Roitiflam-EX;Emboar-EX;Pokémon;Fire;500;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_14.png;;https://images.pokemontcg.io/xy9/14.png;;BREAKpoint
15;Uncommon;;Aflamanoir;Heatmor;Pokémon;Fire;631;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_15.png;;https://images.pokemontcg.io/xy9/15.png;;BREAKpoint
16;Common;;Psykokwak;Psyduck;Pokémon;Water;54;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_16.png;;https://images.pokemontcg.io/xy9/16.png;;BREAKpoint
17;Rare;;Akwakwak;Golduck;Pokémon;Water;55;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_17.png;;https://images.pokemontcg.io/xy9/17.png;;BREAKpoint
18;Ultra;TURBO;Akwakwak TURBO;Golduck BREAK;Pokémon;Water;55;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_18.png;;https://images.pokemontcg.io/xy9/18.png;;BREAKpoint
19;Common;;Ramoloss;Slowpoke;Pokémon;Water;79;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_19.png;;https://images.pokemontcg.io/xy9/19.png;;BREAKpoint
20;Uncommon;;Flagadoss;Slowbro;Pokémon;Water;80;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_20.png;;https://images.pokemontcg.io/xy9/20.png;;BREAKpoint
21;Rare Holo;;Roigada;Slowking;Pokémon;Water;199;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY9/XY9_FR_21.png;;https://images.pokemontcg.io/xy9/21.png;;BREAKpoint
