number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Mimitoss;Venonat;Pokémon;Grass;48;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_1.png;;https://images.pokemontcg.io/xy4/1.png;;Phantom Forces
2;Rare;;Aéromite;Venomoth;Pokémon;Grass;49;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_2.png;;https://images.pokemontcg.io/xy4/2.png;;Phantom Forces
3;Common;;Yanma;Yanma;Pokémon;Grass;193;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_3.png;;https://images.pokemontcg.io/xy4/3.png;;Phantom Forces
4;Rare;;Yanmega;Yanmega;Pokémon;Grass;469;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_4.png;;https://images.pokemontcg.io/xy4/4.png;;Phantom Forces
5;Common;;Larveyette;Sewaddle;Pokémon;Grass;540;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_5.png;;https://images.pokemontcg.io/xy4/5.png;;Phantom Forces
6;Uncommon;;Couverdure;Swadloon;Pokémon;Grass;541;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_6.png;;https://images.pokemontcg.io/xy4/6.png;;Phantom Forces
7;Rare;;Manternel;Leavanny;Pokémon;Grass;542;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_7.png;;https://images.pokemontcg.io/xy4/7.png;;Phantom Forces
8;Common;;Carabing;Karrablast;Pokémon;Grass;588;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_8.png;;https://images.pokemontcg.io/xy4/8.png;;Phantom Forces
9;Uncommon;;Braisillon;Fletchinder;Pokémon;Fire;662;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_9.png;;https://images.pokemontcg.io/xy4/9.png;;Phantom Forces
10;Rare;;Flambusard;Talonflame;Pokémon;Fire;663;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_10.png;;https://images.pokemontcg.io/xy4/10.png;;Phantom Forces
11;Common;;Hélionceau;Litleo;Pokémon;Fire;667;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_11.png;;https://images.pokemontcg.io/xy4/11.png;;Phantom Forces
12;Rare Holo;;Némélios;Pyroar;Pokémon;Fire;668;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_12.png;;https://images.pokemontcg.io/xy4/12.png;;Phantom Forces
13;Common;;Krabby;Krabby;Pokémon;Water;98;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY4/XY4_FR_13.png;;https://images.pokemontcg.io/xy4/13.png;;Phantom Forces
